game_id,season,week,season_type,date,away_team,home_team,market_spread_home,market_spread_open_home,market_spread_text,market_spread_book,market_formatted_spread,market_total,market_total_open,market_total_book,home_moneyline,away_moneyline,home_moneyline_implied,away_moneyline_implied,books_count,books_available,line_source,pulled_at
401856776,2026,1,regular,2026-09-04T00:00:00.000Z,Colorado,Georgia Tech,-7.0,-7.0,Georgia Tech -7,DraftKings,Georgia Tech -7,51.5,51.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858424,2026,1,regular,2026-09-04T01:00:00.000Z,UAB,Illinois,-27.5,-27.5,Illinois -27.5,DraftKings,Illinois -27.5,56.5,56.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401864495,2026,1,regular,2026-09-04T22:30:00.000Z,San José State,Eastern Michigan,-3.5,-3.5,Eastern Michigan -3.5,DraftKings,Eastern Michigan -3.5,53.5,53.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858429,2026,1,regular,2026-09-05T00:00:00.000Z,Toledo,Michigan State,-10.5,-10.5,Michigan State -10.5,DraftKings,Michigan State -10.5,49.5,49.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856664,2026,1,regular,2026-09-05T00:00:00.000Z,UTEP,Oklahoma,-40.5,-40.5,Oklahoma -40.5,DraftKings,Oklahoma -40.5,50.5,50.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858436,2026,1,regular,2026-09-05T01:00:00.000Z,Fresno State,USC,-23.5,-23.5,USC -23.5,DraftKings,USC -23.5,51.5,51.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858206,2026,1,regular,2026-09-05T01:00:00.000Z,Miami,Stanford,21.5,21.5,Miami -21.5,DraftKings,Miami -21.5,49.5,48.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856780,2026,1,regular,2026-09-05T16:00:00.000Z,Coastal Carolina,West Virginia,-17.5,-17.5,West Virginia -17.5,DraftKings,West Virginia -17.5,57.5,57.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856634,2026,1,regular,2026-09-05T16:00:00.000Z,East Carolina,Alabama,-25.5,-25.5,Alabama -25.5,DraftKings,Alabama -25.5,53.5,53.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401869960,2026,1,regular,2026-09-05T16:00:00.000Z,Liberty,James Madison,-6.0,-6.0,James Madison -6,DraftKings,James Madison -6,50.5,50.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858207,2026,1,regular,2026-09-05T16:00:00.000Z,Miami (OH),Pittsburgh,-16.5,-16.5,Pittsburgh -16.5,DraftKings,Pittsburgh -16.5,50.5,50.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858425,2026,1,regular,2026-09-05T16:00:00.000Z,North Texas,Indiana,-40.5,-40.5,Indiana -40.5,DraftKings,Indiana -40.5,55.5,55.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858430,2026,1,regular,2026-09-05T16:00:00.000Z,Ohio,Nebraska,-23.5,-23.5,Nebraska -23.5,DraftKings,Nebraska -23.5,47.5,47.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856778,2026,1,regular,2026-09-05T16:00:00.000Z,Oregon State,Houston,-18.5,-18.5,Houston -18.5,DraftKings,Houston -18.5,51.5,51.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858432,2026,1,regular,2026-09-05T16:30:00.000Z,Ball State,Ohio State,-49.5,-49.5,Ohio State -49.5,DraftKings,Ohio State -49.5,56.5,56.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856665,2026,1,regular,2026-09-05T16:45:00.000Z,Kent State,South Carolina,-34.5,-33.5,South Carolina -34.5,DraftKings,South Carolina -34.5,52.5,52.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856636,2026,1,regular,2026-09-05T19:30:00.000Z,Baylor,Auburn,-6.5,-6.5,Auburn -6.5,DraftKings,Auburn -6.5,59.5,,DraftKings,-285.0,230.0,0.7402597402597403,0.303030303030303,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858433,2026,1,regular,2026-09-05T19:30:00.000Z,Boise State,Oregon,-24.5,-24.5,Oregon -24.5,DraftKings,Oregon -24.5,53.5,53.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856777,2026,1,regular,2026-09-05T19:30:00.000Z,Boston College,Cincinnati,-9.5,-9.5,Cincinnati -9.5,DraftKings,Cincinnati -9.5,54.5,54.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858434,2026,1,regular,2026-09-05T19:30:00.000Z,Marshall,Penn State,-23.5,-23.5,Penn State -23.5,DraftKings,Penn State -23.5,54.5,54.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856667,2026,1,regular,2026-09-05T19:30:00.000Z,Texas State,Texas,-30.5,-30.5,Texas -30.5,DraftKings,Texas -30.5,59.5,59.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858209,2026,1,regular,2026-09-05T19:30:00.000Z,Tulane,Duke,-8.5,-8.5,Duke -8.5,DraftKings,Duke -8.5,53.5,53.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856772,2026,1,regular,2026-09-05T19:45:00.000Z,Oklahoma State,Tulsa,11.5,11.5,Oklahoma State -11.5,DraftKings,Oklahoma State -11.5,61.5,61.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858426,2026,1,regular,2026-09-05T20:15:00.000Z,Northern Illinois,Iowa,-29.5,-29.5,Iowa -29.5,DraftKings,Iowa -29.5,43.5,43.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401860878,2026,1,regular,2026-09-05T22:00:00.000Z,Wyoming,Colorado State,-4.0,-4.0,Colorado State -4,DraftKings,Colorado State -4,47.5,47.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401862695,2026,1,regular,2026-09-05T23:00:00.000Z,Arkansas State,Memphis,-10.5,-10.5,Memphis -10.5,DraftKings,Memphis -10.5,55.5,55.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401862699,2026,1,regular,2026-09-05T23:00:00.000Z,Florida International,South Florida,-12.5,-12.5,South Florida -12.5,DraftKings,South Florida -12.5,54.5,54.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856668,2026,1,regular,2026-09-05T23:00:00.000Z,Missouri State,Texas A&M,-38.5,-38.5,Texas A&M -38.5,DraftKings,Texas A&M -38.5,52.5,52.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401870763,2026,1,regular,2026-09-05T23:00:00.000Z,Sam Houston,Troy,-16.5,-17.5,Troy -16.5,DraftKings,Troy -16.5,50.5,50.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856660,2026,1,regular,2026-09-05T23:30:00.000Z,Clemson,LSU,-10.5,,LSU -10.5,DraftKings,LSU -10.5,50.5,,DraftKings,-455.0,350.0,0.8198198198198198,0.2222222222222222,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856662,2026,1,regular,2026-09-05T23:30:00.000Z,UL Monroe,Mississippi State,-28.5,-28.5,Mississippi State -28.5,DraftKings,Mississippi State -28.5,55.5,55.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858428,2026,1,regular,2026-09-05T23:30:00.000Z,Western Michigan,Michigan,-26.5,-26.5,Michigan -26.5,DraftKings,Michigan -26.5,47.5,47.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856637,2026,1,regular,2026-09-05T23:45:00.000Z,Florida Atlantic,Florida,-25.5,-25.5,Florida -25.5,DraftKings,Florida -25.5,57.5,56.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401864498,2026,1,regular,2026-09-06T02:00:00.000Z,Central Michigan,New Mexico,-12.5,-12.5,New Mexico -12.5,DraftKings,New Mexico -12.5,,,,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401864497,2026,1,regular,2026-09-06T02:00:00.000Z,UNLV,Hawai'i,1.5,1.5,UNLV -1.5,DraftKings,UNLV -1.5,58.5,58.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858210,2026,1,regular,2026-09-06T02:30:00.000Z,UCLA,California,-1.5,-1.5,California -1.5,DraftKings,California -1.5,53.5,,DraftKings,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401864432,2026,1,regular,2026-09-06T02:30:00.000Z,Western Kentucky,Nevada,4.0,4.5,Western Kentucky -4,DraftKings,Western Kentucky -4,52.5,53.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858437,2026,1,regular,2026-09-06T20:00:00.000Z,Washington State,Washington,-21.5,-21.5,Washington -21.5,DraftKings,Washington -21.5,50.5,50.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856661,2026,1,regular,2026-09-06T23:30:00.000Z,Louisville,Ole Miss,-6.5,,Ole Miss -6.5,DraftKings,Ole Miss -6.5,55.5,,DraftKings,-278.0,225.0,0.7354497354497355,0.3076923076923077,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858438,2026,1,regular,2026-09-06T23:30:00.000Z,Wisconsin,Notre Dame,20.5,,Wisconsin -20.5,DraftKings,Wisconsin -20.5,47.5,47.5,DraftKings,1000.0,-1800.0,0.0909090909090909,0.9473684210526316,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858212,2026,1,regular,2026-09-07T23:30:00.000Z,SMU,Florida State,2.5,,SMU -2.5,DraftKings,SMU -2.5,52.5,,DraftKings,120.0,-142.0,0.4545454545454545,0.5867768595041323,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856679,2026,2,regular,2026-09-12T16:00:00.000Z,Oklahoma,Michigan,-2.5,-1.5,Michigan -2.5,Bovada,Michigan -2.5,45.5,45.5,Bovada,-145.0,125.0,0.5918367346938775,0.4444444444444444,1,Bovada,CFBD Lines,2026-07-12T01:26:20.605922+00:00
401856682,2026,2,regular,2026-09-12T23:30:00.000Z,Ohio State,Texas,-1.5,-2.5,Texas -1.5,Bovada,Texas -1.5,47.5,47.5,Bovada,-120.0,100.0,0.5454545454545454,0.5,1,Bovada,CFBD Lines,2026-07-12T01:26:20.605922+00:00
