game_id,season,week,season_type,date,away_team,home_team,market_spread_home,market_spread_open_home,market_spread_text,market_spread_book,market_formatted_spread,market_total,market_total_open,market_total_book,home_moneyline,away_moneyline,home_moneyline_implied,away_moneyline_implied,books_count,books_available,line_source,pulled_at
401856766,2026,1,regular,2026-08-29T16:00:00.000Z,North Carolina,TCU,-6.5,,TCU -6.5,DraftKings,TCU -6.5,49.5,,DraftKings,-250.0,205.0,0.7142857142857143,0.3278688524590163,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401864494,2026,1,regular,2026-08-29T19:00:00.000Z,San José State,USC,-35.5,-35.5,USC -35.5,DraftKings,USC -35.5,58.5,57.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858202,2026,1,regular,2026-08-29T19:30:00.000Z,NC State,Virginia,-3.0,,Virginia -3,DraftKings,Virginia -3,53.5,,DraftKings,-135.0,114.0,0.574468085106383,0.4672897196261682,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401864577,2026,1,regular,2026-08-29T21:30:00.000Z,Jacksonville State,North Dakota State,-10.0,-10.0,North Dakota State -10,DraftKings,North Dakota State -10,48.5,48.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401866408,2026,1,regular,2026-08-29T22:30:00.000Z,Sacramento State,Eastern Michigan,-8.5,-8.5,Eastern Michigan -8.5,DraftKings,Eastern Michigan -8.5,52.5,52.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858201,2026,1,regular,2026-08-29T23:00:00.000Z,Hawai'i,Stanford,-3.0,-3.0,Stanford -3,DraftKings,Stanford -3,50.5,50.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401864570,2026,1,regular,2026-08-29T23:00:00.000Z,New Mexico State,Florida State,-29.5,-28.5,Florida State -29.5,DraftKings,Florida State -29.5,53.5,53.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401862693,2026,1,regular,2026-08-30T02:00:00.000Z,Memphis,UNLV,-3.0,-3.0,UNLV -3,DraftKings,UNLV -3,59.5,60.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858423,2026,1,regular,2026-09-03T22:00:00.000Z,Massachusetts,Rutgers,-30.5,-30.5,Rutgers -30.5,DraftKings,Rutgers -30.5,,,,,,,,1,DraftKings,CFBD Lines,2026-07-12T01:26:20.605922+00:00
401858204,2026,1,regular,2026-09-03T23:00:00.000Z,Akron,Wake Forest,-22.5,-22.5,Wake Forest -22.5,DraftKings,Wake Forest -22.5,49.5,49.5,Bovada,,,,,2,"Bovada,DraftKings",CFBD Lines,2026-07-12T01:26:20.605922+00:00
