snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-07-17,2026,North Texas,,DraftKings,5.5,-130,100,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=North Texas Mean Green
2026-07-17,2026,Nevada Wolf Pack,,DraftKings,4.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Nevada Wolf Pack
2026-07-17,2026,Georgia State,,DraftKings,3.5,-166,130,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Georgia State Panthers
2026-07-17,2026,Oregon,,DraftKings,10.5,100,-120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Oregon Ducks
2026-07-17,2026,Western Michigan,,DraftKings,6.5,-160,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Western Michigan Broncos
2026-07-17,2026,SMU,,DraftKings,8.5,-125,105,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=SMU Mustangs
2026-07-17,2026,Louisiana Ragin' Cajuns,,DraftKings,7.5,115,-146,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Louisiana Ragin' Cajuns
2026-07-17,2026,Eastern Michigan,,DraftKings,5.5,-150,120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Eastern Michigan Eagles
2026-07-17,2026,Middle Tennessee Blue Raiders,,DraftKings,3.5,-160,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Middle Tennessee Blue Raiders
2026-07-17,2026,Northwestern Wildcats,,DraftKings,5.5,110,-130,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Northwestern Wildcats
2026-07-17,2026,Oklahoma Sooners,,DraftKings,7.5,-136,115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Oklahoma Sooners
2026-07-17,2026,South Florida Bulls,,DraftKings,8.5,115,-146,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=South Florida Bulls
2026-07-17,2026,Tulane,,DraftKings,7.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Tulane Green Wave
2026-07-17,2026,New Mexico State,,DraftKings,4.5,-120,-110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=New Mexico State Aggies
