season,completed_week,target_week,game_id,date,away_team,home_team,baseline_market_spread,shadow_spread,later_market_spread,baseline_spread_error_to_later_market,shadow_spread_error_to_later_market,spread_market_error_improvement,shadow_improved_later_spread_estimate,baseline_market_total,shadow_total,later_market_total,baseline_total_error_to_later_market,shadow_total_error_to_later_market,total_market_error_improvement,shadow_improved_later_total_estimate,shadow_spread_movement_direction,later_spread_movement_direction,spread_direction_agreement,shadow_total_movement_direction,later_total_movement_direction,total_direction_agreement,actual_home_margin,baseline_spread_error_to_actual,shadow_spread_error_to_actual,shadow_improved_actual_spread_diagnostic,actual_total,baseline_total_error_to_actual,shadow_total_error_to_actual,shadow_improved_actual_total_diagnostic,eligibility_notes,provenance
2025,13,14,401762517,2025-11-29T20:00:00.000Z,UAB,Tulsa,-7.5,-10.148286779368654,-9.5,2.0,0.6482867793686538,1.3517132206313462,True,60.5,61.534128930912686,56.5,4.0,5.034128930912686,-1.0341289309126864,False,down,down,True,up,down,False,-7.0,14.5,17.148286779368654,False,55.0,5.5,6.534128930912686,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752783,2025-11-29T20:30:00.000Z,Missouri,Arkansas,2.5,3.1988423167332223,4.5,2.0,1.3011576832667777,0.6988423167332223,True,58.5,57.694596840824126,54.5,4.0,3.1945968408241256,0.8054031591758744,True,up,up,True,down,down,True,-14.0,11.5,10.801157683266778,True,48.0,10.5,9.694596840824126,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752789,2025-11-29T20:30:00.000Z,LSU,Oklahoma,-10.5,-9.382505422029155,-11.5,1.0,2.117494577970845,-1.1174945779708452,False,38.5,31.49493960095116,36.5,2.0,5.0050603990488405,-3.0050603990488405,False,up,down,False,down,down,True,4.0,6.5,5.382505422029155,True,30.0,8.5,1.4949396009511595,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752791,2025-11-29T20:30:00.000Z,Vanderbilt,Tennessee,-3.5,-2.8760665360302613,-2.5,1.0,0.3760665360302613,0.6239334639697387,True,64.5,63.425109309347604,66.5,2.0,3.0748906906523956,-1.0748906906523956,False,up,up,True,down,up,False,-21.0,24.5,23.87606653603026,True,69.0,4.5,5.574890690652396,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752917,2025-11-29T20:30:00.000Z,Oregon,Washington,10.5,9.680263476518029,6.5,4.0,3.1802634765180287,0.8197365234819713,True,52.5,50.14983449752892,51.5,1.0,1.3501655024710786,-0.3501655024710786,False,down,down,True,down,down,True,-12.0,1.5,2.3197365234819713,False,40.0,12.5,10.149834497528921,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752918,2025-11-29T20:30:00.000Z,Wisconsin,Minnesota,-2.5,-1.8148391614285113,2.5,5.0,4.3148391614285115,0.6851608385714885,True,38.5,39.17904423844323,38.5,0.0,0.6790442384432325,-0.6790442384432325,False,up,up,True,up,unchanged,False,10.0,7.5,8.18516083857149,False,24.0,14.5,15.179044238443232,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752920,2025-11-29T20:30:00.000Z,Penn State,Rutgers,10.5,16.445753931065966,14.5,4.0,1.9457539310659655,2.0542460689340345,True,55.5,51.64131142429266,55.5,0.0,3.8586885757073404,-3.8586885757073404,False,up,up,True,down,unchanged,False,-4.0,6.5,12.445753931065966,False,76.0,20.5,24.35868857570734,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401754610,2025-11-29T20:30:00.000Z,Wake Forest,Duke,-3.5,-1.1276075157094647,-2.5,1.0,1.3723924842905353,-0.3723924842905353,False,54.5,55.48801875493617,53.5,1.0,1.9880187549361708,-0.9880187549361708,False,up,up,True,up,down,False,17.0,13.5,15.872392484290536,False,81.0,26.5,25.51198124506383,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401756967,2025-11-29T20:30:00.000Z,Cincinnati,TCU,-4.5,-5.57711514913874,-3.5,1.0,2.0771151491387396,-1.0771151491387396,False,58.5,58.147658456149856,58.5,0.0,0.3523415438501445,-0.3523415438501445,False,down,up,False,down,unchanged,False,22.0,17.5,16.42288485086126,True,68.0,9.5,9.852341543850144,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401757313,2025-11-29T20:30:00.000Z,Kennesaw State,Liberty,2.5,3.522961816669266,2.5,0.0,1.022961816669266,-1.022961816669266,False,54.5,57.28321696180949,55.5,1.0,1.7832169618094866,-0.7832169618094866,False,up,unchanged,False,up,up,True,-6.0,3.5,2.477038183330734,True,90.0,35.5,32.71678303819051,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
