snapshot_prev,snapshot_latest,source_prev,source_latest,game_id,date,week,away_team,home_team,market,book,previous,latest,change,previous_price,latest_price,summary
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Clemson,LSU,Spread,FanDuel,-10.5,-9.5,1.0,-105.0,-120.0,Clemson at LSU spread -10.5 → -9.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,North Texas,Indiana,Spread,Caesars,-39.5,-40.5,-1.0,-110.0,-109.0,North Texas at Indian spread -39.5 → -40.5 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Oregon State,Houston,Spread,Caesars,-18.5,-19.5,-1.0,-110.0,-108.0,Oregon State at Houston spread -18.5 → -19.5 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Louisiana-Monroe,Mississippi State,Spread,Caesars,-28.5,-29.5,-1.0,-110.0,-105.0,Louisiana-Monroe at Mississippi State spread -28.5 → -29.5 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Eastern Kentucky,Jacksonville State,Spread,FanDuel,-19.5,-20.5,-1.0,-115.0,-110.0,Eastern Kentucky at Jacksonville State spread -19.5 → -20.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Idaho State,Utah State,Spread,FanDuel,-18.5,-17.5,1.0,-110.0,-110.0,Idaho State at Utah State spread -18.5 → -17.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Murray State,Middle Tennessee,Spread,FanDuel,-25.5,-24.5,1.0,-110.0,-110.0,Murray State at Middle Tennessee spread -25.5 → -24.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Murray State Racers,Middle Tennessee Blue Raiders,Spread,FanDuel,-25.5,-24.5,1.0,-110.0,-110.0,Murray State Racers at Middle Tennessee Blue Raiders spread -25.5 → -24.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Idaho State Bengals,Utah State,Spread,FanDuel,-18.5,-17.5,1.0,-110.0,-110.0,Idaho State Bengals at Utah State spread -18.5 → -17.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Eastern Kentucky Colonels,Jacksonville State Gamecocks,Spread,FanDuel,-19.5,-20.5,-1.0,-115.0,-110.0,Eastern Kentucky Colonels at Jacksonville State Gamecocks spread -19.5 → -20.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Clemson,LSU,Spread,DraftKings,-10.5,-10.0,0.5,-108.0,-112.0,Clemson at LSU spread -10.5 → -10 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Tulane,Duke,Spread,Caesars,-9.5,-10.0,-0.5,-110.0,-110.0,Tulane at Duke spread -9.5 → -10 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-10-17,,Notre Dame,BYU,Spread,DraftKings,10.5,10.0,-0.5,-112.0,-108.0,Notre Dame at BYU spread +10.5 → +10 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-13,,Arkansas Razorbacks,Utah Utes,Spread,DraftKings,-10.0,-9.5,0.5,-110.0,-108.0,Arkansas Razorbacks at Utah Utes spread -10 → -9.5 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Baylor,Auburn,Total,Caesars,59.5,60.5,1.0,,,Baylor at Auburn total 59.5 → 60.5 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,VMI,Virginia Tech,Total,FanDuel,57.5,58.5,1.0,,,VMI at Virginia Tech total 57.5 → 58.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,VMI Keydets,Virginia Tech Hokies,Total,FanDuel,57.5,58.5,1.0,,,VMI Keydets at Virginia Tech Hokies total 57.5 → 58.5 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Clemson,LSU,Total,Bally Bet,49.5,50.0,0.5,,,Clemson at LSU total 49.5 → 50 at Bally Bet
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Boise State,Oregon,Total,Caesars,52.5,52.0,-0.5,,,Boise State at Oregon total 52.5 → 52 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Baylor,Auburn,Total Over Price,Caesars,-117.0,-107.0,10.0,,,Baylor at Auburn total over price -117 → -107 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Boise State,Oregon,Total Over Price,Caesars,-106.0,-112.0,-6.0,,,Boise State at Oregon total over price -106 → -112 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-06,1.0,Louisville,Ole Miss,Total Over Price,Caesars,-110.0,-114.0,-4.0,,,Louisville at Ole Miss total over price -110 → -114 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Oregon State Beavers,Houston,Total Over Price,Bally Bet,-113.0,-109.0,4.0,,,Oregon State Beavers at Houston total over price -113 → -109 at Bally Bet
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Clemson,LSU,Total Over Price,Bally Bet,-113.0,-110.0,3.0,,,Clemson at LSU total over price -113 → -110 at Bally Bet
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-13,2.0,Arkansas,Utah,Total Over Price,DraftKings,-115.0,-112.0,3.0,,,Arkansas at Utah total over price -115 → -112 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Arkansas State Red Wolves,Memphis,Total Over Price,Bally Bet,-110.0,-113.0,-3.0,,,Arkansas State Red Wolves at Memphis total over price -110 → -113 at Bally Bet
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-13,,Arkansas Razorbacks,Utah Utes,Total Over Price,DraftKings,-115.0,-112.0,3.0,,,Arkansas Razorbacks at Utah Utes total over price -115 → -112 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,VMI,Virginia Tech,Total Over Price,FanDuel,-112.0,-110.0,2.0,,,VMI at Virginia Tech total over price -112 → -110 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,VMI Keydets,Virginia Tech Hokies,Total Over Price,FanDuel,-112.0,-110.0,2.0,,,VMI Keydets at Virginia Tech Hokies total over price -112 → -110 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-10-17,,Notre Dame,BYU,Total Over Price,DraftKings,-110.0,-112.0,-2.0,,,Notre Dame at BYU total over price -110 → -112 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-08-29,1.0,New Mexico State,Florida State,Total Over Price,Caesars,-105.0,-106.0,-1.0,,,New Mexico State at Florida State total over price -105 → -106 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Coastal Carolina,West Virginia,Total Over Price,Caesars,-112.0,-113.0,-1.0,,,Coastal Carolina at West Virgini total over price -112 → -113 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Baylor,Auburn,Total Under Price,Caesars,-105.0,-113.0,-8.0,,,Baylor at Auburn total under price -105 → -113 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Boise State,Oregon,Total Under Price,Caesars,-115.0,-108.0,7.0,,,Boise State at Oregon total under price -115 → -108 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Oregon State Beavers,Houston,Total Under Price,Bally Bet,-108.0,-112.0,-4.0,,,Oregon State Beavers at Houston total under price -108 → -112 at Bally Bet
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-06,1.0,Louisville,Ole Miss,Total Under Price,Caesars,-110.0,-107.0,3.0,,,Louisville at Ole Miss total under price -110 → -107 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-13,2.0,Arkansas,Utah,Total Under Price,DraftKings,-105.0,-108.0,-3.0,,,Arkansas at Utah total under price -105 → -108 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-13,,Arkansas Razorbacks,Utah Utes,Total Under Price,DraftKings,-105.0,-108.0,-3.0,,,Arkansas Razorbacks at Utah Utes total under price -105 → -108 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Clemson,LSU,Total Under Price,Bally Bet,-108.0,-110.0,-2.0,,,Clemson at LSU total under price -108 → -110 at Bally Bet
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,VMI,Virginia Tech,Total Under Price,FanDuel,-108.0,-110.0,-2.0,,,VMI at Virginia Tech total under price -108 → -110 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,Kent State,South Carolina,Total Under Price,Caesars,100.0,102.0,2.0,,,Kent State at South Carolin total under price +100 → +102 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,VMI Keydets,Virginia Tech Hokies,Total Under Price,FanDuel,-108.0,-110.0,-2.0,,,VMI Keydets at Virginia Tech Hokies total under price -108 → -110 at FanDuel
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-09-05,,Arkansas State Red Wolves,Memphis,Total Under Price,Bally Bet,-110.0,-108.0,2.0,,,Arkansas State Red Wolves at Memphis total under price -110 → -108 at Bally Bet
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,The Odds API,The Odds API,,2026-10-17,,Notre Dame,BYU,Total Under Price,DraftKings,-110.0,-108.0,2.0,,,Notre Dame at BYU total under price -110 → -108 at DraftKings
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-05,1.0,UTEP,Oklahoma,Total Under Price,Caesars,-108.0,-109.0,-1.0,,,UTEP at Oklahom total under price -108 → -109 at Caesars
2026-07-28T12:01:07+00:00,2026-07-29T12:36:52+00:00,Action Network,Action Network,,2026-09-06,1.0,Central Michigan,New Mexico,Total Under Price,Caesars,-109.0,-110.0,-1.0,,,Central Michigan at New Mexico total under price -109 → -110 at Caesars
