metric,value
rp_2021_teams,127
rp_2022_teams,131
rp_2023_2025_team_seasons,324
combined_rp_team_seasons,582
market_file,/Users/jameslindesmith/NCAAF_AUTO/data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv
market_shape,home_away
market_columns,game_id | season | week | start_date | home_team | away_team | home_score | away_score | provider | closing_home_spread | opening_home_spread | closing_total | opening_total | home_moneyline | away_moneyline | home_season | home_week | home_opponent | home_prior_games | home_pregame_off_plays | home_pregame_off_pass_rate | home_pregame_off_neutral_pass_rate | home_pregame_off_early_down_pass_rate | home_pregame_off_qb_run_share | home_pregame_off_rush_success_rate | home_pregame_off_pass_success_rate | home_pregame_off_success_rate | home_pregame_off_explosiveness | home_pregame_off_explosive_rush_rate | home_pregame_off_explosive_pass_rate | home_pregame_off_ppa | home_pregame_def_plays | home_pregame_def_pass_rate_faced | home_pregame_def_rush_success_allowed | home_pregame_def_pass_success_allowed | home_pregame_def_success_allowed | home_pregame_def_explosiveness_allowed | home_pregame_def_explosive_rush_allowed | home_pregame_def_explosive_pass_allowed | home_pregame_def_ppa_allowed | home_pregame_def_havoc_rate | home_pregame_def_front_seven_havoc_rate | home_pregame_def_db_havoc_rate | home_pregame_off_drive_elapsed_seconds_per_play | home_league_neutral_pass | home_pregame_adj_off_neutral_pass_effect | home_pregame_adj_def_neutral_pass_allowed_effect | home_matchup_expected_off_neutral_pass | home_adj_off_neutral_pass_games | home_adj_def_neutral_pass_games | home_league_success | home_pregame_adj_off_success_effect | home_pregame_adj_def_success_allowed_effect | home_matchup_expected_off_success | home_adj_off_success_games | home_adj_def_success_games | home_league_explosiveness | home_pregame_adj_off_explosiveness_effect | home_pregame_adj_def_explosiveness_allowed_effect | home_matchup_expected_off_explosiveness | home_adj_off_explosiveness_games | home_adj_def_explosiveness_games | home_league_ppa | home_pregame_adj_off_ppa_effect | home_pregame_adj_def_ppa_allowed_effect | home_matchup_expected_off_ppa | home_adj_off_ppa_games | home_adj_def_ppa_games | home_league_pace_seconds | home_pregame_adj_off_pace_seconds_effect | home_pregame_adj_def_pace_seconds_allowed_effect | home_matchup_expected_off_pace_seconds | home_adj_off_pace_seconds_games | home_adj_def_pace_seconds_games | home_league_havoc | home_pregame_adj_def_havoc_effect | home_pregame_adj_off_havoc_allowed_effect | home_matchup_expected_def_havoc | home_adj_def_havoc_games | home_adj_off_havoc_allowed_games | away_season | away_week | away_opponent | away_prior_games | away_pregame_off_plays | away_pregame_off_pass_rate | away_pregame_off_neutral_pass_rate | away_pregame_off_early_down_pass_rate | away_pregame_off_qb_run_share | away_pregame_off_rush_success_rate | away_pregame_off_pass_success_rate | away_pregame_off_success_rate | away_pregame_off_explosiveness | away_pregame_off_explosive_rush_rate | away_pregame_off_explosive_pass_rate | away_pregame_off_ppa | away_pregame_def_plays | away_pregame_def_pass_rate_faced | away_pregame_def_rush_success_allowed | away_pregame_def_pass_success_allowed | away_pregame_def_success_allowed | away_pregame_def_explosiveness_allowed | away_pregame_def_explosive_rush_allowed | away_pregame_def_explosive_pass_allowed | away_pregame_def_ppa_allowed | away_pregame_def_havoc_rate | away_pregame_def_front_seven_havoc_rate | away_pregame_def_db_havoc_rate | away_pregame_off_drive_elapsed_seconds_per_play | away_league_neutral_pass | away_pregame_adj_off_neutral_pass_effect | away_pregame_adj_def_neutral_pass_allowed_effect | away_matchup_expected_off_neutral_pass | away_adj_off_neutral_pass_games | away_adj_def_neutral_pass_games | away_league_success | away_pregame_adj_off_success_effect | away_pregame_adj_def_success_allowed_effect | away_matchup_expected_off_success | away_adj_off_success_games | away_adj_def_success_games | away_league_explosiveness | away_pregame_adj_off_explosiveness_effect | away_pregame_adj_def_explosiveness_allowed_effect | away_matchup_expected_off_explosiveness | away_adj_off_explosiveness_games | away_adj_def_explosiveness_games | away_league_ppa | away_pregame_adj_off_ppa_effect | away_pregame_adj_def_ppa_allowed_effect | away_matchup_expected_off_ppa | away_adj_off_ppa_games | away_adj_def_ppa_games | away_league_pace_seconds | away_pregame_adj_off_pace_seconds_effect | away_pregame_adj_def_pace_seconds_allowed_effect | away_matchup_expected_off_pace_seconds | away_adj_off_pace_seconds_games | away_adj_def_pace_seconds_games | away_league_havoc | away_pregame_adj_def_havoc_effect | away_pregame_adj_off_havoc_allowed_effect | away_matchup_expected_def_havoc | away_adj_def_havoc_games | away_adj_off_havoc_allowed_games | actual_home_margin | actual_total_points | closing_spread_residual | closing_total_residual | spread_move_close_minus_open | total_move_close_minus_open | split | minimum_prior_games | eligible_week5_plus
raw_directional_rows_weeks_1_4,2038
deduplicated_team_side_rows,2038
complete_rp_team_side_rows,1606
unmatched_team_season_names,166
unique_games_with_complete_rp,803
complete_team_side_rows_2021,388
complete_team_side_rows_2022,416
complete_team_side_rows_2023,296
complete_team_side_rows_2024,250
complete_team_side_rows_2025,256
