game_id,season,week,start_date,away_team,home_team,opening_total,closing_total,actual_total,sagarin_total,sagarin_snapshot_timestamp,sagarin_snapshot_age_hours,sagarin_snapshot_age_days,sagarin_format,sagarin_source_url,sagarin_blanket_default,sagarin_age_days,sagarin_freshness_bucket,sagarin_within_7d,sagarin_2024_boundary_value,sagarin_2024_average_validation_flag,sagarin_quality_status,sagarin_research_grade,sagarin_research_grade_7d
401309838,2021,1,2021-09-04T18:00:00.000Z,Fresno State,Oregon,,63.0,55.0,50.38,20210903190553,22.9,0.95,regular_total_only,https://web.archive.org/web/20210903190553id_/http://sagarin.com/sports/cfsend.htm,False,0.9541666666666666,<=24h,True,False,False,research_grade,True,True
401309842,2021,1,2021-09-04T21:00:00.000Z,San José State,USC,,61.0,37.0,50.38,20210903190553,25.9,1.08,regular_total_only,https://web.archive.org/web/20210903190553id_/http://sagarin.com/sports/cfsend.htm,False,1.0791666666666666,24-72h,True,False,False,research_grade,True,True
401282179,2021,1,2021-09-04T23:30:00.000Z,UTSA,Illinois,,52.0,67.0,50.38,20210903190553,28.4,1.18,regular_total_only,https://web.archive.org/web/20210903190553id_/http://sagarin.com/sports/cfsend.htm,False,1.1833333333333333,24-72h,True,False,False,research_grade,True,True
401281948,2021,1,2021-09-05T00:30:00.000Z,LSU,UCLA,,63.5,65.0,50.38,20210903190553,29.4,1.23,regular_total_only,https://web.archive.org/web/20210903190553id_/http://sagarin.com/sports/cfsend.htm,False,1.2249999999999999,24-72h,True,False,False,research_grade,True,True
401310699,2021,1,2021-09-05T02:30:00.000Z,New Mexico State,San Diego State,,50.5,38.0,50.38,20210903190553,31.4,1.31,regular_total_only,https://web.archive.org/web/20210903190553id_/http://sagarin.com/sports/cfsend.htm,False,1.3083333333333333,24-72h,True,False,False,research_grade,True,True
401282208,2021,4,2021-09-23T23:30:00.000Z,Marshall,App State,,59.5,61.0,52.66,20210920131916,82.18,3.42,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,3.424166666666667,3-7d,True,False,False,research_grade,True,True
401282204,2021,4,2021-09-24T22:30:00.000Z,Middle Tennessee,Charlotte,,55.5,81.0,44.36,20210920131916,105.18,4.38,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,4.3825,3-7d,True,False,False,research_grade,True,True
401282638,2021,4,2021-09-24T23:00:00.000Z,Wake Forest,Virginia,,71.0,54.0,55.11,20210920131916,105.68,4.4,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,4.403333333333333,3-7d,True,False,False,research_grade,True,True
401282637,2021,4,2021-09-25T00:00:00.000Z,Liberty,Syracuse,,54.0,45.0,43.49,20210920131916,106.68,4.44,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,4.445,3-7d,True,False,False,research_grade,True,True
401310707,2021,4,2021-09-25T02:00:00.000Z,UNLV,Fresno State,,59.0,68.0,68.23,20210920131916,108.68,4.53,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,4.528333333333333,3-7d,True,False,False,research_grade,True,True
401282085,2021,4,2021-09-25T16:00:00.000Z,LSU,Mississippi State,,55.0,53.0,58.75,20210920131916,122.68,5.11,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,5.111666666666667,3-7d,True,False,False,research_grade,True,True
401282086,2021,4,2021-09-25T16:00:00.000Z,Missouri,Boston College,,58.0,75.0,58.93,20210920131916,122.68,5.11,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,5.111666666666667,3-7d,True,False,False,research_grade,True,True
401282088,2021,4,2021-09-25T16:00:00.000Z,Georgia,Vanderbilt,,54.0,62.0,43.26,20210920131916,122.68,5.11,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,5.111666666666667,3-7d,True,False,False,research_grade,True,True
401282206,2021,4,2021-09-25T16:00:00.000Z,Florida International,Central Michigan,,55.5,58.0,58.06,20210920131916,122.68,5.11,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,5.111666666666667,3-7d,True,False,False,research_grade,True,True
401282707,2021,4,2021-09-25T16:00:00.000Z,Notre Dame,Wisconsin,,44.0,54.0,43.15,20210920131916,122.68,5.11,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,5.111666666666667,3-7d,True,False,False,research_grade,True,True
401282792,2021,4,2021-09-25T16:00:00.000Z,Bowling Green,Minnesota,,51.0,24.0,44.16,20210920131916,122.68,5.11,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,5.111666666666667,3-7d,True,False,False,research_grade,True,True
401282805,2021,4,2021-09-25T16:00:00.000Z,Ohio,Northwestern,,47.5,41.0,45.48,20210920131916,122.68,5.11,regular_total_only,https://web.archive.org/web/20210920131916id_/http://sagarin.com/sports/cfsend.htm,False,5.111666666666667,3-7d,True,False,False,research_grade,True,True
