game_id,week,date,away_team,home_team,projection_margin_home,projection_margin_home_source,projection_margin_home_raw,market_spread_home,market_spread_home_source,market_spread_home_raw,ats_edge_home,ats_edge_side,projected_total,projected_total_source,projected_total_raw,market_total,market_total_source,market_total_raw,total_edge,total_side,has_projection_spread,has_market_spread,has_ats_edge,has_projection_total,has_market_total,has_total_edge,possible_pk_bug
g35,1,2026-09-05,Boston College,Cincinnati,8.1,blend_spread_home,8.1,,,,,,53.9,blend_total,53.9,,,,,,True,False,False,True,False,False,False
g36,1,2026-09-05,Wyoming,Colorado State,3.3,blend_spread_home,3.3,,,,,,43.4,blend_total,43.4,,,,,,True,False,False,True,False,False,False
g37,1,2026-09-05,Lafayette,Connecticut,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g38,1,2026-09-05,Tulane,Duke,14.4,blend_spread_home,14.4,,,,,,55.4,blend_total,55.4,,,,,,True,False,False,True,False,False,False
g39,1,2026-09-05,Florida Atlantic,Florida,24.5,blend_spread_home,24.5,,,,,,54.1,blend_total,54.1,,,,,,True,False,False,True,False,False,False
g40,1,2026-09-05,Tennessee State,Georgia,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g41,1,2026-09-05,Charleston So.,Georgia Southern,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g42,1,2026-09-05,UNLV,Hawaii,-4.6,blend_spread_home,-4.6,,,,,,57.4,blend_total,57.4,,,,,,True,False,False,True,False,False,False
g43,1,2026-09-05,Oregon State,Houston,16.2,blend_spread_home,16.2,,,,,,50.8,blend_total,50.8,,,,,,True,False,False,True,False,False,False
g44,1,2026-09-05,UAB,Illinois,28.9,blend_spread_home,28.9,,,,,,56.2,blend_total,56.2,,,,,,True,False,False,True,False,False,False
g45,1,2026-09-05,North Texas,Indiana,38.2,blend_spread_home,38.2,,,,,,54.8,blend_total,54.8,,,,,,True,False,False,True,False,False,False
g46,1,2026-09-05,Northern Illinois,Iowa,34.2,blend_spread_home,34.2,,,,,,46.6,blend_total,46.6,,,,,,True,False,False,True,False,False,False
g47,1,2026-09-05,Southeast Missouri,Iowa State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g48,1,2026-09-05,Liberty,JMU,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g49,1,2026-09-05,Eastern Kentucky,Jacksonville State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g50,1,2026-09-05,Nicholls,Kansas State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g51,1,2026-09-05,Youngstown State,Kentucky,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g52,1,2026-09-05,Clemson,LSU,11.3,blend_spread_home,11.3,,,,,,45.8,blend_total,45.8,,,,,,True,False,False,True,False,False,False
g53,1,2026-09-05,Lamar,Louisiana,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g54,1,2026-09-05,Northwestern State,Louisiana Tech,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g55,1,2026-09-05,Hampton,Maryland,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g56,1,2026-09-05,Arkansas State,Memphis,9.9,blend_spread_home,9.9,,,,,,57.1,blend_total,57.1,,,,,,True,False,False,True,False,False,False
g57,1,2026-09-05,Western Michigan,Michigan,26.2,blend_spread_home,26.2,,,,,,46.9,blend_total,46.9,,,,,,True,False,False,True,False,False,False
g58,1,2026-09-05,Toledo,Michigan State,13.9,blend_spread_home,13.9,,,,,,48.6,blend_total,48.6,,,,,,True,False,False,True,False,False,False
g59,1,2026-09-05,Murray State,Middle Tennessee,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
