game_id,week,date,away_team,home_team,neutral_site,site_spread_home,site_spread_text,site_total,blend_spread_home,blend_spread_text,blend_total,spread_sources_used,total_sources_used,spread_weight_detail,total_weight_detail,source_count_spread,source_count_total,dratings_spread_home,dratings_spread_text,dratings_total,spread_disagreement_dratings,total_disagreement_dratings,spread_weight_dratings,total_weight_dratings,massey_spread_home,massey_spread_text,massey_total,spread_disagreement_massey,total_disagreement_massey,spread_weight_massey,total_weight_massey,sagarin_homeaway_spread_home,sagarin_homeaway_spread_text,sagarin_homeaway_total,spread_disagreement_sagarin_homeaway,total_disagreement_sagarin_homeaway,spread_weight_sagarin_homeaway,total_weight_sagarin_homeaway,sagarin_predictor_spread_home,sagarin_predictor_spread_text,sagarin_predictor_total,spread_disagreement_sagarin_predictor,total_disagreement_sagarin_predictor,spread_weight_sagarin_predictor,total_weight_sagarin_predictor,spread_disagreement,total_disagreement
g1,0,2026-08-29,Sacramento State,Eastern Michigan,False,5.165,Eastern Michigan -5.2,51.8,5.165,Eastern Michigan -5.2,51.8,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,3.0,Eastern Michigan -3.0,56.5,2.165,4.7,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g2,0,2026-08-29,New Mexico State,Florida State,False,27.5325,Florida State -27.5,50.35,27.532,Florida State -27.5,50.35,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,31.0,Florida State -31.0,51.5,3.468,1.15,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g3,0,2026-08-29,Jacksonville State,North Dakota State,False,7.53,North Dakota State -7.5,53.5,7.53,North Dakota State -7.5,53.5,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,14.0,North Dakota State -14.0,55.5,6.47,2.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g4,0,2026-08-29,Hawaii,Stanford,False,3.56,Stanford -3.6,50.9,3.56,Stanford -3.6,50.9,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,7.0,Stanford -7.0,52.5,3.44,1.6,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g5,0,2026-08-29,North Carolina,TCU,True,5.5925,TCU -5.6,49.4,5.593,TCU -5.6,49.4,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,11.0,TCU -11.0,52.5,5.407,3.1,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g6,0,2026-08-29,Memphis,UNLV,False,4.9175,UNLV -4.9,58.95,4.918,UNLV -4.9,58.95,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,-1.0,Memphis -1.0,59.5,5.918,0.55,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g7,0,2026-08-29,San Jose State,USC,False,36.1575,USC -36.2,55.2,36.157,USC -36.2,55.2,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,31.0,USC -31.0,55.5,5.157,0.3,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g8,0,2026-08-29,NC State,Virginia,True,2.7275,Virginia -2.7,51.1,2.728,Virginia -2.7,51.1,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,1.0,Virginia -1.0,53.5,1.728,2.4,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g9,1,2026-09-03,UAlbany,Buffalo,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,25.0,Buffalo -25.0,50.5,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g10,1,2026-09-03,Bethune-Cookman,Central Florida,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,45.0,Central Florida -45.0,53.5,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g11,1,2026-09-03,Merrimack,Delaware,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g12,1,2026-09-03,Colorado,Georgia Tech,False,5.4175,Georgia Tech -5.4,51.7,5.418,Georgia Tech -5.4,51.7,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,7.0,Georgia Tech -7.0,55.5,1.582,3.8,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g13,1,2026-09-03,West Georgia,Kennesaw State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,14.0,Kennesaw State -14.0,52.5,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g14,1,2026-09-03,Eastern Illinois,Minnesota,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,42.0,Minnesota -42.0,48.5,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g15,1,2026-09-03,UAPB,Missouri,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g16,1,2026-09-03,Massachusetts,Rutgers,False,29.3625,Rutgers -29.4,54.4,29.363,Rutgers -29.4,54.4,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,35.0,Rutgers -35.0,54.5,5.637,0.1,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g17,1,2026-09-03,Idaho,Utah,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,38.0,Utah -38.0,53.5,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g18,1,2026-09-03,Akron,Wake Forest,False,23.905,Wake Forest -23.9,44.9,23.905,Wake Forest -23.9,44.9,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,27.0,Wake Forest -27.0,50.5,3.095,5.6,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g19,1,2026-09-04,San Jose State,Eastern Michigan,False,2.015,Eastern Michigan -2.0,51.4,2.015,Eastern Michigan -2.0,51.4,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g20,1,2026-09-04,North Carolina A&T,Georgia State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g21,1,2026-09-04,LIU,Kansas,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
