market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-10,2026-05-11,2026,,Kansas,FanDuel,Under Odds,+126,+128,2.0,-0.39,Kansas FanDuel under +126 → +128
Win Total,2026-05-10,2026-05-11,2026,Conference USA,Kennesaw St.,Caesars,Over Odds,+120,+100,-20.0,4.55,Kennesaw St. Caesars over +120 → +100
Win Total,2026-05-10,2026-05-11,2026,Conference USA,Kennesaw St.,Caesars,Under Odds,-150,-130,20.0,-3.48,Kennesaw St. Caesars under -150 → -130
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Kent St.,Caesars,Over Odds,-185,-200,-15.0,1.75,Kent St. Caesars over -185 → -200
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Kent St.,Caesars,Under Odds,+145,+150,5.0,-0.82,Kent St. Caesars under +145 → +150
Win Total,2026-05-10,2026-05-11,2026,Southeastern,LSU,Caesars,Over Odds,-135,-120,15.0,-2.9,LSU Caesars over -135 → -120
Win Total,2026-05-10,2026-05-11,2026,Southeastern,LSU,Caesars,Under Odds,+105,-110,-215.0,3.6,LSU Caesars under +105 → -110
Win Total,2026-05-10,2026-05-11,2026,Atlantic Coast,Louisville,Caesars,Over Odds,-165,-180,-15.0,2.02,Louisville Caesars over -165 → -180
Win Total,2026-05-10,2026-05-11,2026,Atlantic Coast,Louisville,Caesars,Under Odds,+130,+140,10.0,-1.81,Louisville Caesars under +130 → +140
Win Total,2026-05-10,2026-05-11,2026,,Louisville,FanDuel,Over Odds,-154,-170,-16.0,2.33,Louisville FanDuel over -154 → -170
Win Total,2026-05-10,2026-05-11,2026,,Louisville,FanDuel,Under Odds,+126,+138,12.0,-2.23,Louisville FanDuel under +126 → +138
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Marshall,Caesars,Over Odds,+100,+115,15.0,-3.49,Marshall Caesars over +100 → +115
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Marshall,Caesars,Under Odds,-130,-150,-20.0,3.48,Marshall Caesars under -130 → -150
