Date,Account,Bet Description,Source,Sportsbook,Bet Amount,Sport,Bet,Bet Type,Bet Line,Bet Price,Result,Profit,Running Profit,Closing Line,Closing Price,CLV,EV,Notes,CLV %,missing_date,missing_sport,missing_bet_type,pulled_at,stake,bet_price,bet_line,closing_line,closing_price,profit_num,status,is_open,realized_profit,side,team_guess,line_clv,bet_implied_prob,closing_implied_prob,price_clv_pp,book_norm,current_market_match,current_market_source,current_market_book,current_market_line,current_market_price,current_market_note,line_clv_current,price_clv_current_pp,clv_pct_current,current_no_vig_prob,line_adjusted_fair_prob,ev_current_dollars,ev_current_pct,beat_clv,clv_category,market_category,clv_grade,week_bucket,bet_id,closing_clv_frozen,closing_frozen_at,closing_kickoff_utc,closing_game,closing_market_source,closing_market_book,closing_market_line,closing_market_price,closing_line_clv,closing_price_clv_pp,closing_clv_pct,closing_ev_dollars,closing_ev_pct
3/14/2025,James,Conf Title,Powers,Fan Duel,$115.0,NCAAF,Texas tech win big 12,Future,0.0,-115.0,,-$115.0,-$726,,,,,,,False,False,False,2026-07-18T08:01:26,115.0,-115.0,0.0,,,-115.0,Open,True,0.0,Yes,Texas Tech,,0.5348837209302325,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,-120.0,,,1.0570824524312905,0.0105708245243129,,0.5454545454545454,2.272727272727259,0.0197628458498022,Yes,Conference Future,Conference Future,Positive,Preseason,5fb2e5bc4bafa93c,,,,,,,,,,,,,
3/14/2025,James,Conf Title,Model,Draft Kings,$100.0,NCAAF,Boise win Pac12,Future,0.0,160.0,,-$100.0,-$826,,,,,,,False,False,False,2026-07-18T08:01:26,100.0,160.0,0.0,,,-100.0,Open,True,0.0,Yes,Boise State,,0.3846153846153846,,,DraftKings,True,market_conference_futures_import.csv,DraftKings,,170.0,,,-1.4245014245014287,-0.0142450142450142,,0.3703703703703703,-3.7037037037037095,-0.0370370370370371,No,Conference Future,Conference Future,Neutral/Negative,Preseason,498492d78143f9a8,,,,,,,,,,,,,
5/11/2026,James,Conf Title,Model,Fan Duel,$50.0,NCAAF,Miami OH win Mac,Future,0.0,420.0,,-$50.0,-$876,,,,,,,False,False,False,2026-07-18T08:01:26,50.0,420.0,0.0,,,-50.0,Open,True,0.0,Yes,Miami-OH,,0.1923076923076923,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,440.0,,,-0.7122507122507143,-0.0071225071225071,,0.1851851851851851,-1.851851851851862,-0.0370370370370372,No,Conference Future,Conference Future,Neutral/Negative,Preseason,37f8053ab2020569,,,,,,,,,,,,,
5/11/2026,James,Conf Title,Model,Draft Kings,$50.0,NCAAF,Unlv win MW,Future,0.0,240.0,,-$50.0,-$926,,,,,,,False,False,False,2026-07-18T08:01:26,50.0,240.0,0.0,,,-50.0,Open,True,0.0,Yes,UNLV,,0.2941176470588235,,,DraftKings,True,market_conference_futures_import.csv,DraftKings,,260.0,,,-1.633986928104575,-0.0163398692810457,,0.2777777777777778,-2.7777777777777715,-0.0555555555555554,No,Conference Future,Conference Future,Neutral/Negative,Preseason,9aa2eb633199b659,,,,,,,,,,,,,
5/11/2026,James,Win Total,Powers,Draft Kings,$100.0,NCAAF,north dakota state under 9.5,Total,9.5,-135.0,,-$100.0,"-$1,026",,,,,,,False,False,False,2026-07-18T08:01:26,100.0,-135.0,9.5,,,-100.0,Open,True,0.0,Under,North Dakota State,,0.574468085106383,,,DraftKings,True,market_win_totals_import.csv,Caesars,9.5,-240.0,,0.0,8.95635354469767,0.0895635354469767,0.6640316205533597,0.6640316205533597,15.590689503732996,0.1559068950373299,Yes,Win Total,Win Total,Positive,Preseason,b5e2b56a85742822,,,,,,,,,,,,,
6/21/2026,James,Conf Title,Model,Fan Duel,$50.0,NCAAF,Navy win American,Future,0.0,490.0,,-$50.0,"-$1,076",,,,,,,False,False,False,2026-07-18T08:01:26,50.0,490.0,0.0,,,-50.0,Open,True,0.0,Yes,Navy,,0.1694915254237288,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,490.0,,,0.0,0.0,,0.1694915254237288,7.105427357601002e-15,1.4210854715202004e-16,No,Conference Future,Conference Future,Neutral/Negative,Preseason,819d29641d621572,,,,,,,,,,,,,
6/21/2026,James,Conf Title,Model,Fan Duel,$50.0,NCAAF,James Madison ,Future,0.0,300.0,,-$50.0,"-$1,126",,,,,,,False,False,False,2026-07-18T08:01:26,50.0,300.0,0.0,,,-50.0,Open,True,0.0,Yes,James Madison,,0.25,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,320.0,,,-1.1904761904761918,-0.0119047619047619,,0.238095238095238,-2.3809523809523796,-0.0476190476190475,No,Conference Future,Conference Future,Neutral/Negative,Preseason,5ec16c672c672573,,,,,,,,,,,,,
6/21/2026,James,Week 1,Powers,Draft Kings,$110.0,NCAAF,Miami oh,Side,16.5,-110.0,,-$110.0,"-$1,236",,,,,,,False,False,False,2026-07-18T08:01:26,110.0,-110.0,16.5,,,-110.0,Open,True,0.0,,Miami-OH,,0.5238095238095238,,,DraftKings,True,data/odds/action_ncaaf_game_lines_2026.csv,DraftKings,16.5,-110.0,Miami-OH at Pittsburgh,0.0,0.0,0.0,0.5238095238095238,0.5238095238095238,7.105427357601002e-15,6.45947941600091e-17,No,Spread,Spread,Neutral/Negative,Week 1,8b3cb466fb86f302,,,,,,,,,,,,,
6/21/2026,,Conf Title,Model,Fan Duel,$50.0,NCAAF,Western Kentucky ,Future,0.0,320.0,,-$50.0,"-$1,286",,,,,,,False,False,False,2026-07-18T08:01:26,50.0,320.0,0.0,,,-50.0,Open,True,0.0,Yes,Western Kentucky,,0.238095238095238,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,310.0,,,0.5807200929152156,0.0058072009291521,,0.2439024390243902,1.2195121951219503,0.024390243902439,Yes,Conference Future,Conference Future,Positive,Preseason,0795ba0107ccb2e0,,,,,,,,,,,,,
6/21/2026,,Win Total,Model,Fan Duel,$90.0,NCAAF,southern miss under 4.5,Total,4.5,-180.0,,-$90.0,"-$1,376",,,,,,,False,False,False,2026-07-18T08:01:26,90.0,-180.0,4.5,,,-90.0,Open,True,0.0,Under,Southern Miss,,0.6428571428571429,,,FanDuel,True,market_win_totals_import.csv,FanDuel,3.5,104.0,,1.0,-2.671386513388485,-0.0267138651338848,0.4661432777232581,0.616143277723258,-3.739941118743872,-0.0415549013193763,No,Win Total,Win Total,Neutral/Negative,Preseason,2f2bbf34e42b5280,,,,,,,,,,,,,
