source_file,source_type,coach,coach_norm,team,team_norm,detail
Coach_betting_data/coach_team_mapping_review.csv,Full_Unknown,,,Northwestern,northwestern,
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=12; Wins=4; Losses=8
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=12; Wins=6; Losses=6
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=9; Losses=4
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=8; Losses=5
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=7; Losses=6
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=6; Losses=7
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=10; Losses=3
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=12; Wins=5; Losses=7
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=12; Wins=5; Losses=7
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=10; Losses=3
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=7; Losses=6
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=13; Wins=10; Losses=3
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=14; Wins=9; Losses=5
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=12; Wins=3; Losses=9
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=9; Wins=7; Losses=2
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=12; Wins=3; Losses=9
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,Pat Fitzgerald,pat fitzgerald,Northwestern,northwestern,Games=12; Wins=1; Losses=11
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,David Braun,david braun,Northwestern,northwestern,Games=13; Wins=8; Losses=5
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,David Braun,david braun,Northwestern,northwestern,Games=12; Wins=4; Losses=8
Coach_betting_data/coach_tenures_2006_2025.csv,Full_Unknown,David Braun,david braun,Northwestern,northwestern,Games=0; Wins=0; Losses=0
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=5; ATS L=6; ATS Push=0; ATS %=0.455; ATS +/-=0.9; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2006; Over W=3; Under W=8; OU Push=0; Over %=0.273
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=4; ATS L=7; ATS Push=0; ATS %=0.364; ATS +/-=-4.1; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2007; Over W=5; Under W=6; OU Push=0; Over %=0.455
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=7; ATS L=5; ATS Push=0; ATS %=0.583; ATS +/-=3.4; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2008; Over W=3; Under W=9; OU Push=0; Over %=0.25
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=6; ATS L=6; ATS Push=0; ATS %=0.5; ATS +/-=1.3; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2009; Over W=6; Under W=6; OU Push=0; Over %=0.5
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=4; ATS L=9; ATS Push=0; ATS %=0.308; ATS +/-=-2.5; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2010; Over W=8; Under W=5; OU Push=0; Over %=0.615
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=5; ATS L=8; ATS Push=0; ATS %=0.385; ATS +/-=0.0; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2011; Over W=6; Under W=7; OU Push=0; Over %=0.462
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=12; ATS L=1; ATS Push=0; ATS %=0.923; ATS +/-=6.0; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2012; Over W=5; Under W=7; OU Push=0; Over %=0.417
Coach_betting_data/team_betting_trends_2006_2025.csv,Full_Total,,,Northwestern,northwestern,ATS W=3; ATS L=9; ATS Push=0; ATS %=0.25; ATS +/-=-6.5; Source ATS URL=https://www.teamrankings.com/ncf/trends/ats_trends/?range=yearly_2013; Over W=4; Under W=8; OU Push=0; Over %=0.3329999999999999
