season,week,game_id,team,opponent,home_away,raw_game_control,control_auc,game_control_index,play_states,source_file
2021,01,401281952,Tennessee,Bowling Green,home,0.7940615147227873,0.7940615147227873,29.40615147227873,194,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401281952,Bowling Green,Tennessee,away,0.2059384852772127,0.2059384852772127,-29.40615147227873,194,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282051,Florida International,Long Island University,home,0.8503015644610461,0.8503015644610461,35.03015644610461,45,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282051,Long Island University,Florida International,away,0.1496984355389539,0.1496984355389539,-35.03015644610461,45,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401310694,UNLV,Eastern Washington,home,0.42926453490369876,0.42926453490369876,-7.073546509630124,181,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401310694,Eastern Washington,UNLV,away,0.5707354650963012,0.5707354650963012,7.073546509630124,181,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309835,Arizona State,Southern Utah,home,0.8165616528096411,0.8165616528096411,31.65616528096411,152,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309835,Southern Utah,Arizona State,away,0.1834383471903589,0.1834383471903589,-31.65616528096411,152,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309937,Virginia Tech,North Carolina,home,0.7092510481354529,0.7092510481354529,20.925104813545293,156,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309937,North Carolina,Virginia Tech,away,0.2907489518645471,0.2907489518645471,-20.925104813545293,156,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309541,Eastern Michigan,St. Francis (PA),home,0.8198661499075467,0.8198661499075467,31.98661499075467,182,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309541,St. Francis (PA),Eastern Michigan,away,0.1801338500924533,0.1801338500924533,-31.98661499075467,182,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282052,Charlotte,Duke,home,0.5273177944545063,0.5273177944545063,2.731779445450633,178,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282052,Duke,Charlotte,away,0.47268220554549367,0.47268220554549367,-2.731779445450633,178,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282608,Wake Forest,Old Dominion,home,0.8375555631574781,0.8375555631574781,33.75555631574782,178,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282608,Old Dominion,Wake Forest,away,0.16244443684252186,0.16244443684252186,-33.75555631574782,178,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401287888,Kansas,South Dakota,home,0.55747672167695,0.55747672167695,5.747672167694995,177,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401287888,South Dakota,Kansas,away,0.44252327832305005,0.44252327832305005,-5.747672167694995,177,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309836,Colorado,Northern Colorado,home,0.7445542775480647,0.7445542775480647,24.45542775480647,153,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401309836,Northern Colorado,Colorado,away,0.2554457224519353,0.2554457224519353,-24.45542775480647,153,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282782,Northwestern,Michigan State,home,0.18253994714677577,0.18253994714677577,-31.746005285322422,181,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401282782,Michigan State,Northwestern,away,0.8174600528532242,0.8174600528532242,31.746005285322422,181,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
2021,01,401310695,Colorado State,South Dakota State,home,0.2721061607567786,0.2721061607567786,-22.789383924322138,186,cfbd_cache/pbp_history/2021/plays_week_01.json.gz
