unnamed_0_level_0_w_l,power_index_fpi,power_index_rk,power_index_trend,projections_proj_w_l,projections_win_out,projections_6wins,projections_win_div,projections_win_conf,projections_playoff,projections_make_nc,projections_win_nc
0-0,-0.7,69,--,7.9-4.4,0.1,86.1,0.0,18.9,4.7,0.0,0.0
0-0,-0.8,70,--,4.8-7.2,0.0,35.0,0.0,0.4,0.9,0.0,0.0
0-0,-0.9,71,--,4.3-7.7,0.0,25.1,0.0,0.1,0.6,0.0,0.0
0-0,-0.9,72,--,5.1-6.9,0.0,41.0,0.0,0.5,0.9,0.0,0.0
0-0,-0.9,73,--,8.4-3.8,1.0,90.9,0.0,12.0,5.1,0.0,0.0
0-0,-1.9,74,--,7.0-5.2,0.1,74.3,0.0,9.3,3.1,0.0,0.0
0-0,-2.0,75,--,8.2-4.2,0.6,87.1,31.9,19.9,4.3,0.0,0.0
0-0,-2.4,76,--,7.9-4.5,0.3,84.5,0.0,22.0,3.5,0.0,0.0
0-0,-2.5,77,--,6.2-5.0,0.0,62.3,0.0,11.4,2.9,0.0,0.0
0-0,-2.7,78,--,4.0-8.1,0.0,19.9,0.0,0.1,0.4,0.0,0.0
0-0,-3.0,79,--,8.5-4.0,1.0,89.7,0.0,26.3,4.0,0.0,0.0
0-0,-3.3,80,--,3.9-8.1,0.0,18.9,0.0,0.1,0.2,0.0,0.0
0-0,-3.5,81,--,7.7-4.7,0.1,83.8,0.0,16.5,2.9,0.0,0.0
0-0,-4.0,82,--,7.7-4.6,0.1,84.4,0.0,21.6,2.6,0.0,0.0
0-0,-4.1,83,--,5.1-6.1,0.0,39.3,0.0,8.3,1.4,0.0,0.0
0-0,-4.3,84,--,5.6-5.6,0.0,52.2,0.0,8.6,1.9,0.0,0.0
0-0,-4.4,85,--,7.3-5.0,0.1,76.7,24.0,14.0,2.2,0.0,0.0
0-0,-4.9,86,--,7.1-5.3,0.0,77.1,0.0,24.8,1.9,0.0,0.0
0-0,-5.1,87,--,6.9-5.3,0.0,73.5,24.5,12.6,1.6,0.0,0.0
0-0,-5.3,88,--,6.4-5.7,0.0,66.5,0.0,5.9,1.5,0.0,0.0
0-0,-5.6,89,--,6.4-5.7,0.0,64.3,0.0,5.0,1.4,0.0,0.0
0-0,-6.4,90,--,6.2-5.9,0.0,62.6,0.0,4.5,1.0,0.0,0.0
0-0,-6.6,91,--,6.9-5.5,0.0,71.8,0.0,16.8,1.3,0.0,0.0
0-0,-6.7,92,--,4.7-6.4,0.0,33.2,0.0,4.7,0.7,0.0,0.0
0-0,-6.8,93,--,7.2-5.1,0.1,75.7,0.0,10.0,1.5,0.0,0.0
0-0,-7.0,94,--,7.2-5.1,0.0,77.0,0.0,13.8,1.1,0.0,0.0
0-0,-7.4,95,--,6.6-5.6,0.0,68.2,17.1,8.2,1.0,0.0,0.0
0-0,-7.7,96,--,7.4-4.9,0.2,77.9,0.0,14.8,1.3,0.0,0.0
0-0,-8.0,97,--,7.1-5.1,0.0,76.0,0.0,11.4,1.2,0.0,0.0
0-0,-8.1,98,--,4.4-6.7,0.0,27.6,0.0,4.2,0.5,0.0,0.0
0-0,-8.3,99,--,6.9-5.3,0.0,72.7,19.2,8.3,1.0,0.0,0.0
0-0,-8.3,100,--,6.6-5.6,0.0,68.3,0.0,6.4,0.8,0.0,0.0
0-0,-8.5,101,--,7.0-5.3,0.1,72.5,0.0,12.5,1.0,0.0,0.0
0-0,-8.6,102,--,5.5-6.5,0.0,49.2,0.0,2.1,0.4,0.0,0.0
0-0,-8.7,103,--,5.7-6.4,0.0,52.8,12.1,6.0,0.5,0.0,0.0
0-0,-8.8,104,--,6.5-5.6,0.0,67.4,12.4,6.1,0.7,0.0,0.0
0-0,-9.0,105,--,5.7-6.3,0.0,53.0,0.0,2.2,0.4,0.0,0.0
0-0,-9.0,106,--,6.5-5.8,0.0,65.4,0.0,11.3,0.7,0.0,0.0
0-0,-9.2,107,--,6.2-5.9,0.0,61.8,15.3,6.1,0.6,0.0,0.0
0-0,-9.6,108,--,5.6-6.6,0.0,49.5,12.1,5.3,0.4,0.0,0.0
0-0,-9.8,109,--,6.1-6.0,0.0,59.0,11.1,5.1,0.4,0.0,0.0
0-0,-10.3,110,--,5.7-6.5,0.0,51.0,0.0,8.3,0.4,0.0,0.0
0-0,-10.4,111,--,6.7-5.5,0.0,69.2,0.0,7.5,0.6,0.0,0.0
0-0,-10.5,112,--,5.4-6.7,0.0,47.3,10.3,4.5,0.3,0.0,0.0
0-0,-10.8,113,--,6.6-5.5,0.0,70.4,0.0,5.9,0.6,0.0,0.0
0-0,-11.2,114,--,4.8-7.2,0.0,35.1,0.0,0.0,0.1,0.0,0.0
0-0,-11.3,115,--,5.1-6.9,0.0,41.2,0.0,1.1,0.2,0.0,0.0
0-0,-11.9,116,--,4.8-7.2,0.0,37.0,0.0,2.8,0.2,0.0,0.0
0-0,-12.1,117,--,5.2-6.9,0.0,41.8,5.8,2.4,0.2,0.0,0.0
0-0,-12.4,118,--,3.6-7.5,0.0,15.7,0.0,1.3,0.1,0.0,0.0
0-0,-12.6,119,--,6.0-6.2,0.0,56.7,0.0,5.2,0.3,0.0,0.0
0-0,-12.8,120,--,5.6-6.6,0.0,50.0,0.0,4.5,0.3,0.0,0.0
0-0,-13.1,121,--,5.4-6.6,0.0,46.8,0.0,2.3,0.2,0.0,0.0
0-0,-13.4,122,--,4.0-8.0,0.0,21.4,0.0,0.5,0.1,0.0,0.0
0-0,-13.7,123,--,4.7-7.4,0.0,33.2,0.0,3.0,0.1,0.0,0.0
0-0,-14.3,124,--,5.0-8.0,0.0,39.8,0.0,2.1,0.1,0.0,0.0
0-0,-14.5,125,--,4.3-7.8,0.0,26.8,0.0,1.6,0.1,0.0,0.0
0-0,-14.6,126,--,3.9-8.1,0.0,20.1,0.0,0.4,0.1,0.0,0.0
0-0,-15.2,127,--,4.6-7.5,0.0,30.6,2.8,1.1,0.1,0.0,0.0
0-0,-15.5,128,--,4.0-8.0,0.0,20.5,0.0,0.3,0.0,0.0,0.0
0-0,-15.7,129,--,4.4-7.6,0.0,28.6,0.0,2.8,0.1,0.0,0.0
0-0,-16.1,130,--,4.7-7.4,0.0,33.6,0.0,2.3,0.1,0.0,0.0
0-0,-16.3,131,--,4.8-7.3,0.0,34.8,0.0,1.6,0.1,0.0,0.0
0-0,-16.6,132,--,4.1-8.0,0.0,21.7,0.0,0.9,0.0,0.0,0.0
0-0,-16.9,133,--,4.4-7.7,0.0,26.9,0.0,1.6,0.0,0.0,0.0
0-0,-17.3,134,--,4.2-7.8,0.0,25.3,0.0,1.3,0.1,0.0,0.0
0-0,-17.9,135,--,3.8-8.3,0.0,17.4,0.0,0.9,0.0,0.0,0.0
0-0,-18.4,136,--,3.9-8.2,0.0,20.4,0.0,1.2,0.0,0.0,0.0
0-0,-18.8,137,--,4.9-7.1,0.0,35.5,0.0,0.7,0.0,0.0,0.0
0-0,-19.3,138,--,3.4-8.6,0.0,15.2,1.5,0.4,0.0,0.0,0.0
