market,model_id,checkpoint,threshold,existing_roi,recomputed_roi,difference
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,10.0,0.6045839391948076,0.6045839391948077,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,0.5,-0.0112876085417787,-0.01128760854177868,1.9081958235744878e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,1.0,0.0118264118578081,0.011826411857808165,6.418476861114186e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,1.5,0.0221225728275148,0.022122572827514887,8.673617379884035e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,2.0,0.0308256117428128,0.030825611742812918,1.1796119636642288e-16
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,2.5,0.0397618886222433,0.03976188862224342,1.1796119636642288e-16
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,3.0,0.0621033777004095,0.06210337770040955,4.85722573273506e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,3.5,0.1012285083204493,0.10122850832044938,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,4.0,0.1227190068043545,0.12271900680435456,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,4.5,0.1218352191175055,0.12183521911750551,1.3877787807814457e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,5.0,0.1755812480088025,0.1755812480088026,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,6.0,0.2254379958336905,0.22543799583369054,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,7.0,0.2641190762527434,0.26411907625274345,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,8.0,0.4201038062007212,0.42010380620072135,1.6653345369377348e-16
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,9.0,0.4955170440478676,0.49551704404786767,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,MON_9AM_ET,10.0,0.5996192041634065,0.5996192041634065,0.0
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,0.5,0.0044263360525064,0.004426336052506481,8.153200337090993e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,1.0,0.0249809300753919,0.024980930075391938,3.8163916471489756e-17
spread,spread_4src_25_25_25_25_v1,SAT_11PM_ET,1.5,0.0575179356126407,0.057517935612640764,6.245004513516506e-17
