game_id,season,week,actual_total_points,closing_total,theodds_event_id,sp_plus,sp_plus_snapshot_timestamp,massey_total,away_pred,home_pred,representative_date,massey_dual,sagarin,sagarin_snapshot_timestamp,sagarin_quality_status,dratings,source_tier,source_file,source_field,archive_datetime_utc,game_datetime_utc,pregame_minutes,provenance_safe,dr_archive_ts,kickoff_ts,primary_common_components,dratings_common_components,BASELINE_40_SP_40_MASSEY_20_SAGARIN,DRATINGS_40_SP_40_MASSEY_20_DRATINGS,CONTROL_50_SP_50_MASSEY,checkpoint,best_us_over_total,best_us_under_total,checkpoint_timestamp_utc,checkpoint_ts,dratings_available_by_checkpoint,model_total,over_edge,under_edge,side,edge,bet_line,result,profit_flat_110,clv,next_same_side_edge,next_checkpoint_movement,next_side,next_edge_magnitude,edge_decay,signal_strengthened,signal_reversed,model,clv_gt_10,clv_gt_15,clv_gt_20,edge_gt_10,edge_gt_15,edge_gt_20
401282110,2021,7,57,82.5,8c01d1d9027dc908bfbdcf7577049c0a,59.05,,67.5,35.0,34.0,2021-10-16,68.25,80.68,20211010183725.0,research_grade,,,,,,,,,,,True,False,67.05600000000001,,63.65,SUN_9PM_ET,79.0,79.5,2021-10-11T01:00:00Z,2021-10-11 01:00:00+00:00,False,67.05600000000001,-11.943999999999988,12.443999999999988,UNDER,12.443999999999988,79.5,W,0.9090909090909092,-3.0,15.443999999999988,-3.0,UNDER,15.443999999999988,-3.0,True,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401282110,2021,7,57,82.5,8c01d1d9027dc908bfbdcf7577049c0a,59.05,,67.5,35.0,34.0,2021-10-16,68.25,80.68,20211010183725.0,research_grade,,,,,,,,,,,True,False,67.05600000000001,,63.65,CLOSE,82.5,82.5,2021-10-16T23:30:00.000Z,2021-10-16 23:30:00+00:00,False,67.05600000000001,-15.443999999999988,15.443999999999988,UNDER,15.443999999999988,82.5,W,0.9090909090909092,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,True,False
401282156,2021,14,90,74.5,80ba25cb1ecf86082b0585c06f90efcb,60.349999999999994,,63.5,28.0,31.0,2021-12-04,61.25,66.07,20211130094322.0,research_grade,,,,,,,,,,,True,False,61.854,,60.8,SUN_2PM_ET,71.5,72.0,2021-11-28T19:00:00Z,2021-11-28 19:00:00+00:00,False,61.854,-9.646,10.146,UNDER,10.146,72.0,L,-1.0,-2.5,10.146,0.0,UNDER,10.146,0.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401282156,2021,14,90,74.5,80ba25cb1ecf86082b0585c06f90efcb,60.349999999999994,,63.5,28.0,31.0,2021-12-04,61.25,66.07,20211130094322.0,research_grade,,,,,,,,,,,True,False,61.854,,60.8,SUN_9PM_ET,71.5,72.0,2021-11-29T02:00:00Z,2021-11-29 02:00:00+00:00,False,61.854,-9.646,10.146,UNDER,10.146,72.0,L,-1.0,-2.5,12.646,-2.5,UNDER,12.646,-2.5,True,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401282156,2021,14,90,74.5,80ba25cb1ecf86082b0585c06f90efcb,60.349999999999994,,63.5,28.0,31.0,2021-12-04,61.25,66.07,20211130094322.0,research_grade,,,,,,,,,,,True,False,61.854,,60.8,CLOSE,74.5,74.5,2021-12-04T00:00:00.000Z,2021-12-04 00:00:00+00:00,False,61.854,-12.646,12.646,UNDER,12.646,74.5,L,-1.0,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401405088,2022,3,98,63.0,359ece851f2a850ab78b0063c9fe836c,56.45,,55.5,10.0,42.0,2022-09-17,53.75,38.31,20220914090204.0,research_grade,,,,,,,,,,,True,False,51.742,,55.1,CLOSE,63.0,63.0,2022-09-17T23:00:00.000Z,2022-09-17 23:00:00+00:00,False,51.742,-11.258000000000004,11.258000000000004,UNDER,11.258000000000004,63.0,L,-1.0,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401411115,2022,3,47,46.0,85fe109bec411355e88d35204fbdcba3,58.5,,61.5,35.0,24.0,2022-09-17,60.25,64.65,20220914090204.0,research_grade,,,,,,,,,,,True,False,60.43,,59.375,CLOSE,46.0,46.0,2022-09-17T23:30:00.000Z,2022-09-17 23:30:00+00:00,False,60.43,14.43,-14.43,OVER,14.43,46.0,W,0.9090909090909092,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401411163,2022,11,44,41.5,d02d89957907e0b92d456dd01949c966,55.2,,51.5,28.0,24.0,2022-11-12,51.75,42.61,20221110060203.0,research_grade,,,,,,,,,,,True,False,51.302,,53.475,SUN_9PM_ET,40.5,41.5,2022-11-07T02:00:00Z,2022-11-07 02:00:00+00:00,False,51.302,10.802,-9.802,OVER,10.802,40.5,W,0.9090909090909092,1.0,9.802,1.0,OVER,9.802,1.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
401405097,2022,4,61,66.0,182ded27d92c54484cf33ea551b2ec59,60.2,,58.5,20.0,38.0,2022-09-24,58.25,53.02,20220921154256.0,research_grade,,,,,,,,,,,True,False,57.984,,59.225,SUN_2PM_ET,55.5,55.5,2022-09-18T18:00:00Z,2022-09-18 18:00:00+00:00,False,57.984,2.4840000000000018,-2.4840000000000018,OVER,2.4840000000000018,55.5,W,0.9090909090909092,10.5,2.4840000000000018,0.0,UNDER,4.515999999999998,0.0,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,True,False,False,False,False,False
401405072,2022,2,87,64.0,6e6252bc9d73826616646ae6b5ba9db7,51.95,,54.5,16.0,35.0,2022-09-10,52.75,57.81,20220908142538.0,research_grade,,,,,,,,,,,True,False,53.44200000000001,,52.35,CLOSE,64.0,64.0,2022-09-10T23:30:00.000Z,2022-09-10 23:30:00+00:00,False,53.44200000000001,-10.557999999999993,10.557999999999993,UNDER,10.557999999999993,64.0,L,-1.0,0.0,,,,,,False,False,BASELINE_40_SP_40_MASSEY_20_SAGARIN,False,False,False,True,False,False
