team,power_rank,power_rating,spplus,fpi,teamrankings,rating_source_count,rating_min,rating_max,rating_range,rating_stddev,rating_variance_tier,highest_source,lowest_source
Southern Miss,123,-15.366666666666664,-23.3,-5.1,-17.7,3,-23.3,-5.1,18.200000000000003,9.32165936587115,high,fpi,spplus
Charlotte,137,-23.433333333333337,-32.4,-14.6,-23.3,3,-32.4,-14.6,17.799999999999997,8.900749032150795,high,fpi,spplus
Sacramento State,127,-17.433333333333334,-22.7,-10.4,-19.2,3,-22.7,-10.4,12.299999999999999,6.337454799312838,high,fpi,spplus
Massachusetts,138,-26.066666666666663,-30.9,-18.8,-28.5,3,-30.9,-18.8,12.099999999999998,6.406507108661733,high,fpi,spplus
Georgia State,131,-19.9,-25.1,-15.2,-19.4,3,-25.1,-15.2,9.900000000000002,4.968903299521939,high,fpi,spplus
Middle Tennessee,133,-21.0,-26.0,-16.1,-20.9,3,-26.0,-16.1,9.899999999999999,4.950757517794624,high,fpi,spplus
Missouri State,124,-15.966666666666669,-18.7,-10.3,-18.9,3,-18.9,-10.3,8.599999999999998,4.908496035786657,high,fpi,teamrankings
Toledo,94,-7.7,-11.5,-3.0,-8.6,3,-11.5,-3.0,8.5,4.32087954009366,high,fpi,spplus
Sam Houston,136,-22.933333333333337,-26.3,-18.4,-24.1,3,-26.3,-18.4,7.900000000000002,4.077172222672639,high,fpi,spplus
Ball State,135,-21.833333333333332,-25.2,-17.3,-23.0,3,-25.2,-17.3,7.899999999999999,4.077172222672637,high,fpi,spplus
Tulane,74,-2.0,-5.5,2.3,-2.8,3,-5.5,2.3,7.8,3.9610604640676716,high,fpi,spplus
UCLA,51,4.6,5.1,0.5,8.2,3,0.5,8.2,7.699999999999999,3.874274125562103,high,teamrankings,fpi
Miami-OH,91,-6.833333333333333,-2.9,-7.0,-10.6,3,-10.6,-2.9,7.699999999999999,3.852704677669096,high,spplus,teamrankings
Minnesota,50,4.633333333333333,5.2,0.6,8.1,3,0.6,8.1,7.5,3.781974792794544,high,teamrankings,fpi
North Dakota State,84,-4.166666666666667,-1.4,-8.3,-2.8,3,-8.3,-1.4,6.9,3.6473734842120757,high,spplus,fpi
Wisconsin,46,5.0,1.8,4.8,8.4,3,1.8,8.4,6.6000000000000005,3.3045423283716615,high,teamrankings,spplus
Washington,21,13.6,14.5,9.9,16.4,3,9.9,16.4,6.499999999999998,3.34215499341368,high,teamrankings,fpi
