team,preseason_rating,preseason_rank,baseline_as_of,spplus,spplus_snapshot_date,fpi,fpi_snapshot_date,teamrankings,teamrankings_snapshot_date,sagarin,sagarin_raw,sagarin_snapshot_date,sagarin_normalization_offset,formula
Ohio State,29.756503623188404,1,2026-08-18,31.8,2026-08-18,28.7,2026-08-18,32.3,2026-08-18,26.22601449275362,95.16,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Oregon,27.109003623188404,2,2026-08-18,28.3,2026-08-18,25.3,2026-08-18,29.5,2026-08-18,25.33601449275362,94.27,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Indiana,26.931503623188405,3,2026-08-18,24.5,2026-08-18,23.1,2026-08-18,29.0,2026-08-18,31.126014492753626,100.06,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Notre Dame,26.616503623188407,4,2026-08-18,25.8,2026-08-18,25.9,2026-08-18,29.1,2026-08-18,25.666014492753618,94.6,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Georgia,24.7090036231884,5,2026-08-18,25.5,2026-08-18,24.8,2026-08-18,28.4,2026-08-18,20.136014492753617,89.07,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Texas,24.104003623188405,6,2026-08-18,23.7,2026-08-18,26.9,2026-08-18,28.4,2026-08-18,17.416014492753618,86.35,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Miami-FL,23.046503623188404,7,2026-08-18,21.0,2026-08-18,21.8,2026-08-18,25.3,2026-08-18,24.08601449275362,93.02,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Texas Tech,22.21150362318841,8,2026-08-18,23.1,2026-08-18,20.0,2026-08-18,23.8,2026-08-18,21.94601449275362,90.88,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Texas A&M,19.984003623188407,9,2026-08-18,20.3,2026-08-18,20.0,2026-08-18,22.7,2026-08-18,16.93601449275363,85.87,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Alabama,19.144003623188404,10,2026-08-18,18.2,2026-08-18,20.1,2026-08-18,21.6,2026-08-18,16.676014492753623,85.61,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Ole Miss,18.526503623188407,11,2026-08-18,15.9,2026-08-18,16.0,2026-08-18,22.3,2026-08-18,19.906014492753627,88.84,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
LSU,18.126503623188405,12,2026-08-18,20.2,2026-08-18,20.0,2026-08-18,22.1,2026-08-18,10.206014492753624,79.14,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Oklahoma,17.934003623188406,13,2026-08-18,17.2,2026-08-18,17.8,2026-08-18,22.0,2026-08-18,14.736014492753625,83.67,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
