rank,team,bradpowers_start,bradpowers,bradpowers_diff,team_raw,bradpowers_raw,bradpowers_avg
76,Texas State,63.18,-2.344855072463794,-1.0,Texas State,62.18,64.5248550724638
77,San Diego State,62.92,-2.604855072463792,-1.0,San Diego State,61.92,64.5248550724638
78,North Texas,54.92,-3.604855072463792,6.0,North Texas,60.92,64.5248550724638
79,Stanford,62.91,-3.614855072463797,-2.0,Stanford,60.91,64.5248550724638
80,Boston College,60.43,-4.094855072463794,0.0,Boston College,60.43,64.5248550724638
81,Navy,64.30,-4.2248550724637965,-4.0,Navy,60.30,64.5248550724638
82,Toledo,57.75,-4.774855072463794,2.0,Toledo,59.75,64.5248550724638
83,Rutgers,67.77,-5.254855072463791,-8.5,Rutgers,59.27,64.5248550724638
84,UNLV,64.23,-5.294855072463797,-5.0,UNLV,59.23,64.5248550724638
85,Oregon State,55.67,-5.354855072463792,3.5,Oregon State,59.17,64.5248550724638
86,Tulane,62.64,-5.384855072463793,-3.5,Tulane,59.14,64.5248550724638
87,Washington State,60.82,-5.704855072463793,-2.0,Washington State,58.82,64.5248550724638
88,Florida Atlantic,58.49,-6.034855072463792,0.0,Florida Atlantic,58.49,64.5248550724638
89,Air Force,59.82,-6.204855072463793,-1.5,Air Force,58.32,64.5248550724638
90,Old Dominion,60.91,-6.614855072463797,-3.0,Old Dominion,57.91,64.5248550724638
91,Hawaii,58.50,-7.024855072463794,-1.0,Hawaii,57.50,64.5248550724638
92,Tulsa,55.82,-7.204855072463793,1.5,Tulsa,57.32,64.5248550724638
93,Utah State,57.77,-7.254855072463791,-0.5,Utah State,57.27,64.5248550724638
94,Louisiana,55.10,-7.424855072463792,2.0,UL-Lafayette,57.10,64.5248550724638
95,East Carolina,59.86,-7.664855072463794,-3.0,East Carolina,56.86,64.5248550724638
96,Temple,55.25,-7.774855072463794,1.5,Temple,56.75,64.5248550724638
97,Colorado State,53.13,-7.894855072463791,3.5,Colorado State,56.63,64.5248550724638
98,Delaware,52.94,-8.584855072463796,3.0,Delaware,55.94,64.5248550724638
99,Miami-OH,56.43,-8.594855072463794,-0.5,Miami (OH),55.93,64.5248550724638
100,Appalachian State,51.41,-8.614855072463797,4.5,Appalachian State,55.91,64.5248550724638
101,Jacksonville State,54.88,-8.644855072463791,1.0,Jacksonville State,55.88,64.5248550724638
102,Liberty,57.50,-9.024855072463794,-2.0,Liberty,55.50,64.5248550724638
103,Troy,55.97,-9.554855072463795,-1.0,Troy,54.97,64.5248550724638
104,Georgia Southern,51.95,-9.57485507246379,3.0,Georgia Southern,54.95,64.5248550724638
105,Nevada,51.88,-9.644855072463791,3.0,Nevada,54.88,64.5248550724638
106,Louisiana Tech,53.51,-10.014855072463796,1.0,Louisiana Tech,54.51,64.5248550724638
107,Arkansas State,53.66,-10.364855072463797,0.5,Arkansas State,54.16,64.5248550724638
108,South Alabama,51.33,-10.694855072463795,2.5,South Alabama,53.83,64.5248550724638
109,Coastal Carolina,49.58,-11.444855072463795,3.5,Coastal Carolina,53.08,64.5248550724638
110,Florida International,50.45,-11.57485507246379,2.5,FIU,52.95,64.5248550724638
111,Connecticut,51.35,-12.174855072463792,1.0,Connecticut,52.35,64.5248550724638
112,Marshall,57.04,-12.484855072463795,-5.0,Marshall,52.04,64.5248550724638
113,Ohio,52.76,-12.764855072463796,-1.0,Ohio,51.76,64.5248550724638
114,San Jose State,48.37,-13.154855072463796,3.0,San Jose State,51.37,64.5248550724638
115,Western Kentucky,55.51,-13.514855072463796,-4.5,Western Kentucky,51.01,64.5248550724638
116,Kennesaw State,51.93,-13.594855072463794,-1.0,Kennesaw State,50.93,64.5248550724638
117,Wyoming,53.45,-14.07485507246379,-3.0,Wyoming,50.45,64.5248550724638
118,New Mexico State,47.40,-14.124855072463795,3.0,New Mexico State,50.40,64.5248550724638
119,Georgia State,45.68,-14.344855072463794,4.5,Georgia State,50.18,64.5248550724638
120,Rice,49.50,-15.024855072463794,0.0,Rice,49.50,64.5248550724638
121,UAB,47.85,-15.174855072463792,1.5,UAB,49.35,64.5248550724638
122,Central Michigan,50.76,-15.764855072463796,-2.0,Central Michigan,48.76,64.5248550724638
123,Eastern Michigan,50.87,-16.154855072463796,-2.5,Eastern Michigan,48.37,64.5248550724638
124,Middle Tennessee,45.00,-16.524855072463794,3.0,Middle Tennessee,48.00,64.5248550724638
125,Massachusetts,37.85,-17.674855072463792,9.0,Massachusetts,46.85,64.5248550724638
126,Missouri State,44.93,-18.094855072463794,1.5,Missouri State,46.43,64.5248550724638
127,UTEP,44.67,-18.354855072463792,1.5,UTEP,46.17,64.5248550724638
128,Southern Miss,43.93,-18.594855072463794,2.0,Southern Miss,45.93,64.5248550724638
129,Akron,46.56,-18.96485507246379,-1.0,Akron,45.56,64.5248550724638
130,Northern Illinois,44.94,-19.084855072463796,0.5,Northern Illinois,45.44,64.5248550724638
131,Sam Houston,43.38,-19.14485507246379,2.0,Sam Houston State,45.38,64.5248550724638
132,Bowling Green,48.10,-19.424855072463792,-3.0,Bowling Green,45.10,64.5248550724638
133,Kent State,44.10,-20.424855072463792,0.0,Kent State,44.10,64.5248550724638
134,UL-Monroe,45.74,-20.78485507246379,-2.0,UL-Monroe,43.74,64.5248550724638
135,Buffalo,46.88,-21.14485507246379,-3.5,Buffalo,43.38,64.5248550724638
136,Ball State,40.46,-22.064855072463793,2.0,Ball State,42.46,64.5248550724638
137,Charlotte,45.28,-22.244855072463793,-3.0,Charlotte,42.28,64.5248550724638
138,Sacramento State,43.03,-23.494855072463793,-2.0,Sacramento State,41.03,64.5248550724638
