season,through_week,snapshot_date,snapshot_timestamp,board_cutoff,team,market_implied_rating,market_implied_rank,games_used,games_in_rating,effective_games_weight,weighted_games_in_rating,connected_component_id,component_size,sample_status,stability_proxy,source_game_count,source_line_cutoff,source_hashes,model_version,lookback_weeks,half_life_weeks,ridge_alpha,hfa,training_games,market_move_1w,market_move_4w
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,North Dakota State,7.056603515246767,15,2,2,0.6777632792560262,0.6777632792560262,16,3,early_limited,1.2146774870797954,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Purdue,6.834523779155726,16,1,1,0.3535533905932738,0.3535533905932738,20,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Iowa,6.558341866654359,17,2,2,0.739106096945259,0.739106096945259,21,3,early_limited,1.1631791466183115,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Oklahoma,6.271753772636869,18,6,6,3.5007624433386093,3.5007624433386093,2,74,connected_moderate_sample,0.5344642728913446,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Tennessee,6.228666622689609,19,5,5,3.2475553849506844,3.2475553849506844,2,74,connected_moderate_sample,0.5549089337513666,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Syracuse,6.213203435596043,20,1,1,0.3535533905932738,0.3535533905932738,32,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Navy,6.006096654409477,21,1,1,0.3535533905932738,0.3535533905932738,29,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,USC,5.889719545598816,22,5,5,2.522415582444705,2.522415582444705,2,74,connected_moderate_sample,0.6296390858059002,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Rutgers,5.798989873222925,23,1,1,0.3535533905932738,0.3535533905932738,26,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Delaware,5.384776310849801,24,1,1,0.3535533905932738,0.3535533905932738,13,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
