season,source,team,snapshot_prev,snapshot_latest,days_between,prev_rating,latest_rating,rating_change,prev_rank,latest_rank,rank_change,rating_change_7d,rank_change_7d,rating_change_30d,rank_change_30d,best_rating,worst_rating,rating_range,snapshots_available
2026,Brad Powers,Air Force,2026-07-10,2026-07-11,1,-11.122058823529407,-11.122058823529407,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,-11.122058823529407,-11.122058823529407,0.0,40
2026,Brad Powers,Akron,2026-07-10,2026-07-11,1,-17.28205882352941,-17.28205882352941,0.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,-17.28205882352941,-17.28205882352941,0.0,40
2026,Brad Powers,Alabama,2026-07-10,2026-07-11,1,18.207941176470584,18.207941176470584,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,18.207941176470584,18.207941176470584,0.0,40
2026,Brad Powers,Appalachian State,2026-07-10,2026-07-11,1,-13.922058823529412,-13.922058823529412,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,-13.922058823529412,-13.922058823529412,0.0,40
2026,Brad Powers,Arizona,2026-07-10,2026-07-11,1,11.38794117647059,11.38794117647059,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,11.38794117647059,11.38794117647059,0.0,40
2026,Brad Powers,Arizona State,2026-07-10,2026-07-11,1,5.937941176470588,5.937941176470588,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,5.937941176470588,5.937941176470588,0.0,40
2026,Brad Powers,Arkansas,2026-07-10,2026-07-11,1,9.547941176470587,9.547941176470587,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,9.547941176470587,9.547941176470587,0.0,40
2026,Brad Powers,Arkansas State,2026-07-10,2026-07-11,1,-10.43205882352941,-10.43205882352941,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,-10.43205882352941,-10.43205882352941,0.0,40
2026,Brad Powers,Army,2026-07-10,2026-07-11,1,-2.8720588235294073,-2.8720588235294073,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,-2.8720588235294073,-2.8720588235294073,0.0,40
2026,Brad Powers,Auburn,2026-07-10,2026-07-11,1,13.717941176470587,13.717941176470587,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,13.717941176470587,13.717941176470587,0.0,40
2026,Brad Powers,BYU,2026-07-10,2026-07-11,1,13.437941176470588,13.437941176470588,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,13.437941176470588,13.437941176470588,0.0,40
2026,Brad Powers,Ball State,2026-07-10,2026-07-11,1,-23.842058823529413,-23.842058823529413,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,-23.842058823529413,-23.842058823529413,0.0,40
2026,Brad Powers,Baylor,2026-07-10,2026-07-11,1,5.697941176470593,5.697941176470593,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,5.697941176470593,5.697941176470593,0.0,40
2026,Brad Powers,Boise State,2026-07-10,2026-07-11,1,3.3379411764705935,3.3379411764705935,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,3.3379411764705935,3.3379411764705935,0.0,40
2026,Brad Powers,Boston College,2026-07-10,2026-07-11,1,-3.552058823529407,-3.552058823529407,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,-3.552058823529407,-3.552058823529407,0.0,40
2026,Brad Powers,Bowling Green,2026-07-10,2026-07-11,1,-17.082058823529408,-17.082058823529408,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,-17.082058823529408,-17.082058823529408,0.0,40
2026,Brad Powers,Buffalo,2026-07-10,2026-07-11,1,-14.412058823529414,-14.412058823529414,0.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,-14.412058823529414,-14.412058823529414,0.0,40
2026,Brad Powers,California,2026-07-10,2026-07-11,1,-1.022058823529413,-1.022058823529413,0.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,-1.022058823529413,-1.022058823529413,0.0,40
2026,Brad Powers,Central Florida,2026-07-10,2026-07-11,1,-0.2520588235294099,-0.2520588235294099,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,-0.2520588235294099,-0.2520588235294099,0.0,40
2026,Brad Powers,Central Michigan,2026-07-10,2026-07-11,1,-11.912058823529414,-11.912058823529414,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,-11.912058823529414,-11.912058823529414,0.0,40
2026,Brad Powers,Charlotte,2026-07-10,2026-07-11,1,-22.382058823529412,-22.382058823529412,0.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,-22.382058823529412,-22.382058823529412,0.0,40
2026,Brad Powers,Cincinnati,2026-07-10,2026-07-11,1,6.207941176470584,6.207941176470584,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,6.207941176470584,6.207941176470584,0.0,40
2026,Brad Powers,Clemson,2026-07-10,2026-07-11,1,10.657941176470588,10.657941176470588,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,10.657941176470588,10.657941176470588,0.0,40
2026,Brad Powers,Coastal Carolina,2026-07-10,2026-07-11,1,-16.982058823529414,-16.982058823529414,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,-16.982058823529414,-16.982058823529414,0.0,40
2026,Brad Powers,Colorado,2026-07-10,2026-07-11,1,-4.522058823529413,-4.522058823529413,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,-4.522058823529413,-4.522058823529413,0.0,40
2026,Brad Powers,Colorado State,2026-07-10,2026-07-11,1,-17.18205882352941,-17.18205882352941,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,-17.18205882352941,-17.18205882352941,0.0,40
2026,Brad Powers,Connecticut,2026-07-10,2026-07-11,1,-3.1420588235294105,-3.1420588235294105,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,-3.1420588235294105,-3.1420588235294105,0.0,40
2026,Brad Powers,Delaware,2026-07-10,2026-07-11,1,-12.972058823529409,-12.972058823529409,0.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,-12.972058823529409,-12.972058823529409,0.0,40
2026,Brad Powers,Duke,2026-07-10,2026-07-11,1,6.6079411764705895,6.6079411764705895,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,6.6079411764705895,6.6079411764705895,0.0,40
2026,Brad Powers,East Carolina,2026-07-10,2026-07-11,1,2.0379411764705964,2.0379411764705964,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,2.0379411764705964,2.0379411764705964,0.0,40
2026,Brad Powers,Eastern Michigan,2026-07-10,2026-07-11,1,-16.012058823529408,-16.012058823529408,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,-16.012058823529408,-16.012058823529408,0.0,40
2026,Brad Powers,Florida,2026-07-10,2026-07-11,1,10.467941176470587,10.467941176470587,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,10.467941176470587,10.467941176470587,0.0,40
2026,Brad Powers,Florida Atlantic,2026-07-10,2026-07-11,1,-10.96205882352941,-10.96205882352941,0.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,-10.96205882352941,-10.96205882352941,0.0,40
2026,Brad Powers,Florida International,2026-07-10,2026-07-11,1,-11.68205882352941,-11.68205882352941,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,-11.68205882352941,-11.68205882352941,0.0,40
2026,Brad Powers,Florida State,2026-07-10,2026-07-11,1,9.227941176470594,9.227941176470594,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,9.227941176470594,9.227941176470594,0.0,40
2026,Brad Powers,Fresno State,2026-07-10,2026-07-11,1,-5.162058823529414,-5.162058823529414,0.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,-5.162058823529414,-5.162058823529414,0.0,40
2026,Brad Powers,Georgia,2026-07-10,2026-07-11,1,22.85794117647059,22.85794117647059,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,22.85794117647059,22.85794117647059,0.0,40
2026,Brad Powers,Georgia Southern,2026-07-10,2026-07-11,1,-11.202058823529413,-11.202058823529413,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,-11.202058823529413,-11.202058823529413,0.0,40
2026,Brad Powers,Georgia State,2026-07-10,2026-07-11,1,-18.082058823529408,-18.082058823529408,0.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,-18.082058823529408,-18.082058823529408,0.0,40
2026,Brad Powers,Georgia Tech,2026-07-10,2026-07-11,1,8.517941176470586,8.517941176470586,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,8.517941176470586,8.517941176470586,0.0,40
2026,Brad Powers,Hawaii,2026-07-10,2026-07-11,1,-3.512058823529408,-3.512058823529408,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,-3.512058823529408,-3.512058823529408,0.0,40
2026,Brad Powers,Houston,2026-07-10,2026-07-11,1,7.627941176470586,7.627941176470586,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,7.627941176470586,7.627941176470586,0.0,40
