metric,value
raw_team_side_rows,2038
unique_complete_games,803
seasons,5
weeks,"1,2,3,4"
matchup_summary_rows,15
component_summary_rows,30
combined_summary_rows,40
focus_rows,49
minimum_edge,5
minimum_sample,15
