severity,flags,notes,is_fbs_mapped,game_id,cfbd_game_id,week,date,away_team,home_team,projected_total,market_total,market_total_diff,massey_total,massey_total_diff,projected_margin_home,implied_away_points,implied_home_points,market_total_book,market_total_last_update,projection_total_sources
MAJOR,IMPOSSIBLE_SCORE,"implied score has negative points: Ball State -3.4, Ohio State 52.5",True,g68,401858432,1,2026-09-05,Ball State,Ohio State,49.15,56.5,-7.35,,,55.85,-3.35,52.5,fanduel,2026-07-21T17:17:27.205Z,Site Projection
MAJOR,IMPOSSIBLE_SCORE,"implied score has negative points: Kent State -1.6, Ohio State 52.0",True,g228,401858454,3,2026-09-19,Kent State,Ohio State,50.4,,,,,53.523,-1.562,51.962,,,Site Projection
WARN,MISSING_TOTAL_WITH_MARKET_NON_FBS,non-FBS/unmapped game has market total but no model total,False,g14,401858422,1,2026-09-03,Eastern Illinois,Minnesota,,51.5,,48.5,,,,,fanduel,2026-07-21T17:16:55.000Z,
WARN,MISSING_TOTAL_WITH_MARKET_NON_FBS,non-FBS/unmapped game has market total but no model total,False,g17,401856768,1,2026-09-03,Idaho,Utah,,57.5,,53.5,,,,,fanduel,2026-07-21T17:17:27.205Z,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g9,401866409,1,2026-09-03,UAlbany,Buffalo,,,,50.5,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g10,401856767,1,2026-09-03,Bethune-Cookman,Central Florida,,,,53.5,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g11,401864424,1,2026-09-03,Merrimack,Delaware,,,,,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g13,401864425,1,2026-09-03,West Georgia,Kennesaw State,,,,52.5,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g15,401856663,1,2026-09-03,UAPB,Missouri,,,,,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g20,401866623,1,2026-09-04,North Carolina A&T,Georgia State,,,,,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g21,401856769,1,2026-09-04,LIU,Kansas,,,,,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g23,401864496,1,2026-09-05,Duquesne,Air Force,,,,,,,,,,,
INFO,INFO_MISSING_TOTAL_NON_FBS,non-FBS/unmapped opponent; model total not expected yet,False,g25,401866627,1,2026-09-05,Maine,Appalachian State,,,,,,,,,,,
