metric,value
base_unique_games_with_1h_data,204
base_rows_2024,105
base_rows_2025,99
candidate_rules_tested,90
rules_with_observations,89
shortlisted_rules,14
unmatched_rp_games,49
coverage_warning,Interpret 2025 separately because local SGO 2025 halves coverage may be incomplete.
multiple_testing_warning,This is a discovery scan. Shortlisted rules require separate validation before production use.
