metric,value
games_in_index,902
weeks_1_4_games,323
rp_teams_in_index,138
candidate_signal_rows,27
unique_candidate_games,20
unique_candidate_teams,16
unmatched_schedule_teams,98
unmatched_schedule_team_names,Abilene Christian | Alabama State | Alcorn State | Austin Peay | Bethune-Cookman | Bryant | Bucknell | CCSU | Cal Poly | Campbell | Central Arkansas | Charleston So. | Colgate | Delaware State | Duquesne | ETSU | East Texas A&M | Eastern Illinois | Eastern Kentucky | Eastern Washington | Florida A&M | Fordham | Furman | Gardner-Webb | Grambling State | HCU | Hampton | Holy Cross | Howard | Idaho | Idaho State | Illinois State | Indiana State | LIU | Lafayette | Lamar | Lindenwood | Louisiana | MVSU | Maine | Mercer | Mercyhurst | Merrimack | Monmouth | Montana | Montana State | Morgan State | Murray State | NC Central | New Hampshire | Nicholls | Norfolk State | North Alabama | North Carolina A&T | North Dakota | Northern Arizona | Northern Colorado | Northern Iowa | Northwestern State | Portland State | Prairie View A&M | Rhode Island | Richmond | Robert Morris | Sacred Heart | Sam Houston | San Diego State | South Dakota | South Dakota State | Southeast Missouri | Southeastern La. | Southern | Southern Illinois | Southern Utah | Stonehill | Stony Brook | Tarleton State | Tennessee State | Texas Southern | The Citadel | Towson | UAPB | UAlbany | UC Davis | UIW | UT Martin | UTRGV | Utah Tech | VMI | Villanova | Wagner | Weber State | West Georgia | Western Carolina | Western Illinois | William & Mary | Wofford | Youngstown State
conference_classification_note,Pac-12 classified as P4 to match historical analysis; Notre Dame/UConn/UMass excluded from P4-G6 rules.
