"Name","School","Conference","Overall","Routes","Hands","Explosive","Pass Block","Running"
"Jeremiah Smith","OSU","Big10","17.61","17.73","17.94","15.94","5.18","13.87"
"Malachi Toney","MiaFL","ACC","17.09","17.26","18.48","16.53","15.63","14.05"
"Charlie Becker","Ind","Big10","16.70","16.78","16.90","14.89","12.43","1.25"
"KJ Duff","Rut","Big10","15.56","15.69","15.21","15.63","3.92","0.54"
"Duce Robinson","FSU","ACC","15.31","15.46","15.80","16.40","3.83","0.74"
"Ian Strong","Cal","ACC","15.17","15.35","15.94","8.27","1.47","0.53"
"Jackson Harris","LSU","SEC","15.04","15.14","13.65","16.17","0.74","0.74"
"Mario Craver","A&M","SEC","14.98","15.10","15.34","14.68","0.73","13.93"
"Andrew Marsh","Mich","Big10","14.88","15.29","17.74","13.87","1.22","10.37"
"Wyatt Young","OKSt","Big12","14.81","14.89","12.01","16.88","11.98","11.90"
"Dakorien Moore","Ore","Big10","14.77","14.61","14.89","13.49","1.65","14.78"
"Devin McCuin","OSU","Big10","14.76","14.91","16.11","12.23","7.65","12.44"
"Tre Richardson","Lou","ACC","14.72","14.48","14.39","16.82","0.84","13.95"
"Donovan Olugbode","Mizz","SEC","14.68","14.68","17.00","12.29","1.60","1.60"
"Tanook Hines","USC","Big10","14.63","14.76","15.91","13.76","12.15","1.17"
"Griffin Wilde","NW","Big10","14.54","14.68","12.72","13.88","3.48","10.58"
"Victor Snow","NCSt","ACC","14.53","14.50","15.52","13.11","0.32","14.35"
"Nico Brown","Stan","ACC","14.52","14.56","13.97","16.02","10.25","10.27"
"Micah Hudson","TT","Big12","14.49","14.45","14.03","8.13","3.76","3.76"
"Amare Thomas","Hou","Big12","14.44","14.65","14.58","13.34","0.38","10.78"
"Cayden Lee","Mizz","SEC","14.42","14.70","16.72","12.90","0.51","5.54"
"Omari Hayes","IASt","Big12","14.41","14.74","13.07","11.64","0.35","5.18"
"Bryant Wesco Jr.","Clem","ACC","14.28","14.30","12.59","13.22","1.03","6.85"
"Jojo Stone","FIU","CUSA","14.27","14.54","15.37","10.87","2.17","10.84"
