"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Makhi Frazier","Miss","SEC","13.87","14.28","11.85","8.16","10.37"
"Kanye Udoh","Lib","CUSA","13.87","14.41","9.90","11.46","10.54"
"Girard Pringle Jr.","MiaFL","ACC","13.85","13.81","12.94","10.60","11.47"
"George Pettaway","JMU","SBC","13.84","14.53","11.80","11.18","11.37"
"Caleb Komolafe","NW","Big10","13.84","14.07","10.75","12.59","9.82"
"Kevin Riley","Bama","SEC","13.81","13.60","14.27","10.29","10.05"
"Rodney Fields Jr.","KSt","Big12","13.81","14.08","12.40","11.14","10.63"
"Turbo Richard","Ind","Big10","13.80","14.89","10.89","8.22","11.88"
"Xavier Brown","UVA","ACC","13.80","14.20","11.73","8.74","11.26"
"Savion Hiter","Mich","Big10","13.79","13.79","13.79","13.79","13.79"
"Rodney Nelson","MiaOH","MAC","13.77","14.00","10.36","9.37","9.75"
"Braylen Russell","Ark","SEC","13.76","14.57","10.04","8.88","10.89"
"Sutton Smith","Ark","SEC","13.75","13.90","12.44","10.14","11.62"
"David Avit","AZSt","Big12","13.73","13.67","9.98","12.43","11.66"
"Bill Davis","VT","ACC","13.72","14.30","10.34","9.37","11.05"
"Fame Ijeboi","Purd","Big10","13.67","14.34","10.55","5.32","12.61"
"Jaivian Thomas","UCLA","Big10","13.63","14.28","11.30","8.19","9.63"
"Jordan Lyle","MiaFL","ACC","13.63","13.93","11.22","10.11","12.13"
"AK Dear","Bama","SEC","13.63","13.97","11.72","13.21","14.04"
"Davion Gause","NCSt","ACC","13.61","13.57","13.35","12.00","11.59"
"Da'Jaun Riggs","Ore","Big10","13.60","13.37","11.88","13.09","13.64"
"Gavin Sawchuk","NW","Big10","13.60","14.51","10.53","10.79","9.04"
"Clay Thevenin","Rut","Big10","13.60","14.03","13.34","8.65","14.03"
"Justin Marshall","Lib","CUSA","13.59","13.92","9.80","8.87","14.79"
"Johnnie Daniels","Tul","Amer","13.58","14.12","10.65","12.69","15.96"
"Aidan Laughery","Illini","Big10","13.58","14.17","11.06","8.23","10.45"
"Jekail Middlebrook","UVA","ACC","13.57","14.58","11.43","10.50","12.47"
"Ajay Allen","WKU","CUSA","13.57","14.08","11.18","8.06","12.09"
"Gideon Davidson","Clem","ACC","13.53","13.75","12.92","11.14","10.87"
"Bo Walker","UGA","SEC","13.52","13.78","10.46","13.07","11.91"
"Harlem Berry","LSU","SEC","13.52","14.02","11.12","9.78","11.22"
"Dilin Jones","LSU","SEC","13.51","13.91","10.95","8.03","11.61"
"CJ Campbell Jr.","Duke","ACC","13.46","13.51","12.71","11.54","14.98"
"Steve Chavez-Soto","Utah","Big12","13.42","13.35","8.70","13.82","10.89"
"Xavier Robinson","OU","SEC","13.41","13.63","12.74","12.05","9.36"
"Sam Brown V","Temp","Amer","13.40","13.45","11.17","10.61","8.64"
"Cole Tabb","Cincy","Big12","13.40","13.87","10.74","5.53","9.16"
"Ca'Lil Valentine","Illini","Big10","13.39","13.72","10.40","10.28","9.47"
"EJ Crowell","Bama","SEC","13.39","13.39","13.39","13.39","13.39"
"Gemari Sands","FSU","ACC","13.35","12.90","14.00","13.66","12.12"
"Landen Chambers","UCF","Big12","13.35","13.15","12.46","11.04","11.76"
"London Montgomery","Fla","SEC","13.34","14.02","11.01","7.17","8.77"
"Jaylon Glover","UNLV","MWC","13.33","13.90","10.49","11.15","11.56"
"Jaziun Patterson","MichSt","Big10","13.32","13.49","11.63","10.24","9.44"
"Chris Johnson Jr.","Clem","ACC","13.29","13.45","13.14","11.24","12.01"
"Dj Butler","Hou","Big12","13.29","13.28","12.86","8.06","12.53"
"KJ Edwards","A&M","SEC","13.29","13.29","13.29","13.29","13.29"
"Scottre Humphrey","UNM","MWC","13.28","13.53","8.07","8.84","9.58"
"Jamauri McClure","Tul","Amer","13.28","13.43","10.29","8.67","13.54"
"Daune Morris","Tenn","SEC","13.27","13.59","8.92","7.79","9.35"
"Nolan Ray","BC","ACC","13.27","14.31","10.72","9.39","12.97"
"Isaiah West","OSU","Big10","13.27","13.22","11.33","9.66","12.96"
"Michael Allen","ECU","Amer","13.25","13.36","12.45","11.54","10.47"
"Durell Robinson","ColSt","Pac12","13.25","14.10","8.97","10.28","12.75"
"Dwight Phillips, Jr.","UGA","SEC","13.22","12.97","11.97","13.51","15.47"
"Jaquari Lewis","App","SBC","13.22","13.53","12.65","7.57","8.92"
"Jordan Washington","Wash","Big10","13.20","13.47","10.50","8.02","17.98"
"Trey Cornist","Conn","Inde","13.20","13.12","10.32","13.01","12.85"
"Ahmad Miller","Cuse","ACC","13.19","13.34","7.90","10.87","15.01"
"Aneyas Williams","ND","Inde","13.18","13.04","13.97","13.18","18.33"
"Torrance Burgess Jr.","TexSt","Pac12","13.17","13.16","11.62","9.44","12.24"
"Owen Allen","AirF","MWC","13.16","13.29","4.54","11.78","8.83"
"Tj Engleman Jr.","ECU","Amer","13.16","13.03","11.39","13.39","10.22"
"Isaiah Augustave","SoCar","SEC","13.16","14.29","9.62","10.97","12.09"
"Christian Washington","SDSU","Pac12","13.15","13.61","9.96","10.42","11.96"
"Tae Meadows","Aub","SEC","13.12","13.53","8.92","14.35","9.02"
"Zylan Perry","Cincy","Big12","13.12","13.65","10.61","10.34","11.12"
"Joe Jackson","KSt","Big12","13.09","13.87","11.31","7.04","10.34"
"Jay Harris","KSt","Big12","13.05","12.57","13.88","10.67","10.05"
"DeJuan Williams","Mary","Big10","13.05","13.91","11.66","9.32","9.69"
"Richard Young","Col","Big12","13.04","13.29","10.76","11.24","9.56"
"Devin Roche","ODU","SBC","13.01","13.03","11.12","12.81","13.04"
"Kenji Christian","Conn","Inde","13.01","13.41","10.92","8.70","14.22"
"Javin Gordon","Tenn","SEC","12.99","13.92","8.58","10.71","11.08"
"Diore Hubbard","Wyo","MWC","12.99","12.98","11.98","11.53","9.07"
"Kirby Vorhees","WashSt","Pac12","12.95","13.17","10.81","10.17","9.98"
"Dylan Edwards","KU","Big12","12.95","13.65","11.28","10.02","14.27"
"Leo Pulalasi","WashSt","Pac12","12.95","13.32","11.42","11.31","13.96"
"Alton McCaskill","SHSt","CUSA","12.94","13.30","10.54","11.32","9.75"
"Tradarian Ball","Ore","Big10","12.93","12.93","12.93","12.93","12.93"
"D'Shawntae Jones","MiaOH","MAC","12.92","12.58","10.04","11.76","11.21"
"Braydon Bennett","EMich","MAC","12.92","13.45","11.97","9.02","13.21"
"Ja'shon Benjamin","Rut","Big10","12.91","13.07","11.14","10.16","10.69"
"Kedren Young","ND","Inde","12.90","12.82","11.83","12.10","12.27"
"PJ Martin","SoAla","SBC","12.90","12.91","11.93","8.66","13.64"
"Breezy Dubar","MOSt","CUSA","12.89","12.82","10.51","9.65","10.70"
"Viron Ellison Jr.","Del","CUSA","12.88","13.26","11.20","11.47","9.44"
"Lee Beebe Jr.","Ind","Big10","12.88","13.40","10.27","9.84","12.85"
"Jerrick Gibson","Purd","Big10","12.86","12.89","10.89","10.89","10.38"
"Tory Blaylock","OU","SEC","12.86","13.97","9.14","12.37","8.21"
"La'Vell Wright","Pitt","ACC","12.86","13.18","8.87","12.86","10.22"
"Michael Terry III","Tex","SEC","12.86","12.91","12.88","12.96","12.68"
"Kaden Shields-Dutton","FAU","Amer","12.85","12.95","11.22","13.99","14.14"
"Cade Yacamelli","MiaOH","MAC","12.84","13.28","9.62","12.02","10.25"
"Telly Johnson Jr.","NIU","MWC","12.84","13.12","10.08","8.42","14.37"
"Gideon Ituka","Wisc","Big10","12.84","13.59","10.26","7.51","10.52"
"Kyson Brown","AZSt","Big12","12.82","12.69","13.37","9.52","11.90"
"Caden Knighten","Bay","Big12","12.81","13.81","10.13","6.31","11.19"
"Brandon Ramirez","Fres","Pac12","12.81","13.12","10.25","6.80","10.41"
"Ashton Gray","ECU","Amer","12.80","12.99","9.59","10.01","12.67"
"Mekhi Nelson","Neb","Big10","12.79","13.10","11.56","12.58","11.43"
"Ty Clark III","Wake","ACC","12.78","13.10","12.13","13.62","11.95"
"Marvis Parrish","MichSt","Big10","12.77","13.92","11.16","7.31","11.42"
"Marquis Gillis","AZSt","Big12","12.77","12.74","11.42","10.00","12.03"
"Christian Clark","SoCar","SEC","12.76","13.01","11.50","9.43","10.58"
"Bryson Donelson","Fres","Pac12","12.75","13.14","10.09","11.46","9.21"
"Nick Herman","JMU","SBC","12.75","12.66","10.11","8.40","14.46"
"Jason Patterson","UK","SEC","12.75","13.08","12.26","7.56","9.68"
"Quinton Jackson","Rice","Amer","12.75","13.22","10.48","9.35","11.54"
