"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Dashun Reeder","Conn","Inde","11.41","11.20","10.24","11.32","16.56"
"TJ Thomas","Minn","Big10","11.39","11.87","10.30","6.77","12.28"
"Alvon Isaac","USF","Amer","11.39","11.26","12.30","11.19","10.45"
"Connor Walendzak","Tol","MAC","11.38","11.65","9.19","12.23","8.37"
"Kanye Roberts","App","SBC","11.38","11.94","8.86","10.00","10.70"
"Nate Palmer","Wisc","Big10","11.35","11.65","8.87","7.68","12.58"
"Aj Green Jr.","WMich","MAC","11.32","11.32","11.32","11.32","11.32"
"Dijon Stanley","NMSt","CUSA","11.31","11.85","10.73","8.70","7.74"
"Christian Rhodes","SMU","ACC","11.31","11.31","11.31","11.31","11.31"
"John Hebert","Hou","Big12","11.28","11.28","11.28","11.28","11.28"
"Damon Ferguson Jr.","Pitt","ACC","11.28","11.28","11.28","11.28","11.28"
"Ezell Jolly","ArkSt","SBC","11.28","11.41","9.81","10.63","8.32"
"D'Andre Hardeman Jr.","Rice","Amer","11.28","12.00","6.47","7.23","8.38"
"Rod Gainey Jr.","LSU","SEC","11.27","11.55","8.85","12.92","8.70"
"Tj Washington Jr.","NMSt","CUSA","11.25","11.41","10.69","10.71","7.33"
"Harry Dalton III","Mary","Big10","11.24","11.30","10.55","8.93","11.09"
"Terrance Gibbs","GASo","SBC","11.23","11.08","11.37","11.74","8.66"
"Jake Rendina","Army","Amer","11.23","11.19","9.72","11.67","6.23"
"Harry Stewart III","Boise","Pac12","11.22","11.17","11.37","9.15","8.82"
"Devonte Lyons","FIU","CUSA","11.21","11.21","11.37","8.54","10.99"
"Zion Johnson","Cincy","Big12","11.20","11.06","12.18","10.00","10.12"
"Jaden Miller","LATech","SBC","11.20","11.20","11.20","11.20","11.20"
"Taeo Todd","GASo","SBC","11.19","10.81","11.95","11.09","10.84"
"David Mbadinga","GASo","SBC","11.19","11.78","8.81","8.85","10.30"
"Makari Bodiford","KSt","Big12","11.19","11.12","10.04","11.20","8.62"
"Curron Borders","SacSt","MAC","11.15","10.71","11.99","10.36","9.60"
"Ryelan Morris","Bay","Big12","11.15","11.15","11.15","11.15","11.15"
"Solomon Beebe","UVA","ACC","11.15","11.20","10.62","9.80","14.87"
"Byron Louis","Fla","SEC","11.12","11.12","11.12","11.26","10.69"
"Charles Robinson","Navy","Amer","11.12","11.39","11.09","8.62","10.31"
"Nick Osho","NoTex","Amer","11.11","11.54","7.92","10.84","11.85"
"Jevon Edwards","CoCar","SBC","11.11","12.10","7.89","9.09","12.26"
"Keith Adams","GaSt","SBC","11.10","11.37","9.07","11.10","9.27"
"Ryan Niblett","Tex","SEC","11.10","11.23","11.03","10.98","10.46"
"Stacy Gage","LSU","SEC","11.10","11.34","10.39","8.22","11.24"
"Trey Cooley","Wash","Big10","11.09","11.43","9.90","10.49","8.61"
"Deshaun Buchanan","UNM","MWC","11.08","11.34","9.02","9.50","11.17"
"Cornell Hatcher Jr.","OreSt","Pac12","11.07","11.77","8.61","8.31","11.21"
"Terrez Worthy","Mary","Big10","11.07","11.72","9.05","10.21","10.87"
"Justin Baker","Tenn","SEC","11.06","11.07","10.07","11.49","8.46"
"Paris Melvin Jr.","Hou","Big12","11.05","11.05","11.05","11.05","11.05"
"Karson Cox","UCLA","Big10","11.03","11.02","10.29","10.29","10.52"
"Chris Gee","Akr","MAC","11.03","11.41","9.74","9.11","11.29"
"Jordan Lovett","Troy","SBC","10.99","11.20","11.16","8.74","8.77"
"Jaylon Coleman","Lib","CUSA","10.98","10.64","11.66","9.31","11.35"
"Micah Ka'apana","Mich","Big10","10.98","11.02","10.61","11.38","10.14"
"Tj Horton","Ball","MAC","10.98","10.98","11.71","6.64","9.39"
"Maxwell Woods","WashSt","Pac12","10.97","11.65","10.16","5.92","14.74"
"Sawyer Seidl","Wake","ACC","10.97","11.15","9.93","7.73","10.88"
"JP Powell","GATech","ACC","10.96","10.91","10.46","8.91","10.33"
"Brandon Smith","Ore","Big10","10.96","10.96","10.96","10.96","10.96"
"Jawarn Howell","SoCar","SEC","10.94","11.12","9.14","9.37","12.28"
"Cam Wallace","PSU","Big10","10.93","10.86","10.32","10.53","8.92"
"Tuna Altahir","Stan","ACC","10.92","11.46","8.38","9.60","8.52"
"DeVon Rice","Haw","MWC","10.92","11.13","10.22","8.04","9.28"
"Ju'Juan Johnson","Cuse","ACC","10.92","11.24","10.81","7.16","10.60"
"Maurki James","ODU","SBC","10.91","11.09","8.31","12.33","8.00"
"Dramekco Green","SMU","ACC","10.89","10.61","11.84","12.54","11.27"
"DJ Taylor","MTSU","CUSA","10.89","11.13","10.04","11.35","13.39"
"Nolan James Jr.","ND","Inde","10.87","10.90","10.78","11.50","9.15"
"Latrelle Murrell","KennSt","CUSA","10.85","11.21","8.66","13.50","10.03"
"Dennis Palmer","Troy","SBC","10.85","10.99","8.77","7.08","9.07"
"David Eziomume","Clem","ACC","10.85","11.32","10.05","8.43","10.31"
"Julius Pope","Wisc","Big10","10.85","10.85","10.85","10.85","10.85"
"Wesley Yarbrough","Zona","Big12","10.79","10.97","10.40","7.33","9.71"
"Chris Denson","Clem","ACC","10.79","10.59","7.81","7.81","12.90"
"Tyler Mason","VT","ACC","10.78","10.82","10.34","10.52","10.26"
"Jo'Shon Barbie","Marsh","SBC","10.78","11.27","7.92","11.25","9.63"
"Jaylin Carter","Mem","Amer","10.75","10.36","12.17","7.93","9.42"
"Jordan Washington","Mass","MAC","10.74","11.04","9.93","11.44","8.71"
"Cardae Mack","AZSt","Big12","10.73","10.73","10.73","10.73","10.73"
"Riley Wormley","USC","Big10","10.70","10.58","10.87","10.89","10.30"
"Amari Latimer","WVU","Big12","10.69","10.69","10.69","10.69","10.69"
"Justin Thurman","KU","Big12","10.68","10.59","8.98","8.98","10.12"
"TJ Hodges","Ark","SEC","10.68","10.68","10.68","10.68","10.68"
"Steven Blanco","ULLaf","SBC","10.66","10.73","9.41","10.85","7.69"
"Michael Barrow","Navy","Amer","10.65","10.74","10.53","10.83","10.19"
"DeKalon Taylor","Col","Big12","10.65","10.89","9.63","8.21","11.83"
"Jaylen Jenkins","TexSt","Pac12","10.64","11.04","9.47","11.08","9.02"
"Jordan Anderson","Illini","Big10","10.62","10.62","9.83","10.56","8.68"
"Sesi Vailahi","UtSt","Pac12","10.62","10.69","10.17","9.61","7.58"
"Travis Terrell Jr.","Purd","Big10","10.61","10.83","8.94","7.60","8.97"
"Javian Mallory","MiaFL","ACC","10.57","10.57","10.57","10.57","10.57"
"Jariel Cobb","Char","Amer","10.57","10.96","11.35","5.99","9.06"
"Taevion Swint","UCF","Big12","10.57","10.57","10.57","10.57","10.57"
"Demarius Robinson","AZSt","Big12","10.57","10.73","9.81","12.17","7.92"
"Tikey Hayes","Neb","Big10","10.56","10.54","10.37","10.63","10.19"
"Omar Mabson II","Aub","SEC","10.55","10.82","10.19","8.53","11.19"
"Carson Smith","Army","Amer","10.54","11.04","5.28","8.66","5.87"
"Ryan Estrada","Minn","Big10","10.52","10.52","10.52","10.52","10.52"
"Amari Thomas","FSU","ACC","10.52","10.52","10.52","10.52","10.52"
"Terry Hodges","Ark","SEC","10.50","10.50","10.50","10.50","10.50"
"Evan Hampton","Vand","SEC","10.48","10.48","10.48","10.48","10.48"
"Brandon Hood","SMiss","SBC","10.47","11.39","8.17","7.35","9.74"
"Anthony Reagan Jr.","ULLaf","SBC","10.44","10.66","10.49","8.78","7.27"
"Marquese Williams","Akr","MAC","10.42","10.88","9.59","6.37","8.81"
"Ashton Rowden","TT","Big12","10.42","10.42","10.42","10.42","10.42"
"Anthony League","Cal","ACC","10.41","10.42","9.96","10.79","8.36"
"Xavier Ford","Minn","Big10","10.41","10.36","9.97","7.27","8.19"
"Kory Amachree","KU","Big12","10.37","10.37","10.37","10.37","10.37"
"Johnny Thompson Jr.","Ball","MAC","10.35","10.41","9.95","6.21","7.89"
"Frankie Arthur Jr.","UTSA","Amer","10.34","10.34","10.34","10.34","10.34"
"DeZephen Walker","OU","SEC","10.33","10.33","10.33","10.33","10.33"
"Donovan Johnson","Mich","Big10","10.33","10.33","10.33","10.33","10.33"
"Taven Curry","Akr","MAC","10.31","10.47","8.57","9.63","8.29"
"Raycine Guillory Jr.","LSU","SEC","10.28","10.29","9.94","9.94","10.06"
"Victor Santino","Cal","ACC","10.27","10.27","10.27","10.27","10.27"
"Sterling Joseph","FIU","CUSA","10.25","10.23","9.46","9.95","12.88"
"Dominic Kelley","Nev","MWC","10.25","10.04","9.17","10.61","7.40"
"Deandre Desinor","NCSt","ACC","10.24","10.24","10.24","10.24","10.24"
"Mar'Kel Porter","NW","Big10","10.24","10.39","10.29","7.07","8.82"
"Jaylen McGill","UNC","ACC","10.23","10.29","10.29","10.79","9.83"
"Edward Kelly Jr.","SMU","ACC","10.21","10.21","10.21","10.21","10.21"
"Tovani Mizell","UK","SEC","10.21","10.22","10.04","9.13","9.31"
"Ke'Marion Baldwin","BG","MAC","10.20","10.84","5.54","9.21","12.50"
"Malachi Coleman","Cuse","ACC","10.20","10.14","9.87","10.61","8.74"
"Kd Jones","OKSt","Big12","10.18","10.18","10.18","10.18","10.18"
"Messiah Burch","Buff","MAC","10.18","10.23","10.21","9.00","12.22"
"Dominic Knicely","CoCar","SBC","10.17","11.31","8.99","3.46","8.22"
"Caleb Hampton","Stan","ACC","10.16","10.23","9.77","10.41","10.65"
"Cooper Crosby","MissSt","SEC","10.15","10.15","10.15","10.15","10.15"
"Preston Rex","BYU","Big12","10.14","10.05","10.29","10.55","8.85"
"Jace Clarizio","MichSt","Big10","10.13","10.13","10.13","10.13","10.13"
"Jaden Hart","Conn","Inde","10.11","10.22","10.09","9.93","9.46"
"Trae'von Dunbar","SoAla","SBC","10.11","10.10","9.80","9.74","11.27"
"Trelain Maddox","GATech","ACC","10.11","10.26","10.08","7.93","8.35"
"Autavius Ison","Tol","MAC","10.09","10.51","7.47","7.90","9.28"
"Khamani Alexander","Char","Amer","10.08","9.97","10.48","10.25","7.73"
"Chris Talley","WVU","Big12","10.07","10.07","10.07","10.07","10.07"
"Chase Garnett","USF","Amer","10.07","9.95","9.59","7.18","10.73"
"Ofa ""Lolo"" Mataele","WMich","MAC","10.06","10.89","7.71","4.01","8.38"
"Javion Kinnard","SDSU","Pac12","10.06","10.15","10.07","10.15","9.70"
"Tariq Thomas","Fres","Pac12","10.05","10.51","7.64","6.57","9.93"
"Jamarcea Plater","Tuls","Amer","10.03","10.03","10.03","10.03","10.03"
"Javari Barnett","Illini","Big10","10.02","10.02","10.02","10.02","10.02"
"Josh Ringer","MiaOH","MAC","10.02","9.77","9.77","10.76","7.28"
"Wilhelm Daal II","Duke","ACC","10.01","9.87","9.27","9.49","9.21"
"Jarvis Green","Clem","ACC","10.01","9.90","10.37","9.75","11.14"
"Jaheim Merriweather","Troy","SBC","10.00","9.81","10.94","10.12","9.69"
"Ansu Sanoe","Wash","Big10","10.00","10.00","10.00","10.00","10.00"
"Shane Marshall","GATech","ACC","10.00","10.01","10.00","10.09","9.54"
"Justus Savage","JackSt","CUSA","9.99","9.96","9.55","6.61","9.54"
"Daniel Anderson","NW","Big10","9.99","9.99","9.95","8.99","10.01"
"Chad Alexander","GATech","ACC","9.98","10.68","8.32","8.89","9.74"
"Godspower Nwawuihe","Army","Amer","9.96","9.78","8.40","9.37","12.63"
"Izayah Lee","Vand","SEC","9.95","9.95","9.95","9.95","9.95"
"Jayden Becks","NoTex","Amer","9.94","10.43","8.42","8.90","9.89"
"Taji Atkins","TexSt","Pac12","9.93","10.00","8.70","9.20","11.06"
"Brendon Haygood","NoTex","Amer","9.92","9.94","8.69","8.69","10.68"
"Cincere Rhaney","SacSt","MAC","9.92","9.83","9.56","9.88","8.63"
"John Forster","Illini","Big10","9.92","9.92","9.92","9.92","9.92"
"JayShon Ridgle","Hou","Big12","9.90","9.90","9.91","9.91","9.86"
"Carter Jackson","Nev","MWC","9.89","9.94","9.50","10.20","8.59"
"Sean Cuono","Ind","Big10","9.88","9.85","9.74","9.06","10.39"
"Kamran Williams","UNLV","MWC","9.88","9.88","9.55","9.55","9.67"
"Ja'Michael Jones","Miss","SEC","9.86","9.86","9.86","9.86","9.86"
"Jonathan Brown","Mich","Big10","9.86","9.86","9.86","9.86","9.86"
"Kaderris Roberts","Del","CUSA","9.85","9.65","9.39","9.96","11.18"
"Christopher Talley","WVU","Big12","9.81","9.81","9.81","9.81","9.81"
"Crew Davis","UNC","ACC","9.81","9.81","9.81","9.81","9.81"
"Trae'shawn Brown","Bama","SEC","9.80","9.80","9.80","9.80","9.80"
"Bo MacCormack III","BC","ACC","9.80","9.78","9.95","9.30","7.80"
"Cornelius Warren III","Zona","Big12","9.79","9.83","9.98","7.91","10.60"
"Sam Dixon","SoCar","SEC","9.79","9.74","7.40","7.40","8.41"
"Andy Bass","OU","SEC","9.78","9.78","9.78","9.78","9.78"
"Isaiah Carlson","SJSt","MWC","9.77","9.78","9.32","9.32","9.47"
"Ky Woods","Nev","MWC","9.76","9.10","10.70","9.85","10.95"
"Xavier Rucker","NMSt","CUSA","9.75","9.75","9.75","9.75","9.75"
"Jamarice Wilder","SMiss","SBC","9.74","9.71","9.53","9.85","8.70"
"Brevin Doll","Iowa","Big10","9.74","9.74","9.08","9.08","9.31"
"CJ Givers","Duke","ACC","9.73","9.73","9.73","9.73","9.73"
"Mason King","Kent","MAC","9.70","10.61","5.47","8.39","9.23"
"Synkwan Smith","Pitt","ACC","9.69","9.69","9.69","9.69","9.69"
"DJ Dugar","Tul","Amer","9.69","9.69","9.69","9.69","9.69"
"Lekhy Thompkins","Lou","ACC","9.68","9.68","9.68","9.68","9.68"
"Greg Spiller","Del","CUSA","9.66","9.97","9.03","6.63","8.39"
"Keenan Jackson","NCSt","ACC","9.65","9.65","9.65","9.65","9.65"
"Keenan Jackson","NoTex","Amer","9.65","9.65","9.65","9.65","9.65"
"Kaj Baker","UCF","Big12","9.65","9.65","9.65","9.65","9.65"
"Sedric Addison","BC","ACC","9.65","9.65","9.65","9.65","9.65"
"Keilan Chavies","Boise","Pac12","9.65","9.65","9.65","9.65","9.65"
"Davian Jackson","TexSt","Pac12","9.65","9.65","9.65","9.65","9.65"
"Cam Settles","Ark","SEC","9.64","10.05","8.79","9.22","8.97"
"Kolin Wilson","MissSt","SEC","9.62","9.55","10.03","7.61","9.30"
"Jett Walker","Tex","SEC","9.61","9.61","9.61","9.61","9.61"
"Jayreon Campbell","Ind","Big10","9.60","9.60","9.60","9.60","9.60"
"Cedric Wyche II","Illini","Big10","9.60","9.60","9.60","9.60","9.60"
"Julian McMahan","Wash","Big10","9.60","9.60","9.60","9.60","9.60"
"Caleb Francois","IASt","Big12","9.60","9.60","9.60","9.60","9.60"
"Qwantavius Wiggins","GaSt","SBC","9.60","9.60","9.60","9.60","9.60"
"Jaeden Hill","MissSt","SEC","9.60","9.60","9.60","9.60","9.60"
"Edd Guerrier","Rut","Big10","9.60","9.63","9.36","7.44","9.14"
"Tyler Jacklich","SJSt","MWC","9.59","9.61","9.81","10.47","9.62"
"John Kelly","KU","Big12","9.58","9.56","9.20","9.20","9.31"
"Oliver Lundberg","ColSt","Pac12","9.57","9.74","8.37","9.92","8.21"
"Jalen Bonds","Ball","MAC","9.57","9.12","9.14","9.85","7.10"
"J.J. Hill","MissSt","SEC","9.57","9.57","9.57","9.57","9.57"
"Josiah Lucas","SDSU","Pac12","9.57","9.57","9.57","9.57","9.57"
"Josh Joyner","MOSt","CUSA","9.56","9.56","9.51","9.08","9.23"
"Conor Booth","Neb","Big10","9.54","9.59","9.67","8.55","8.88"
"Kourdey Glass","OreSt","Pac12","9.50","9.44","9.63","9.52","9.07"
"Tray Kinkle","USF","Amer","9.50","9.48","9.14","9.14","10.29"
"Markeylin Batton","Ark","SEC","9.50","9.50","9.50","9.50","9.50"
"Terrell Mitchell","Rut","Big10","9.49","9.49","9.39","9.16","8.73"
"Jaylen Poe","GaSt","SBC","9.49","9.59","8.44","6.87","7.62"
"Lucas Farrington","JackSt","CUSA","9.48","9.52","9.42","9.19","8.37"
"Viliami Teu","SJSt","MWC","9.48","9.48","8.15","9.18","7.25"
"Jamar Searcy","Wake","ACC","9.47","9.48","9.14","9.60","11.46"
"Michael Dukes III","Rut","Big10","9.45","9.45","9.45","9.45","9.45"
"Jacorey Watson","Bay","Big12","9.45","9.45","9.45","9.45","9.45"
"Ej Kelly","SMU","ACC","9.45","9.45","9.45","9.45","9.45"
"Tre Garrison","OreSt","Pac12","9.45","9.45","9.45","9.45","9.45"
"Demarcus Belton","LATech","SBC","9.45","9.45","9.45","9.45","9.45"
"Xavier Butler","GaSt","SBC","9.45","9.45","9.45","9.45","9.45"
"Kevin Young","Ark","SEC","9.45","9.45","9.45","9.45","9.45"
"Elijah McCoy","UTEP","MWC","9.45","9.88","8.57","9.21","8.44"
"Deuce Lawrence","Wake","ACC","9.44","9.44","9.44","9.44","9.44"
"Iverson Young","MOSt","CUSA","9.43","9.31","8.12","7.49","11.22"
"Kenneth Williams","MichSt","Big10","9.43","9.34","9.41","7.48","8.47"
"D'Antae Sheffey","PSU","Big10","9.43","9.43","9.43","9.43","9.43"
"Jayzon Thompson","Cincy","Big12","9.43","9.43","9.43","9.43","9.43"
"Ayden Harris","Kent","MAC","9.42","9.44","8.63","8.40","7.35"
"Sean Morris II","NW","Big10","9.41","9.41","9.41","9.41","9.41"
"Bud Coombs","Mary","Big10","9.41","9.41","9.41","9.41","9.41"
"Izaiah Wright","Purd","Big10","9.41","9.41","9.41","9.41","9.41"
"Ryver Peppers","IASt","Big12","9.41","9.41","9.41","9.41","9.41"
"Christian Lawrence","Wake","ACC","9.41","9.41","9.41","9.41","9.41"
"Ryken Moon","Wash","Big10","9.41","9.60","8.67","9.80","8.85"
"Jovesa Damuni","BYU","Big12","9.40","9.80","8.40","10.35","8.99"
"Marquise Collins","UAB","Amer","9.40","9.40","9.40","9.40","9.40"
"O'Lontae Dean","Iowa","Big10","9.38","9.38","9.38","9.38","9.38"
"Tj Lester","Marsh","SBC","9.38","9.83","7.63","5.94","8.37"
"Dylan McCoy","NCSt","ACC","9.37","9.37","9.37","9.37","9.37"
"Jayvian Tanelus","Duke","ACC","9.37","9.37","9.37","9.37","9.37"
"Gabriel Wilson","IASt","Big12","9.37","9.37","9.37","9.37","9.37"
"Chase Enlow","Buff","MAC","9.37","9.37","9.37","9.37","9.37"
"Ladainnian Martin","GaSt","SBC","9.36","9.36","9.36","9.36","9.36"
"Xavier Williams","Iowa","Big10","9.35","10.01","8.46","5.15","7.76"
"Ethan Ervin","FAU","Amer","9.34","9.44","9.12","8.44","7.72"
"Zeke Bates","Minn","Big10","9.33","9.33","9.33","9.33","9.33"
"Eric Perry","Mem","Amer","9.33","9.33","9.33","9.33","9.33"
"Mariyon Sloan","Boise","Pac12","9.33","9.33","9.33","9.33","9.33"
"Ezekiel Bates","Minn","Big10","9.33","9.33","9.33","9.33","9.33"
"CJ Toney","WashSt","Pac12","9.33","9.33","9.33","9.33","9.33"
"Mikey Pearson III","Navy","Amer","9.31","9.35","8.27","8.70","8.64"
"Mekhi Dodd","BC","ACC","9.31","9.33","9.85","7.59","8.29"
"Gabe Fields","Vand","SEC","9.30","9.24","9.33","9.76","8.33"
"D'Aryhian Clemons","Wash","Big10","9.30","9.30","9.30","9.30","9.30"
"LaMarcus Bell","Utah","Big12","9.30","9.30","9.30","9.30","9.30"
"R.J. Blount","Temp","Amer","9.30","9.30","9.30","9.30","9.30"
"Quaid Carr","Wash","Big10","9.29","9.27","9.45","8.06","8.48"
"Javen Hall","OKSt","Big12","9.28","9.28","9.28","9.28","9.28"
"Donovan Crow","SoAla","SBC","9.28","9.28","9.28","9.28","9.28"
"Mateaki Helu","Utah","Big12","9.26","9.26","9.26","9.26","9.26"
"Lavonte Cole","SoAla","SBC","9.25","9.25","9.25","9.25","9.25"
"Kimauri Farmer","Lib","CUSA","9.25","9.25","9.25","9.25","9.25"
"Jordin Thomas","SDSU","Pac12","9.25","9.25","9.25","9.25","9.25"
"Jackson McCarter","JMU","SBC","9.21","9.24","9.00","7.81","10.05"
"Lucky Finau","BYU","Big12","9.21","9.09","6.21","6.21","6.98"
"Jojo Solis","SacSt","MAC","9.20","9.23","8.42","8.42","8.75"
"Jerrian Parker Jr.","SHSt","CUSA","9.18","9.71","7.68","9.48","9.07"
"Max Warner","Mizz","SEC","9.18","9.18","9.18","9.18","9.18"
"RJ Boyd","NCSt","ACC","9.18","9.18","9.18","9.18","9.18"
"Noah Moss","NCSt","ACC","9.18","9.18","9.18","9.18","9.18"
"Trav Moore","CMich","MAC","9.18","9.18","9.18","9.18","9.18"
"Ke'Rynn Smith","ULLaf","SBC","9.18","9.18","9.18","9.18","9.18"
"Daniel Swinney","SacSt","MAC","9.18","9.18","9.18","9.18","9.18"
"Maxwell Warner","Mizz","SEC","9.18","9.18","9.18","9.18","9.18"
"Le'Kamren Meadows","WKU","CUSA","9.18","9.18","9.18","9.18","9.18"
"Cyncir Bowers","Conn","Inde","9.17","9.73","8.40","6.25","6.66"
"Shawn Simeon","Conn","Inde","9.17","9.15","8.80","8.80","9.38"
"Monterrio Elston Jr.","KSt","Big12","9.15","9.16","9.19","8.53","9.11"
"Nelsyn Wheeler","Illini","Big10","9.15","9.15","9.15","9.15","9.15"
"Trashon Dye","JMU","SBC","9.15","9.14","8.48","8.48","9.81"
"HD Davis","Bay","Big12","9.14","9.14","9.14","9.14","9.14"
"Martavious Boswell","WVU","Big12","9.14","9.14","9.14","9.14","9.14"
"Grayson Rigdon","AZSt","Big12","9.12","9.11","9.16","8.48","8.70"
"Nakai Amachree","BG","MAC","9.11","9.21","9.23","9.73","9.19"
"JT Lindsey","Miss","SEC","9.10","9.10","9.10","9.10","9.10"
"Jabree Coleman","SoCar","SEC","9.10","9.10","9.10","9.10","9.10"
"Cedric Ross","ColSt","Pac12","9.10","9.10","9.10","9.10","9.10"
"Damian Moore Jr.","ColSt","Pac12","9.10","9.10","9.10","9.10","9.10"
"Jayson Franklin","USF","Amer","9.10","9.10","9.10","9.10","9.10"
"Kenny Thomas","LATech","SBC","9.10","9.10","9.10","9.10","9.10"
"Jaden Allen-Hendrix","CoCar","SBC","9.10","9.10","9.10","9.10","9.10"
"Hunter Patterson","ODU","SBC","9.10","9.10","9.10","9.10","9.10"
"Braylon Toliver","NDSt","MWC","9.10","9.10","9.10","9.10","9.10"
"Randall Blount","Temp","Amer","9.10","9.10","9.10","9.10","9.10"
"Viliami Tapa'atoutai","UTSt","Pac12","9.10","9.10","9.10","9.10","9.10"
"Breyahn Townsend","CoCar","SBC","9.09","8.91","9.47","5.93","8.18"
"Jordan Thompson","Mem","Amer","9.06","9.06","9.06","9.06","9.06"
"Robert Lathon Jr.","MTSU","CUSA","9.06","9.06","9.06","9.06","9.06"
"Jordan Thompson","CoCar","SBC","9.06","9.06","9.06","9.06","9.06"
"Celley Davis","KennSt","CUSA","9.06","9.06","9.06","9.06","9.06"
"Troy Leigber","UCLA","Big10","9.06","9.08","8.98","7.74","9.07"
"King Davis","MOSt","CUSA","9.05","9.06","8.93","7.78","9.27"
"Jayden Ford","FIU","CUSA","9.05","9.05","9.05","9.05","9.05"
"Will Rajecki","Tenn","SEC","9.05","9.05","9.05","9.05","9.05"
"Ashton Jones","MTSU","CUSA","9.04","9.04","9.04","9.04","9.04"
"JoJo Troupe","UNC","ACC","9.03","9.03","9.03","9.03","9.03"
"Jaylin Brown","Pitt","ACC","9.03","9.03","9.03","9.03","9.03"
"Jakorion Caffey","Kent","MAC","9.02","9.06","8.45","8.45","8.67"
"Lawrence Autry","WVU","Big12","9.02","9.02","9.02","9.02","9.02"
"Jaron Thomas","Minn","Big10","9.01","9.02","8.94","9.01","9.58"
"Isiah Jones","NCSt","ACC","8.98","8.98","8.98","8.98","8.98"
"Juntavious Harris","TexSt","Pac12","8.98","8.98","8.98","8.98","8.98"
"Jamarian Samuel","GASo","SBC","8.98","9.18","8.19","6.65","7.55"
"DJ Samuels","Mary","Big10","8.97","8.97","8.97","8.97","8.97"
"Corey Reddick","ArkSt","SBC","8.97","9.19","8.94","7.31","8.81"
"Mike Taylor Jr.","Ohio","MAC","8.95","8.95","8.95","8.95","8.95"
"Arthur Lewis IV","UCF","Big12","8.93","8.93","8.93","8.93","8.93"
"Delvecchio Alston II","UK","SEC","8.93","8.93","8.93","8.93","8.93"
"Tremayne Hill","WashSt","Pac12","8.93","8.93","8.93","8.93","8.93"
"Meliq McGowan","ECU","Amer","8.93","8.93","8.93","8.93","8.93"
"Rayshun Hurt","LATech","SBC","8.93","8.93","8.93","8.93","8.93"
"Noah Sanders","Tol","MAC","8.93","8.93","8.93","8.93","8.93"
"Donovan Triplett","WMich","MAC","8.93","8.93","8.93","8.93","8.93"
"Kobe Hendricks","CMich","MAC","8.93","8.93","8.93","8.93","8.93"
"Nazir Jones-Davis","EMich","MAC","8.93","8.93","8.93","8.93","8.93"
"Sergio Snider","LATech","SBC","8.91","8.91","8.91","8.91","8.91"
"Jaydon Wright","ULM","SBC","8.91","8.91","8.58","8.95","8.70"
"Isaiah Rudison","NMSt","CUSA","8.91","8.82","7.96","10.66","7.89"
"Cedric Kouemi","JackSt","CUSA","8.90","8.90","8.90","8.90","8.90"
"Henry Rutledge","Char","Amer","8.90","8.91","8.86","6.89","9.78"
"Davion Kerr","Cuse","ACC","8.87","8.78","9.22","7.42","8.16"
"Skylar Vann","UNLV","MWC","8.87","8.87","8.87","8.87","8.87"
"Skylar Lendsey","UNLV","MWC","8.87","8.87","8.87","8.87","8.87"
"Barry Kpeenu","NDSt","MWC","8.84","8.86","8.03","8.03","8.36"
"Michael Henderson III","TT","Big12","8.84","8.84","8.50","8.50","8.61"
"Gabe Sawchuk","OU","SEC","8.82","8.80","8.07","8.07","9.85"
"Amareon Blue","EMich","MAC","8.81","8.81","8.81","8.81","8.81"
"Noah White","UtSt","Pac12","8.79","8.36","9.51","5.22","7.90"
"Jae'Oyn Williams","UVA","ACC","8.79","8.79","8.79","8.79","8.79"
"Jordan Taylor","SacSt","MAC","8.76","8.76","8.76","8.76","8.76"
"Bryce Baker","GASo","SBC","8.76","8.85","8.62","9.96","7.07"
"Shavane Anderson Jr.","Cuse","ACC","8.75","8.75","8.75","8.75","8.75"
"Tanner West","KSt","Big12","8.75","8.75","8.75","8.75","8.75"
"Nico Hamilton","Wyo","MWC","8.75","8.75","8.75","8.75","8.75"
"Chancellor Sparks","MiaOH","MAC","8.75","8.75","8.75","8.75","8.75"
"Solomon Baggett","ArkSt","SBC","8.75","8.75","8.75","8.75","8.75"
"Caleb Wynn","SoAla","SBC","8.75","8.75","8.75","8.75","8.75"
"Maurice Winston","JackSt","CUSA","8.75","8.75","8.75","8.75","8.75"
"Brandon White","Kent","MAC","8.75","8.75","8.75","8.75","8.75"
"Jhadis Luckey","Fres","Pac12","8.75","8.75","8.75","8.75","8.75"
"Bryson Roland","ULM","SBC","8.75","8.75","8.75","8.75","8.75"
"Daveon Singleton","UTEP","MWC","8.75","8.75","8.75","8.75","8.75"
"Justin Lewis","Mass","MAC","8.75","8.75","8.75","8.75","8.75"
"Wes Burford","AirF","MWC","8.75","8.75","8.75","8.75","8.75"
"Jaiduan Cranford","NIU","MWC","8.75","8.75","8.75","8.75","8.75"
"Dionne Sims","Rice","Amer","8.75","8.75","8.75","8.75","8.75"
"Carter Meeks","SacSt","MAC","8.75","8.75","8.75","8.75","8.75"
"Kelvin Washington","Tuls","Amer","8.73","8.75","8.37","7.00","7.98"
"Austin Clemons","MTSU","CUSA","8.72","8.77","8.59","8.85","8.53"
"Khristian Lando","JackSt","CUSA","8.68","9.20","7.37","4.83","6.85"
