School,Conference,Off AIR,AIR Rank,Style,Play Caller,Run%,Proj Run%,Pass%,Proj Pass%,Plays/G,Proj Plays/G,Diff,SecPP,SecPP+,Pace+
"Clemson","ACC","11.65","55","Motion Spread","Chad Morris","50%","50%","50%","50%","72.0","72.0","0.00","","0.00","0.50"
"Vanderbilt","SEC","11.65","56","RPO Spread","Tim Beck","52%","52%","48%","48%","65.0","65.0","0.00","","0.00","0.52"
"Cincinnati","Big12","11.64","57","Pro Style","Scott Satterfield","52%","52%","48%","48%","60.0","60.0","0.00","","0.00","0.52"
"Kansas State","Big12","11.61","58","Power Spread","Sean Gleeson","55%","55%","45%","45%","64.0","64.0","0.00","","0.00","0.55"
"UTSA","Amer","11.58","59","Up Tempo Spread","Rick Bowie","43%","43%","57%","57%","72.0","72.0","0.00","","0.00","0.43"
"North Texas","Amer","11.55","60","Pro Style","Neal Brown","61%","61%","39%","39%","68.0","68.0","0.00","","0.00","0.61"
"UCF","Big12","11.53","61","Balanced Spread","Steve Cooper","49%","49%","51%","51%","66.0","66.0","0.00","","0.00","0.49"
"Purdue","Big10","11.53","62","Pro Style","Josh Henson","48%","48%","52%","52%","69.0","69.0","0.00","","0.00","0.48"
"Colorado","Big12","11.52","63","Up Tempo Spread","Brennan Marion","55%","55%","45%","45%","75.0","75.0","0.00","","0.00","0.55"
"TCU","Big12","11.49","64","Spread","Gordon Sammis","47%","47%","53%","53%","67.0","67.2","0.20","","0.00","0.47"
"Wake Forest","ACC","11.39","65","RPO Spread","Rob Ezell","50%","50%","50%","50%","66.0","66.0","0.00","","0.00","0.50"
"Pittsburgh","ACC","11.37","66","Pro Spread","Kade Bell","48%","48%","52%","52%","69.0","69.0","0.00","","0.00","0.48"
"East Carolina","Amer","11.36","67","Up Tempo Spread","Jordan Davis","40%","40%","60%","60%","74.0","74.0","0.00","","0.00","0.40"
"UNLV","MWC","11.35","68","Run First Play Action","Corey Dennis","57%","57%","43%","43%","63.0","64.4","1.40","","0.00","0.57"
"Iowa","Big10","11.32","69","Pro-Style / Heavy 12","Tim Lester","55%","55%","45%","45%","65.0","65.0","0.00","","0.00","0.55"
"UAB","Amer","11.32","70","Spread","Alex Mortensen","47%","47%","53%","53%","70.0","70.0","0.00","","0.00","0.47"
"Western Michigan","MAC","11.31","71","Power Run","Walt Bell","67%","67%","33%","33%","66.0","66.0","0.00","","0.00","0.67"
"Virginia Tech","ACC","11.28","72","Pro Style","Ty Howle","53%","53%","47%","47%","65.0","65.0","0.00","","0.00","0.53"
"App State","SBC","11.28","73","Run First Pro-Style","Dowell Loggains","60%","60%","40%","40%","68.0","68.0","0.00","","0.00","0.60"
"San Diego State","Pac12","11.28","74","Spread","Matt Johnson","57%","57%","43%","43%","75.0","75.0","0.00","","0.00","0.57"
"Kansas","Big12","11.27","75","Run Heavy Spread","Andy Kotelnicki","60%","60%","40%","40%","63.0","63.0","0.00","","0.00","0.60"
"Boise State","Pac12","11.26","76","Balanced Spread","Nate Potter","53%","53%","47%","47%","73.0","73.0","0.00","","0.00","0.53"
"Akron","MAC","11.24","77","Pro Spread","Joe Moorhead","52%","52%","48%","48%","70.0","70.0","0.00","","0.00","0.52"
"Boston College","ACC","11.23","78","Pro Spread","Bill O'Brien","50%","50%","50%","50%","66.0","66.0","0.00","","0.00","0.50"
"Liberty","CUSA","11.19","79","Run Heavy Spread","Jamey Chadwell","62%","62%","38%","38%","68.7","68.7","0.00","","0.00","0.62"
"Air Force","MWC","11.18","80","Triple Option","Mike Thiessen","22%","22%","78%","78%","62.0","62.0","0.00","","0.00","0.22"
"Stanford","ACC","11.14","81","Power Spread","Terry Heffernan","54%","54%","46%","46%","63.0","64.4","1.40","","0.00","0.54"
"Texas State","Pac12","11.13","82","Run Heavy Spread","Landon Keopple","61%","61%","39%","39%","71.0","71.0","0.00","","0.00","0.61"
"UConn","Inde","10.91","83","Balanced Spread","Nunzio Campanile","50%","50%","50%","50%","70.0","70.0","0.00","","0.00","0.50"
"South Alabama","SBC","10.90","84","Power Spread","Major Applewhite","62%","62%","38%","38%","70.0","70.0","0.00","","0.00","0.62"
"Tulane","Amer","10.85","85","Spread","Russ Callaway","48%","48%","52%","52%","65.0","65.0","0.00","","0.00","0.48"
"Temple","Amer","10.83","86","RPO Spread","Tyler Walker","45%","45%","55%","55%","68.0","68.0","0.00","","0.00","0.45"
"Fresno State","Pac12","10.77","87","Power Run","Josh Davis","57%","57%","43%","43%","66.0","66.0","0.00","","0.00","0.57"
"Washington State","Pac12","10.75","88","RPO Spread","Matt Miller","50%","50%","50%","50%","67.0","67.0","0.00","","0.00","0.50"
"Tulsa","Amer","10.69","89","Spread","Kevin Barbay","44%","44%","56%","56%","67.0","67.0","0.00","","0.00","0.44"
"Georgia State","SBC","10.66","90","Spread","Hue Jackson","44%","44%","56%","56%","70.0","70.0","0.00","","0.00","0.44"
"Wyoming","MWC","10.65","91","Pro Style","Christian Taylor","52%","52%","48%","48%","64.0","64.0","0.00","","0.00","0.52"
"Oregon State","Pac12","10.64","92","Spread","Mitch Dahlen","44%","44%","56%","56%","66.0","66.0","0.00","","0.00","0.44"
"Western Kentucky","CUSA","10.51","93","Spread","Bodie Reeder","40%","40%","60%","60%","69.0","69.0","0.00","","0.00","0.40"
"Florida International","CUSA","10.51","94","Spread","Nick Coleman","54%","54%","46%","46%","70.0","70.0","0.00","","0.00","0.54"
"Memphis","Amer","10.47","95","Pro Spread","Kevin Decker","52%","52%","48%","48%","70.0","68.6","-1.40","","0.00","0.52"
