"School","Conference","Overall","Offense","Defense","QB","RB","WR","TE","OL","DL","LB","DB"
"Air Force","MWC","F","F","F","B+","F","F","F","D","F","F","B+"
"Akron","MAC","C+","B+","C","A","C+","B","C","C","C","C","A"
"Alabama","SEC","B+","B","A","A","B","D","A+","D","B","A","A"
"App State","SBC","A","A+","B+","A","A","B+","A","A","B","B+","A"
"Arizona","Big12","C","C","C+","C+","C+","C+","B","D","D","C+","C+"
"Arizona State","Big12","B+","A+","C","A","A+","C+","C+","B+","C+","C","A"
"Arkansas","SEC","C","C+","D+","C","B+","B","D","C+","B+","D+","C"
"Arkansas State","SBC","A+","A","A","A","A","A","A+","A+","A","A","A"
"Army","Amer","F","F","F","D","C+","F","C","F","D+","F","D"
"Auburn","SEC","A","B","A","D","A+","C","B+","B","A+","A","D"
"Ball State","MAC","B","C+","B+","D+","C","B+","C+","B+","C+","B+","D+"
"Baylor","Big12","A+","B","A","C+","B+","B+","C+","C","B","A","C+"
"Boise State","Pac12","A","A+","A","B","A+","A+","B+","A+","B+","A","B"
"Boston College","ACC","C+","D","B","C","D","C+","F","D+","B","B","C"
"Bowling Green","MAC","F","F","D","C","D","F","A","F","D+","D","C"
"Buffalo","MAC","D","D+","F","C+","C","D","D","B+","F","F","C+"
"BYU","Big12","D","C","C","D","B","C","D+","B","A","C","D"
"California","ACC","B+","B","A+","A","D+","B","D+","B","D","A+","A"
"Central Michigan","MAC","C","B","D+","C+","B","C","D+","A+","C+","D+","C+"
"Charlotte","Amer","C","C","C+","B+","D+","C","B","D","B","C+","B+"
"Cincinnati","Big12","D","A","F","B+","D+","C","C","A+","F","F","B+"
"Clemson","ACC","B","C","C+","F","B","B","C","A","B","C+","F"
"Coastal Carolina","SBC","C","B","C","C+","B","B","F","F","A","C","C+"
"Colorado","Big12","B+","D","A+","D","C","A","D","C","B+","A+","D"
"Colorado State","Pac12","A+","A","A+","A+","B+","C+","A","B","B+","A+","A+"
"Delaware","CUSA","C","C","C","C+","D+","D+","C","C","F","C","C+"
"Duke","ACC","C+","C","C","B+","C+","D","C+","C","C+","C","B+"
"East Carolina","Amer","D+","D+","D+","C","C","C","B+","C","D","D+","C"
"Eastern Michigan","MAC","A","A+","B+","A+","B","C+","B+","C","A","B+","A+"
"Florida","SEC","B","B+","C+","C+","C+","C+","B+","A","C+","C+","C+"
"Florida Atlantic","Amer","B+","C+","A","C","F","A+","C+","B","A","A","C"
"Florida International","CUSA","B+","C+","B+","C","C+","B+","A","B+","A+","B+","C"
"Florida State","ACC","B+","B","B+","D+","B+","C","A+","B","A+","B+","D+"
"Fresno State","Pac12","B+","B+","B","A","B","C","B","B+","A+","B","A"
"Georgia","SEC","A+","A+","B+","A","B","B","A","A+","D+","B+","A"
"Georgia Southern","SBC","A","B+","A","A+","C+","A","B","C","C","A","A+"
"Georgia State","SBC","D","C+","D","D+","B","C+","B","C+","F","D","D+"
"Georgia Tech","ACC","D","C+","D","C","B","C+","A","C","B+","D","C"
"Hawai'i","MWC","C+","D+","B","D+","D","B+","C+","C","B","B","D+"
"Houston","Big12","B","D","A","C","C+","F","B+","C","B+","A","C"
"Illinois","Big10","C","B+","D+","D+","B+","B","B","A","D+","D+","D+"
"Indiana","Big10","D+","F","B","D","D+","F","C","D+","A","B","D"
"Iowa","Big10","F","C","F","D+","C","C","B","C+","D","F","D+"
"Iowa State","Big12","C+","B","C","B","D","D","A+","B","A","C","B"
"Jacksonville State","CUSA","A","A","C+","B+","A+","C+","C","A","C+","C+","B+"
"James Madison","SBC","C+","A","D+","C+","B+","A+","C","B","D+","D+","C+"
"Kansas","Big12","D+","C+","D+","B","A","C","C","D+","D","D+","B"
"Kansas State","Big12","C","B+","D","C","A","B+","D","A","C","D","C"
"Kennesaw State","CUSA","C","F","A+","F","F","B","C+","D+","A","A+","F"
"Kent State","MAC","C+","C","C+","D","D+","C+","B+","B","B","C+","D"
"Kentucky","SEC","D+","C","D","B+","D+","C+","C+","D","C","D","B+"
"Liberty","CUSA","A+","A+","B+","A+","A","C","D","A+","B","B+","A+"
"Louisiana","SBC","F","F","F","D","D","D+","A","A","C","F","D"
"Louisiana Tech","SBC","B","B+","B","A","C+","C+","B+","B","D+","B","A"
"Louisville","ACC","D+","D","C+","D","C+","C","C","B","D+","C+","D"
"LSU","SEC","C","C","D","D","C+","A+","C","B","D","D","D"
"Marshall","SBC","C+","C","B","B+","F","C+","D","C+","B+","B","B+"
"Maryland","Big10","B","C+","C+","B","D","C","A","B","A","C+","B"
"Massachusetts","MAC","B+","B+","B","B","A","B","A+","B","B+","B","B"
"Memphis","Amer","B","B","B+","C+","C+","C+","D+","C+","A","B+","C+"
"Miami","ACC","A","B+","A","B","A","C","B+","D","B+","A","B"
"Miami (OH)","MAC","A+","B","A+","C","B+","A","B","C+","A+","A+","C"
"Michigan","Big10","A","D+","A+","B+","B","C+","D+","F","B+","A+","B+"
"Michigan State","Big10","D","D","D","C+","C+","D","D","D+","B","D","C+"
"Middle Tennessee","CUSA","C+","C+","C+","B","B+","C","B","D","C","C+","B"
"Minnesota","Big10","C+","B","C","A+","A","D","C","D","C+","C","A+"
"Mississippi State","SEC","C+","D+","B+","B","D","D+","C","A","C","B+","B"
"Missouri","SEC","D","D","C","C","C","D","D+","C","F","C","C"
"Missouri State","CUSA","D","C","D","C","B+","F","C+","F","D","D","C"
"Navy","Amer","D","D","C","F","D","D","B","A+","F","C","F"
"NC State","ACC","C","B","D+","D","B+","A","A","C+","C","D+","D"
"Nebraska","Big10","D","C","D","F","C+","A+","F","B+","D+","D","F"
"Nevada","MWC","D","C","D+","C+","C+","B","D+","D+","C+","D+","C+"
"New Mexico","MWC","C+","C+","C","C","D+","C","A+","C","C","C","C"
"New Mexico State","CUSA","F","D+","F","D+","B","D","B+","C+","C","F","D+"
"North Carolina","ACC","D","C+","F","B","A","D+","B","D","D+","F","B"
"North Dakota State","MWC","","","","","","","","","","",""
"North Texas","Amer","C+","B","B","B","B","B","A","D+","C","B","B"
"Northern Illinois","MWC","D+","D","C","B+","F","B+","C","D","D","C","B+"
"Northwestern","Big10","B+","A+","C+","A","B","B","B+","C","C+","C+","A"
"Notre Dame","Inde","A","A","B+","B","C","A","D+","A+","B","B+","B"
"Ohio","MAC","B","C","A","B+","C+","C","F","C+","B+","A","B+"
"Ohio State","Big10","B","A","B","C+","B+","A","A+","B","B","B","C+"
"Oklahoma","SEC","B","A","B","C+","A","B+","A","D+","B+","B","C+"
"Oklahoma State","Big12","C","D+","B","F","B+","B","F","B+","A+","B","F"
"Old Dominion","SBC","B","D+","B","B","D+","C","D+","D+","C+","B","B"
"Ole Miss","SEC","B+","A","C","A+","A","A","D","F","B","C","A+"
"Oregon","Big10","B+","B+","B","A","A","D+","C+","C+","C","B","A"
"Oregon State","Pac12","A+","A+","A+","A+","A+","A+","C+","A+","C+","A+","A+"
"Penn State","Big10","C+","D","B+","B","D+","D+","C","D","A+","B+","B"
"Pittsburgh","ACC","F","D+","D+","C+","B","F","D","C+","C","D+","C+"
"Purdue","Big10","D+","C+","C","B","D","B+","B","C","C","C","B"
"Rice","Amer","C","C+","C","D+","D+","A","C","A","C+","C","D+"
"Rutgers","Big10","C","B","D+","C","C","C+","C+","A+","D","D+","C"
"Sacramento State","MAC","","","","","","","","","","",""
"Sam Houston","CUSA","D+","D","C","D","C","B+","D+","C+","B+","C","D"
"San Diego State","Pac12","B","B+","C+","C+","B","B+","C+","A","A","C+","C+"
"San José State","MWC","D+","C+","D","C","C+","C+","D","C+","B","D","C"
"SMU","ACC","C","C","C","C+","D+","B+","B","D+","F","C","C+"
"South Alabama","SBC","B","B","C+","C","A+","D+","C+","D","D","C+","C"
"South Carolina","SEC","C","C","C","B+","C","B+","F","C+","C","C","B+"
"South Florida","Amer","A+","A+","A","A","A","A","A","A","A+","A","A"
"Southern Miss","SBC","D+","D+","C","B","D+","F","C","D+","B","C","B"
"Stanford","ACC","D+","F","B","D+","D","D","D","F","C","B","D+"
"Syracuse","ACC","B","A","C","A+","C","D+","B+","C","D","C","A+"
"TCU","Big12","F","F","D","D+","F","A","B","C+","C+","D","D+"
"Temple","Amer","A","A","B","A","B+","B","A+","B+","C+","B","A"
"Tennessee","SEC","F","F","C+","F","F","F","C","C","A","C+","F"
"Texas","SEC","A","B+","A+","B","B+","C","C+","B+","A","A+","B"
"Texas A&M","SEC","D","C+","F","C","C","A","B","B+","D","F","C"
"Texas State","Pac12","B+","D","A+","F","C","B","B+","B","A+","A+","F"
"Texas Tech","Big12","A","A","B+","C","B","A+","B+","A","C","B+","C"
"Toledo","MAC","B+","A","B","F","A+","A+","B","A","B","B","F"
"Troy","SBC","C","C+","C+","D+","C+","C","C+","B+","C+","C+","D+"
"Tulane","Amer","C+","A","D","A+","A","C+","C+","B","D+","D","A+"
"Tulsa","Amer","B","B+","C+","B","A+","B+","F","C+","B+","C+","B"
"UAB","Amer","D+","D+","D+","D+","C","D+","D","C","C","D+","D+"
"UCF","Big12","B","C+","B","A+","C","D","C","F","C","B","A+"
"UCLA","Big10","A","B","A","C","B","B+","D","A","C","A","C"
"UConn","Inde","B","B","C+","B+","A","B","C","C+","C+","C+","B+"
"UL Monroe","SBC","D+","C","D+","C","C","D","D+","C","D+","D+","C"
"UNLV","MWC","B+","B","B+","B","C","A","B","B+","D+","B+","B"
"USC","Big10","C","C","C","D","C","C","B+","B+","B","C","D"
"Utah","Big12","C+","C","C+","B+","C","D+","A","D","B","C+","B+"
"Utah State","Pac12","C","D","B+","F","C","D","C","F","D","B+","F"
"UTEP","MWC","C+","B","D+","C+","D","A","A+","C","C+","D+","C+"
"UTSA","Amer","A","C","A+","C+","B","D+","D+","D+","B","A+","C+"
"Vanderbilt","SEC","C+","D","B","D+","D","C","B","C","C+","B","D+"
"Virginia","ACC","A+","A+","A","A","A+","A+","B","A","A","A","A"
"Virginia Tech","ACC","C","B+","D","B+","C","B","C+","B+","A","D","B+"
"Wake Forest","ACC","B","D+","B","C","F","B+","C","B+","C+","B","C"
"Washington","Big10","A+","A","A","B+","A+","A","D+","C","B+","A","B+"
"Washington State","Pac12","C+","C+","C+","C+","C+","C+","A+","C+","A+","C+","C+"
"West Virginia","Big12","A","B+","B+","A","D","B","A","C+","D+","B+","A"
"Western Kentucky","CUSA","B+","B+","A","B+","C","A+","F","B+","B+","A","B+"
"Western Michigan","MAC","C","C+","C+","B","B+","D+","C+","D+","C","C+","B"
"Wisconsin","Big10","B","D+","B+","C","F","B","A","B","F","B+","C"
"Wyoming","MWC","C","C","C","D","B+","D+","B+","B","C","C","D"
