"School","Conference","Head Coach","HC Rating","OFF Play Caller","OPC Rating","DEF Play Caller","DPC Rating","Overall Impact"
"Florida International","CUSA","Willie Simmons","6","Nick Coleman","5","Jovan Dewitt","5","13.0"
"Florida State","ACC","Mike Norvell","4","Mike Norvell","6","Tony White","6","14.1"
"Fresno State","Pac12","Matt Entz","7","Josh Davis","5","Nick Benedetto","5","11.7"
"Georgia","SEC","Kirby Smart","10","Mike Bobo","8","Glenn Schumann","8","15.2"
"Georgia Southern","SBC","Clay Helton","6","Ryan Aplin","4","Mike Mutz","4","12.9"
"Georgia State","SBC","Dell McGee","5","Hue Jackson","7","Cam Clark","7","13.1"
"Georgia Tech","ACC","Brent Key","7","George Godsey","6","Jason Semore","6","13.4"
"Hawai'i","MWC","Timmy Chang","6","Anthony Arceneaux","5","Dennis Thurman","5","12.8"
"Houston","Big12","Willie Fritz","7","Slade Nagel","6","Austin Armstrong","6","14.9"
"Illinois","Big10","Bret Bielema","6","Barry Lunney Jr.","7","Bobby Hauck","7","14.5"
"Indiana","Big10","Curt Cignetti","10","Mike Shanahan","9","Bryant Haines","9","15.4"
"Iowa","Big10","Kirk Ferentz","8","Tim Lester","5","Phil Parker","5","12.8"
"Iowa State","Big12","Jimmy Rogers","7","Tyler Roehl","3","Jesse Bobbit","3","13.3"
"Jacksonville State","CUSA","Charles Kelly","6","Taylor Housewright","3","Brian Williams","3","12.2"
"James Madison","SBC","Billy Napier","5","Cam Aiken","3","Robert Bala","3","10.1"
"Kansas","Big12","Lance Leipold","6","Andy Kotelnicki","7","D.K. McDonald","7","13.2"
"Kansas State","Big12","Collin Klein","5","Sean Gleeson","3","Jordan Peterson","3","14.7"
"Kennesaw State","CUSA","Jerry Mack","8","Mitch Militello","6","Marc Mattioli","6","11.6"
"Kent State","MAC","Mark Carney","5","Clay Patterson","4","Cherokee Valeria","4","12.0"
"Kentucky","SEC","Will Stein","5","Joe Sloan","7","Jay Bateman","7","14.0"
"Liberty","CUSA","Jamey Chadwell","7","Jamey Chadwell","7","Shawn Quinn","7","12.5"
"Louisiana","SBC","Michael Desormeaux","6","Tim Leger","6","Jim Salgado","6","12.5"
"Louisiana Tech","SBC","Sonny Cumbie","6","Nathan Young","6","Luke Olson","6","13.4"
"Louisville","ACC","Jeff Brohm","7","Brian Brohm","6","Mark Ivey","6","13.8"
"LSU","SEC","Lane Kiffin","8","Charlie Weis Jr.","7","Blake Baker","7","15.7"
"Marshall","SBC","Tony Gibson","6","Rod Smith","4","Brad Lambert","4","13.6"
"Maryland","Big10","Mike Locksley","6","Clint Trickett","5","Ted Monachino","5","14.5"
"Massachusetts","MAC","Joe Harasymiak","5","Max Warner","3","Jared Keyte","3","11.9"
"Memphis","Amer","Charles Huff","8","Kevin Decker","4","Lance Guidry","4","12.7"
"Miami","ACC","Mario Cristobal","8","Shannon Dawson","7","Corey Hetherman","7","15.7"
"Miami (OH)","MAC","Chuck Martin","6","Gus Ragland","3","Bill Brechin","3","12.3"
"Michigan","Big10","Kyle Whittingham","8","Jason Beck","6","Jay Hill","6","14.7"
