season,release_index,ranking_date,team,actual_cfp_rank,source_url
2021,4,NOVEMBER 23,Oklahoma,10,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Oregon,11,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Michigan State,12,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,BYU,13,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Wisconsin,14,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Texas A&M,15,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Iowa,16,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Pittsburgh,17,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Wake Forest,18,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Utah,19,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,NC State,20,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,San Diego State,21,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,UTSA,22,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Clemson,23,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Houston,24,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Arkansas,25,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Georgia,1,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Michigan,2,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Alabama,3,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Cincinnati,4,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Oklahoma State,5,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Notre Dame,6,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Ohio State,7,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Ole Miss,8,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Baylor,9,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Oregon,10,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Michigan State,11,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,BYU,12,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Iowa,13,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Oklahoma,14,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Pittsburgh,15,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Wake Forest,16,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Utah,17,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,NC State,18,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,San Diego State,19,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Clemson,20,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Houston,21,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Arkansas,22,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Kentucky,23,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Louisiana,24,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,5,NOVEMBER 30,Texas A&M,25,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Alabama,1,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Michigan,2,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Georgia,3,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Cincinnati,4,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Notre Dame,5,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Ohio State,6,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Baylor,7,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Ole Miss,8,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Oklahoma State,9,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Michigan State,10,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Utah,11,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Pittsburgh,12,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,BYU,13,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Oregon,14,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Iowa,15,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Oklahoma,16,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Wake Forest,17,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,NC State,18,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Clemson,19,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Houston,20,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Arkansas,21,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Kentucky,22,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Louisiana,23,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,San Diego State,24,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,6,SELECTION DAY DECEMBER 5,Texas A&M,25,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2022,1,NOVEMBER 1,Tennessee,1,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Ohio State,2,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Georgia,3,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Clemson,4,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Michigan,5,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Alabama,6,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,TCU,7,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Oregon,8,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,USC,9,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,LSU,10,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Ole Miss,11,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,UCLA,12,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Kansas State,13,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Utah,14,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Penn State,15,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Illinois,16,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,North Carolina,17,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Oklahoma State,18,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Tulane,19,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Syracuse,20,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Wake Forest,21,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,NC State,22,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Oregon State,23,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,Texas,24,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,1,NOVEMBER 1,UCF,25,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Georgia,1,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Ohio State,2,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Michigan,3,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,TCU,4,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Tennessee,5,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Oregon,6,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,LSU,7,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,USC,8,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Alabama,9,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Clemson,10,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Ole Miss,11,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,UCLA,12,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Utah,13,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Penn State,14,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,North Carolina,15,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,NC State,16,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Tulane,17,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Texas,18,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Kansas State,19,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Notre Dame,20,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Illinois,21,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,UCF,22,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Florida State,23,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Kentucky,24,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,2,NOVEMBER 8,Washington,25,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,Georgia,1,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,Ohio State,2,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,Michigan,3,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,TCU,4,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,Tennessee,5,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,LSU,6,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,USC,7,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,Alabama,8,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
2022,3,NOVEMBER 15,Clemson,9,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx
