season,release_index,ranking_date,team,actual_cfp_rank,source_url
2021,1,NOVEMBER 2,Georgia,1,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Alabama,2,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Michigan State,3,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Oregon,4,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Ohio State,5,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Cincinnati,6,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Michigan,7,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Oklahoma,8,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Wake Forest,9,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Notre Dame,10,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Oklahoma State,11,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Baylor,12,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Auburn,13,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Texas A&M,14,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,BYU,15,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Ole Miss,16,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Mississippi State,17,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Kentucky,18,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,NC State,19,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Minnesota,20,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Wisconsin,21,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Iowa,22,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Fresno State,23,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,San Diego State,24,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,1,NOVEMBER 2,Pittsburgh,25,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Georgia,1,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Alabama,2,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Oregon,3,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Ohio State,4,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Cincinnati,5,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Michigan,6,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Michigan State,7,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Oklahoma,8,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Notre Dame,9,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Oklahoma State,10,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Texas A&M,11,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Wake Forest,12,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Baylor,13,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,BYU,14,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Ole Miss,15,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,NC State,16,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Auburn,17,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Wisconsin,18,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Purdue,19,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Iowa,20,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Pittsburgh,21,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,San Diego State,22,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,UTSA,23,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Utah,24,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,2,NOVEMBER 9,Arkansas,25,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Georgia,1,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Alabama,2,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Oregon,3,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Ohio State,4,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Cincinnati,5,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Michigan,6,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Michigan State,7,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Notre Dame,8,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Oklahoma State,9,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Wake Forest,10,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Baylor,11,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Ole Miss,12,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Oklahoma,13,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,BYU,14,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Wisconsin,15,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Texas A&M,16,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Iowa,17,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Pittsburgh,18,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,San Diego State,19,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,NC State,20,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Arkansas,21,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,UTSA,22,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Utah,23,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Houston,24,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,3,NOVEMBER 16,Mississippi State,25,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Georgia,1,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Ohio State,2,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Alabama,3,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Cincinnati,4,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Michigan,5,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Notre Dame,6,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Oklahoma State,7,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Baylor,8,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
2021,4,NOVEMBER 23,Ole Miss,9,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx
