season,week,ranking_date,team,actual_cfp_rank,raw_game_control,game_control,game_control_rank,game_control_index,wins,losses,game_control_method,championship_wins_power,championship_wins_g6,quality_wins,top25_wins,prior_top25_wins,provisional_top25_wins,avg_capped_mov,avg_weighted_mol,bad_losses,sos,source_url,notes
2022,1,2022-11-01,Michigan,5,0.7515510362692426,0.7347997341859092,4,23.479973418590916,8,0,PBP AUC + 0.35*(SOS-.500),0,0,2,1,0,2,18.25,0.0,0,0.4521391369047618,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Michigan State,26,0.3964208726809516,0.41362263359365,102,-8.637736640635001,3,5,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,1,16.0,15.274285714285714,0,0.5491478883219953,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Middle Tennessee,26,0.4595377234411662,0.45452603126429547,81,-4.547396873570452,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,13.333333333333334,22.75952380952381,2,0.485680879494655,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Minnesota,26,0.6083841812957381,0.6049106599427525,23,10.49106599427525,4,3,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,21.0,13.466666666666669,0,0.49007565327718383,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Mississippi State,26,0.6309295771112405,0.6461567183149443,11,14.615671831494426,5,3,PBP AUC + 0.35*(SOS-.500),0,0,2,0,0,0,20.4,12.885714285714284,0,0.5435061177248677,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Missouri,26,0.5503851244512076,0.558370763151132,41,5.837076315113199,3,4,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,12.333333333333334,9.128571428571428,2,0.5228161105712126,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,NC State,22,0.5471555822134595,0.5620132683434671,37,6.20132683434671,5,2,PBP AUC + 0.35*(SOS-.500),0,0,2,0,0,0,7.6,9.214285714285714,0,0.5424505318000216,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Navy,26,0.4432308743959929,0.430690601342327,94,-6.930939865767299,3,4,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,10.333333333333334,12.342857142857142,2,0.4641706484180974,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Nebraska,26,0.3980231927694196,0.3974762587180213,106,-10.252374128197872,2,5,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,7.5,11.197142857142856,1,0.498437331281719,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Nevada,26,0.4225916289255809,0.39400542274171846,108,-10.599457725828154,2,6,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,16.0,16.823015873015873,4,0.4183251251889645,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
