game_id,away_team,home_team,has_site_spread,has_site_total,has_dratings_spread,has_dratings_total,has_massey_spread,has_massey_total,has_sagarin_homeaway_spread,has_sagarin_homeaway_total,has_sagarin_predictor_spread,has_sagarin_predictor_total
g1,Sacramento State,Eastern Michigan,True,True,False,False,True,True,False,False,False,False
g2,New Mexico State,Florida State,True,True,False,False,True,True,False,False,False,False
g3,Jacksonville State,North Dakota State,True,True,False,False,True,True,False,False,False,False
g4,Hawaii,Stanford,True,True,False,False,True,True,False,False,False,False
g5,North Carolina,TCU,True,True,False,False,True,True,False,False,False,False
g6,Memphis,UNLV,True,True,False,False,True,True,False,False,False,False
g7,San Jose State,USC,True,True,False,False,True,True,False,False,False,False
g8,NC State,Virginia,True,True,False,False,True,True,False,False,False,False
g9,UAlbany,Buffalo,False,False,False,False,True,True,False,False,False,False
g10,Bethune-Cookman,Central Florida,False,False,False,False,True,True,False,False,False,False
g11,Merrimack,Delaware,False,False,False,False,False,False,False,False,False,False
g12,Colorado,Georgia Tech,True,True,False,False,True,True,False,False,False,False
g13,West Georgia,Kennesaw State,False,False,False,False,True,True,False,False,False,False
g14,Eastern Illinois,Minnesota,False,False,False,False,True,True,False,False,False,False
g15,UAPB,Missouri,False,False,False,False,False,False,False,False,False,False
g16,Massachusetts,Rutgers,True,True,False,False,True,True,False,False,False,False
g17,Idaho,Utah,False,False,False,False,True,True,False,False,False,False
g18,Akron,Wake Forest,True,True,False,False,True,True,False,False,False,False
g19,San Jose State,Eastern Michigan,True,True,False,False,False,False,False,False,False,False
g20,North Carolina A&T,Georgia State,False,False,False,False,False,False,False,False,False,False
g21,LIU,Kansas,False,False,False,False,False,False,False,False,False,False
g22,Miami-FL,Stanford,True,True,False,False,False,False,False,False,False,False
g23,Duquesne,Air Force,False,False,False,False,False,False,False,False,False,False
g24,East Carolina,Alabama,True,True,False,False,False,False,False,False,False,False
g25,Maine,Appalachian State,False,False,False,False,False,False,False,False,False,False
g26,Northern Arizona,Arizona,False,False,False,False,False,False,False,False,False,False
g27,Morgan State,Arizona State,False,False,False,False,False,False,False,False,False,False
