game_id,away_team,home_team,has_site_spread,has_site_total,has_dratings_spread,has_dratings_total,has_massey_spread,has_massey_total,has_sagarin_homeaway_spread,has_sagarin_homeaway_total,has_sagarin_predictor_spread,has_sagarin_predictor_total
g28,North Alabama,Arkansas,False,False,False,False,False,False,False,False,False,False
g29,Bryant,Army,False,False,False,False,False,False,False,False,False,False
g30,Baylor,Auburn,True,True,False,False,False,False,False,False,False,False
g31,Utah Tech,BYU,False,False,False,False,False,False,False,False,False,False
g32,Tarleton State,Bowling Green,False,False,False,False,False,False,False,False,False,False
g33,UCLA,California,True,True,False,False,False,False,False,False,False,False
g34,The Citadel,Charlotte,False,False,False,False,False,False,False,False,False,False
g35,Boston College,Cincinnati,True,True,False,False,False,False,False,False,False,False
g36,Wyoming,Colorado State,True,True,False,False,False,False,False,False,False,False
g37,Lafayette,Connecticut,False,False,False,False,False,False,False,False,False,False
g38,Tulane,Duke,True,True,False,False,False,False,False,False,False,False
g39,Florida Atlantic,Florida,True,True,False,False,False,False,False,False,False,False
g40,Tennessee State,Georgia,False,False,False,False,False,False,False,False,False,False
g41,Charleston So.,Georgia Southern,False,False,False,False,False,False,False,False,False,False
g42,UNLV,Hawaii,True,True,False,False,False,False,False,False,False,False
g43,Oregon State,Houston,True,True,False,False,False,False,False,False,False,False
g44,UAB,Illinois,True,True,False,False,False,False,False,False,False,False
g45,North Texas,Indiana,True,True,False,False,False,False,False,False,False,False
g46,Northern Illinois,Iowa,True,True,False,False,False,False,False,False,False,False
g47,Southeast Missouri,Iowa State,False,False,False,False,False,False,False,False,False,False
g48,Liberty,James Madison,True,True,False,False,False,False,False,False,False,False
g49,Eastern Kentucky,Jacksonville State,False,False,False,False,False,False,False,False,False,False
g50,Nicholls,Kansas State,False,False,False,False,False,False,False,False,False,False
g51,Youngstown State,Kentucky,False,False,False,False,False,False,False,False,False,False
g52,Clemson,LSU,True,True,False,False,False,False,False,False,False,False
g53,Lamar,Louisiana,False,False,False,False,False,False,False,False,False,False
g54,Northwestern State,Louisiana Tech,False,False,False,False,False,False,False,False,False,False
g55,Hampton,Maryland,False,False,False,False,False,False,False,False,False,False
g56,Arkansas State,Memphis,True,True,False,False,False,False,False,False,False,False
g57,Western Michigan,Michigan,True,True,False,False,False,False,False,False,False,False
g58,Toledo,Michigan State,True,True,False,False,False,False,False,False,False,False
g59,Murray State,Middle Tennessee,False,False,False,False,False,False,False,False,False,False
g60,UL-Monroe,Mississippi State,True,True,False,False,False,False,False,False,False,False
g61,Towson,Navy,False,False,False,False,False,False,False,False,False,False
g62,Ohio,Nebraska,True,True,False,False,False,False,False,False,False,False
g63,Western Kentucky,Nevada,True,True,False,False,False,False,False,False,False,False
g64,Central Michigan,New Mexico,True,True,False,False,False,False,False,False,False,False
g65,Mercyhurst,New Mexico State,False,False,False,False,False,False,False,False,False,False
g66,Fordham,North Dakota State,False,False,False,False,False,False,False,False,False,False
g67,South Dakota State,Northwestern,False,False,False,False,False,False,False,False,False,False
g68,Ball State,Ohio State,True,True,False,False,False,False,False,False,False,False
g69,UTEP,Oklahoma,True,True,False,False,False,False,False,False,False,False
g70,Norfolk State,Old Dominion,False,False,False,False,False,False,False,False,False,False
g71,Boise State,Oregon,True,True,False,False,False,False,False,False,False,False
g72,Marshall,Penn State,True,True,False,False,False,False,False,False,False,False
g73,Miami-OH,Pittsburgh,True,True,False,False,False,False,False,False,False,False
g74,Indiana State,Purdue,False,False,False,False,False,False,False,False,False,False
g75,HCU,Rice,False,False,False,False,False,False,False,False,False,False
g76,MVSU,Sacramento State,False,False,False,False,False,False,False,False,False,False
g77,Portland State,San Diego State,False,False,False,False,False,False,False,False,False,False
g78,Southeastern La.,South Alabama,False,False,False,False,False,False,False,False,False,False
g79,Kent State,South Carolina,True,True,False,False,False,False,False,False,False,False
g80,Florida International,South Florida,True,True,False,False,False,False,False,False,False,False
g81,Alcorn State,Southern Miss,False,False,False,False,False,False,False,False,False,False
g82,New Hampshire,Syracuse,False,False,False,False,False,False,False,False,False,False
g83,Rhode Island,Temple,False,False,False,False,False,False,False,False,False,False
g84,Furman,Tennessee,False,False,False,False,False,False,False,False,False,False
g85,Texas State,Texas,True,True,False,False,False,False,False,False,False,False
g86,Missouri State,Texas A&M,True,True,False,False,False,False,False,False,False,False
g87,Abilene Christian,Texas Tech,False,False,False,False,False,False,False,False,False,False
g88,Sam Houston,Troy,True,True,False,False,False,False,False,False,False,False
g89,Oklahoma State,Tulsa,True,True,False,False,False,False,False,False,False,False
g90,Fresno State,USC,True,True,False,False,False,False,False,False,False,False
g91,UTRGV,UTSA,False,False,False,False,False,False,False,False,False,False
g92,Idaho State,Utah State,False,False,False,False,False,False,False,False,False,False
g93,Austin Peay,Vanderbilt,False,False,False,False,False,False,False,False,False,False
g94,VMI,Virginia Tech,False,False,False,False,False,False,False,False,False,False
g95,Washington State,Washington,True,True,False,False,False,False,False,False,False,False
g96,Coastal Carolina,West Virginia,True,True,False,False,False,False,False,False,False,False
g97,Wisconsin,Notre Dame,True,True,False,False,False,False,False,False,False,False
g98,Louisville,Ole Miss,True,True,False,False,False,False,False,False,False,False
g99,SMU,Florida State,True,True,False,False,False,False,False,False,False,False
g100,Florida A&M,Miami-FL,False,False,False,False,False,False,False,False,False,False
g101,Rutgers,Boston College,True,True,False,False,False,False,False,False,False,False
g102,Missouri,Kansas,True,True,False,False,False,False,False,False,False,False
g103,Villanova,Louisville,False,False,False,False,False,False,False,False,False,False
g104,North Dakota State,Air Force,True,True,False,False,False,False,False,False,False,False
g105,Robert Morris,Akron,False,False,False,False,False,False,False,False,False,False
g106,West Georgia,Arkansas State,False,False,False,False,False,False,False,False,False,False
g107,South Florida,Army,True,True,False,False,False,False,False,False,False,False
g108,Southern Miss,Auburn,True,True,False,False,False,False,False,False,False,False
g109,Arizona,BYU,True,True,False,False,False,False,False,False,False,False
g110,Stony Brook,Ball State,False,False,False,False,False,False,False,False,False,False
g111,Prairie View A&M,Baylor,False,False,False,False,False,False,False,False,False,False
g112,Memphis,Boise State,True,True,False,False,False,False,False,False,False,False
g113,Colgate,Central Michigan,False,False,False,False,False,False,False,False,False,False
g114,Western Carolina,Cincinnati,False,False,False,False,False,False,False,False,False,False
g115,Georgia Southern,Clemson,True,True,False,False,False,False,False,False,False,False
g116,Fordham,Coastal Carolina,False,False,False,False,False,False,False,False,False,False
g117,Weber State,Colorado,False,False,False,False,False,False,False,False,False,False
g118,Southern Utah,Colorado State,False,False,False,False,False,False,False,False,False,False
g119,Maryland,Connecticut,True,True,False,False,False,False,False,False,False,False
g120,Appalachian State,East Carolina,True,True,False,False,False,False,False,False,False,False
g121,Campbell,Florida,False,False,False,False,False,False,False,False,False,False
g122,Navy,Florida Atlantic,True,True,False,False,False,False,False,False,False,False
g123,Buffalo,Florida International,True,True,False,False,False,False,False,False,False,False
g124,Sacramento State,Fresno State,True,True,False,False,False,False,False,False,False,False
g125,Western Kentucky,Georgia,True,True,False,False,False,False,False,False,False,False
g126,Tennessee,Georgia Tech,True,True,False,False,False,False,False,False,False,False
g127,New Mexico State,Hawaii,True,True,False,False,False,False,False,False,False,False
g128,Southern,Houston,False,False,False,False,False,False,False,False,False,False
g129,Duke,Illinois,True,True,False,False,False,False,False,False,False,False
g130,Howard,Indiana,False,False,False,False,False,False,False,False,False,False
g131,Iowa State,Iowa,True,True,False,False,False,False,False,False,False,False
g132,Wagner,James Madison,False,False,False,False,False,False,False,False,False,False
g133,Washington State,Kansas State,True,True,False,False,False,False,False,False,False,False
g134,Georgia State,Kennesaw State,True,True,False,False,False,False,False,False,False,False
g135,Wofford,Kent State,False,False,False,False,False,False,False,False,False,False
g136,Alabama,Kentucky,True,True,False,False,False,False,False,False,False,False
g137,Louisiana Tech,LSU,True,True,False,False,False,False,False,False,False,False
g138,Gardner-Webb,Liberty,False,False,False,False,False,False,False,False,False,False
g139,Middle Tennessee,Marshall,True,True,False,False,False,False,False,False,False,False
g140,Sacred Heart,Massachusetts,False,False,False,False,False,False,False,False,False,False
g141,Holy Cross,Miami-OH,False,False,False,False,False,False,False,False,False,False
g142,Oklahoma,Michigan,True,True,False,False,False,False,False,False,False,False
g143,Eastern Michigan,Michigan State,True,True,False,False,False,False,False,False,False,False
g144,Mississippi State,Minnesota,True,True,False,False,False,False,False,False,False,False
g145,Lindenwood,Missouri State,False,False,False,False,False,False,False,False,False,False
g146,Richmond,NC State,False,False,False,False,False,False,False,False,False,False
g147,Bowling Green,Nebraska,True,True,False,False,False,False,False,False,False,False
g148,Montana State,Nevada,False,False,False,False,False,False,False,False,False,False
g149,Mercyhurst,New Mexico,False,False,False,False,False,False,False,False,False,False
g150,ETSU,North Carolina,False,False,False,False,False,False,False,False,False,False
g151,UNLV,North Texas,True,True,False,False,False,False,False,False,False,False
g152,Illinois State,Northern Illinois,False,False,False,False,False,False,False,False,False,False
g153,Rice,Notre Dame,True,True,False,False,False,False,False,False,False,False
g154,Jacksonville State,Ohio,True,True,False,False,False,False,False,False,False,False
g155,Oregon,Oklahoma State,True,True,False,False,False,False,False,False,False,False
g156,Charlotte,Ole Miss,True,True,False,False,False,False,False,False,False,False
g157,Texas Tech,Oregon State,True,True,False,False,False,False,False,False,False,False
g158,Central Florida,Pittsburgh,True,True,False,False,False,False,False,False,False,False
g159,Wake Forest,Purdue,True,True,False,False,False,False,False,False,False,False
g160,UC Davis,SMU,False,False,False,False,False,False,False,False,False,False
g161,Tulsa,Sam Houston,True,True,False,False,False,False,False,False,False,False
g162,Cal Poly,San Jose State,False,False,False,False,False,False,False,False,False,False
g163,Towson,South Carolina,False,False,False,False,False,False,False,False,False,False
g164,California,Syracuse,True,True,False,False,False,False,False,False,False,False
g165,Grambling State,TCU,False,False,False,False,False,False,False,False,False,False
g166,Penn State,Temple,True,True,False,False,False,False,False,False,False,False
g167,Ohio State,Texas,True,True,False,False,False,False,False,False,False,False
g168,Arizona State,Texas A&M,True,True,False,False,False,False,False,False,False,False
g169,UTSA,Texas State,True,True,False,False,False,False,False,False,False,False
g170,CCSU,Toledo,False,False,False,False,False,False,False,False,False,False
g171,Alabama State,Troy,False,False,False,False,False,False,False,False,False,False
g172,South Alabama,Tulane,True,True,False,False,False,False,False,False,False,False
g173,UL-Monroe,UAB,True,True,False,False,False,False,False,False,False,False
g174,San Diego State,UCLA,True,True,False,False,False,False,False,False,False,False
g175,Louisiana,USC,True,True,False,False,False,False,False,False,False,False
g176,Texas Southern,UTEP,False,False,False,False,False,False,False,False,False,False
g177,Arkansas,Utah,True,True,False,False,False,False,False,False,False,False
g178,Delaware,Vanderbilt,True,True,False,False,False,False,False,False,False,False
g179,Norfolk State,Virginia,False,False,False,False,False,False,False,False,False,False
g180,Old Dominion,Virginia Tech,True,True,False,False,False,False,False,False,False,False
g181,Utah State,Washington,True,True,False,False,False,False,False,False,False,False
g182,UT Martin,West Virginia,False,False,False,False,False,False,False,False,False,False
g183,Monmouth,Western Michigan,False,False,False,False,False,False,False,False,False,False
g184,Western Illinois,Wisconsin,False,False,False,False,False,False,False,False,False,False
g185,Northern Colorado,Wyoming,False,False,False,False,False,False,False,False,False,False
g186,Syracuse,Pittsburgh,True,True,False,False,False,False,False,False,False,False
g187,Houston,Texas Tech,True,True,False,False,False,False,False,False,False,False
g188,Miami-FL,Wake Forest,True,True,False,False,False,False,False,False,False,False
g189,Florida State,Alabama,True,True,False,False,False,False,False,False,False,False
g190,Charlotte,Appalachian State,True,True,False,False,False,False,False,False,False,False
g191,Northern Illinois,Arizona,True,True,False,False,False,False,False,False,False,False
g192,Georgia,Arkansas,True,True,False,False,False,False,False,False,False,False
g193,Florida,Auburn,True,True,False,False,False,False,False,False,False,False
g194,Louisiana Tech,Baylor,True,True,False,False,False,False,False,False,False,False
g195,South Dakota,Boise State,False,False,False,False,False,False,False,False,False,False
g196,Maine,Boston College,False,False,False,False,False,False,False,False,False,False
g197,Wagner,California,False,False,False,False,False,False,False,False,False,False
g198,Georgia State,Central Florida,True,True,False,False,False,False,False,False,False,False
g199,Wyoming,Central Michigan,True,True,False,False,False,False,False,False,False,False
g200,Miami-OH,Cincinnati,True,True,False,False,False,False,False,False,False,False
g201,North Carolina,Clemson,True,True,False,False,False,False,False,False,False,False
g202,BYU,Colorado State,True,True,False,False,False,False,False,False,False,False
g203,Coastal Carolina,Delaware,True,True,False,False,False,False,False,False,False,False
g204,Stanford,Duke,True,True,False,False,False,False,False,False,False,False
g205,Florida International,Florida Atlantic,True,True,False,False,False,False,False,False,False,False
g206,Mercer,Georgia Tech,False,False,False,False,False,False,False,False,False,False
g207,Southern Illinois,Illinois,False,False,False,False,False,False,False,False,False,False
g208,Western Kentucky,Indiana,True,True,False,False,False,False,False,False,False,False
g209,Northern Iowa,Iowa,False,False,False,False,False,False,False,False,False,False
g210,Bowling Green,Iowa State,True,True,False,False,False,False,False,False,False,False
g211,Georgia Southern,Jacksonville State,True,True,False,False,False,False,False,False,False,False
g212,Arizona State,Kansas,True,True,False,False,False,False,False,False,False,False
g213,Tulane,Kansas State,True,True,False,False,False,False,False,False,False,False
g214,Ball State,Liberty,True,True,False,False,False,False,False,False,False,False
g215,UAB,Louisiana,True,True,False,False,False,False,False,False,False,False
g216,SMU,Louisville,True,True,False,False,False,False,False,False,False,False
g217,Virginia Tech,Maryland,True,True,False,False,False,False,False,False,False,False
g218,Stonehill,Massachusetts,False,False,False,False,False,False,False,False,False,False
g219,UT Martin,Memphis,False,False,False,False,False,False,False,False,False,False
g220,UTEP,Michigan,True,True,False,False,False,False,False,False,False,False
g221,Nevada,Middle Tennessee,True,True,False,False,False,False,False,False,False,False
g222,Akron,Minnesota,True,True,False,False,False,False,False,False,False,False
g223,Troy,Missouri,True,True,False,False,False,False,False,False,False,False
g224,Marshall,Missouri State,True,True,False,False,False,False,False,False,False,False
g225,North Dakota,Nebraska,False,False,False,False,False,False,False,False,False,False
g226,Colorado,Northwestern,True,True,False,False,False,False,False,False,False,False
g227,Michigan State,Notre Dame,True,True,False,False,False,False,False,False,False,False
g228,Kent State,Ohio State,True,True,False,False,False,False,False,False,False,False
g229,New Mexico,Oklahoma,True,True,False,False,False,False,False,False,False,False
g230,Murray State,Oklahoma State,False,False,False,False,False,False,False,False,False,False
g231,East Carolina,Old Dominion,True,True,False,False,False,False,False,False,False,False
g232,LSU,Ole Miss,True,True,False,False,False,False,False,False,False,False
g233,Portland State,Oregon,False,False,False,False,False,False,False,False,False,False
g234,Montana,Oregon State,False,False,False,False,False,False,False,False,False,False
g235,Buffalo,Penn State,True,True,False,False,False,False,False,False,False,False
g236,Western Michigan,Rice,True,True,False,False,False,False,False,False,False,False
g237,USC,Rutgers,True,True,False,False,False,False,False,False,False,False
g238,North Dakota State,Sacramento State,True,True,False,False,False,False,False,False,False,False
g239,Nicholls,Sam Houston,False,False,False,False,False,False,False,False,False,False
g240,James Madison,San Diego State,True,True,False,False,False,False,False,False,False,False
g241,Fresno State,San Jose State,True,True,False,False,False,False,False,False,False,False
g242,Ohio,South Alabama,True,True,False,False,False,False,False,False,False,False
g243,Mississippi State,South Carolina,True,True,False,False,False,False,False,False,False,False
g244,Delaware State,South Florida,False,False,False,False,False,False,False,False,False,False
g245,Connecticut,Southern Miss,True,True,False,False,False,False,False,False,False,False
g246,Arkansas State,TCU,True,True,False,False,False,False,False,False,False,False
g247,Kennesaw State,Tennessee,True,True,False,False,False,False,False,False,False,False
g248,UTSA,Texas,True,True,False,False,False,False,False,False,False,False
g249,Kentucky,Texas A&M,True,True,False,False,False,False,False,False,False,False
g250,North Texas,Texas State,True,True,False,False,False,False,False,False,False,False
g251,Temple,Toledo,True,True,False,False,False,False,False,False,False,False
g252,East Texas A&M,Tulsa,False,False,False,False,False,False,False,False,False,False
g253,Purdue,UCLA,True,True,False,False,False,False,False,False,False,False
g254,Southeastern La.,UL-Monroe,False,False,False,False,False,False,False,False,False,False
g255,Utah State,Utah,True,True,False,False,False,False,False,False,False,False
g256,NC State,Vanderbilt,True,True,False,False,False,False,False,False,False,False
g257,Eastern Washington,Washington,False,False,False,False,False,False,False,False,False,False
g258,Duquesne,Washington State,False,False,False,False,False,False,False,False,False,False
g259,Virginia,West Virginia,True,True,False,False,False,False,False,False,False,False
g260,Eastern Michigan,Wisconsin,True,True,False,False,False,False,False,False,False,False
g261,Liberty,Coastal Carolina,True,True,False,False,False,False,False,False,False,False
g262,Clemson,California,True,True,False,False,False,False,False,False,False,False
g263,Navy,UAB,True,True,False,False,False,False,False,False,False,False
g264,UNLV,Akron,True,True,False,False,False,False,False,False,False,False
g265,South Carolina,Alabama,True,True,False,False,False,False,False,False,False,False
g266,Tulsa,Arkansas,True,True,False,False,False,False,False,False,False,False
g267,Kennesaw State,Arkansas State,True,True,False,False,False,False,False,False,False,False
g268,Vanderbilt,Auburn,True,True,False,False,False,False,False,False,False,False
g269,Colorado,Baylor,True,True,False,False,False,False,False,False,False,False
g270,Virginia Tech,Boston College,True,True,False,False,False,False,False,False,False,False
g271,South Florida,Bowling Green,True,True,False,False,False,False,False,False,False,False
g272,Robert Morris,Buffalo,False,False,False,False,False,False,False,False,False,False
g273,TCU,Central Florida,True,True,False,False,False,False,False,False,False,False
g274,Louisiana,Charlotte,True,True,False,False,False,False,False,False,False,False
g275,Kansas State,Cincinnati,True,True,False,False,False,False,False,False,False,False
g276,William & Mary,Duke,False,False,False,False,False,False,False,False,False,False
g277,NC Central,East Carolina,False,False,False,False,False,False,False,False,False,False
g278,Lindenwood,Eastern Michigan,False,False,False,False,False,False,False,False,False,False
g279,Ole Miss,Florida,True,True,False,False,False,False,False,False,False,False
g280,LIU,Florida International,False,False,False,False,False,False,False,False,False,False
g281,Central Arkansas,Florida State,False,False,False,False,False,False,False,False,False,False
g282,Rice,Fresno State,True,True,False,False,False,False,False,False,False,False
g283,Oklahoma,Georgia,True,True,False,False,False,False,False,False,False,False
g284,Houston,Georgia Southern,True,True,False,False,False,False,False,False,False,False
g285,Northern Illinois,Georgia State,True,True,False,False,False,False,False,False,False,False
g286,Northwestern,Indiana,True,True,False,False,False,False,False,False,False,False
g287,Utah,Iowa State,True,True,False,False,False,False,False,False,False,False
g288,Middle Tennessee,Jacksonville State,True,True,False,False,False,False,False,False,False,False
g289,Ball State,Kent State,True,True,False,False,False,False,False,False,False,False
g290,South Alabama,Kentucky,True,True,False,False,False,False,False,False,False,False
g291,Texas A&M,LSU,True,True,False,False,False,False,False,False,False,False
g292,Wake Forest,Louisville,True,True,False,False,False,False,False,False,False,False
g293,Gardner-Webb,Marshall,False,False,False,False,False,False,False,False,False,False
g294,UCLA,Maryland,True,True,False,False,False,False,False,False,False,False
g295,Central Michigan,Miami-FL,True,True,False,False,False,False,False,False,False,False
g296,Connecticut,Miami-OH,True,True,False,False,False,False,False,False,False,False
g297,Iowa,Michigan,True,True,False,False,False,False,False,False,False,False
g298,Nebraska,Michigan State,True,True,False,False,False,False,False,False,False,False
g299,Missouri,Mississippi State,True,True,False,False,False,False,False,False,False,False
g300,Appalachian State,NC State,True,True,False,False,False,False,False,False,False,False
g301,Air Force,Nevada,True,True,False,False,False,False,False,False,False,False
g302,New Mexico,New Mexico State,True,True,False,False,False,False,False,False,False,False
g303,HCU,North Texas,False,False,False,False,False,False,False,False,False,False
g304,Stonehill,Ohio,False,False,False,False,False,False,False,False,False,False
g305,Illinois,Ohio State,True,True,False,False,False,False,False,False,False,False
g306,James Madison,Old Dominion,True,True,False,False,False,False,False,False,False,False
g307,Wisconsin,Penn State,True,True,False,False,False,False,False,False,False,False
g308,Bucknell,Pittsburgh,False,False,False,False,False,False,False,False,False,False
g309,Notre Dame,Purdue,True,True,False,False,False,False,False,False,False,False
g310,Howard,Rutgers,False,False,False,False,False,False,False,False,False,False
g311,Missouri State,SMU,True,True,False,False,False,False,False,False,False,False
g312,Massachusetts,Sacramento State,True,True,False,False,False,False,False,False,False,False
g313,Georgia Tech,Stanford,True,True,False,False,False,False,False,False,False,False
g314,Army,Temple,True,True,False,False,False,False,False,False,False,False
g315,Texas,Tennessee,True,True,False,False,False,False,False,False,False,False
g316,UIW,Texas State,False,False,False,False,False,False,False,False,False,False
g317,Sam Houston,Texas Tech,True,True,False,False,False,False,False,False,False,False
g318,San Diego State,Toledo,True,True,False,False,False,False,False,False,False,False
g319,Southern Miss,Tulane,True,True,False,False,False,False,False,False,False,False
g320,Florida Atlantic,UL-Monroe,True,True,False,False,False,False,False,False,False,False
g321,Oregon,USC,True,True,False,False,False,False,False,False,False,False
g322,Oregon State,UTEP,True,True,False,False,False,False,False,False,False,False
g323,Colorado State,UTSA,True,True,False,False,False,False,False,False,False,False
g324,Troy,Utah State,True,True,False,False,False,False,False,False,False,False
g325,Delaware,Virginia,True,True,False,False,False,False,False,False,False,False
g326,Minnesota,Washington,True,True,False,False,False,False,False,False,False,False
g327,Arizona,Washington State,True,True,False,False,False,False,False,False,False,False
g328,Oklahoma State,West Virginia,True,True,False,False,False,False,False,False,False,False
g329,Mercyhurst,Western Kentucky,False,False,False,False,False,False,False,False,False,False
g330,Boise State,Western Michigan,True,True,False,False,False,False,False,False,False,False
g331,Hawaii,Wyoming,True,True,False,False,False,False,False,False,False,False
g332,Western Kentucky,New Mexico State,True,True,False,False,False,False,False,False,False,False
g333,North Texas,Tulsa,True,True,False,False,False,False,False,False,False,False
g334,Liberty,Delaware,True,True,False,False,False,False,False,False,False,False
g335,Penn State,Northwestern,True,True,False,False,False,False,False,False,False,False
g336,Pittsburgh,Virginia Tech,True,True,False,False,False,False,False,False,False,False
g337,Navy,Air Force,True,True,False,False,False,False,False,False,False,False
g338,Cincinnati,Arizona,True,True,False,False,False,False,False,False,False,False
g339,Baylor,Arizona State,True,True,False,False,False,False,False,False,False,False
g340,Toledo,Ball State,True,True,False,False,False,False,False,False,False,False
g341,Utah State,Boise State,True,True,False,False,False,False,False,False,False,False
g342,Western Michigan,Buffalo,True,True,False,False,False,False,False,False,False,False
g343,Akron,Central Michigan,True,True,False,False,False,False,False,False,False,False
g344,Memphis,Charlotte,True,True,False,False,False,False,False,False,False,False
g345,Miami-FL,Clemson,True,True,False,False,False,False,False,False,False,False
g346,Georgia Southern,Coastal Carolina,True,True,False,False,False,False,False,False,False,False
g347,Texas Tech,Colorado,True,True,False,False,False,False,False,False,False,False
g348,Oregon State,Colorado State,True,True,False,False,False,False,False,False,False,False
g349,Syracuse,Connecticut,True,True,False,False,False,False,False,False,False,False
g350,Texas Southern,Florida Atlantic,False,False,False,False,False,False,False,False,False,False
g351,Virginia,Florida State,True,True,False,False,False,False,False,False,False,False
g352,Vanderbilt,Georgia,True,True,False,False,False,False,False,False,False,False
g353,Old Dominion,Georgia State,True,True,False,False,False,False,False,False,False,False
g354,San Jose State,Hawaii,True,True,False,False,False,False,False,False,False,False
g355,Central Florida,Houston,True,True,False,False,False,False,False,False,False,False
g356,Purdue,Illinois,True,True,False,False,False,False,False,False,False,False
g357,Ohio State,Iowa,True,True,False,False,False,False,False,False,False,False
g358,West Virginia,Iowa State,True,True,False,False,False,False,False,False,False,False
g359,Marshall,James Madison,True,True,False,False,False,False,False,False,False,False
g360,Middle Tennessee,Kansas,True,True,False,False,False,False,False,False,False,False
g361,Ohio,Kent State,True,True,False,False,False,False,False,False,False,False
g362,McNeese,LSU,False,False,False,False,False,False,False,False,False,False
g363,Arkansas State,Louisiana,True,True,False,False,False,False,False,False,False,False
g364,Army,Louisiana Tech,True,True,False,False,False,False,False,False,False,False
g365,Eastern Michigan,Massachusetts,True,True,False,False,False,False,False,False,False,False
g366,Bowling Green,Miami-OH,True,True,False,False,False,False,False,False,False,False
g367,Michigan,Minnesota,True,True,False,False,False,False,False,False,False,False
g368,Alabama,Mississippi State,True,True,False,False,False,False,False,False,False,False
g369,Florida,Missouri,True,True,False,False,False,False,False,False,False,False
g370,Louisville,NC State,True,True,False,False,False,False,False,False,False,False
g371,Maryland,Nebraska,True,True,False,False,False,False,False,False,False,False
g372,UTEP,New Mexico,True,True,False,False,False,False,False,False,False,False
g373,Notre Dame,North Carolina,True,True,False,False,False,False,False,False,False,False
g374,Wyoming,North Dakota State,True,True,False,False,False,False,False,False,False,False
g375,UTSA,Rice,True,True,False,False,False,False,False,False,False,False
g376,Indiana,Rutgers,True,True,False,False,False,False,False,False,False,False
g377,Boston College,SMU,True,True,False,False,False,False,False,False,False,False
g378,Texas State,San Diego State,True,True,False,False,False,False,False,False,False,False
g379,UL-Monroe,South Alabama,True,True,False,False,False,False,False,False,False,False
g380,Kentucky,South Carolina,True,True,False,False,False,False,False,False,False,False
g381,Temple,South Florida,True,True,False,False,False,False,False,False,False,False
g382,BYU,TCU,True,True,False,False,False,False,False,False,False,False
g383,Auburn,Tennessee,True,True,False,False,False,False,False,False,False,False
g384,Arkansas,Texas A&M,True,True,False,False,False,False,False,False,False,False
g385,Samford,UAB,False,False,False,False,False,False,False,False,False,False
g386,California,UNLV,True,True,False,False,False,False,False,False,False,False
g387,Washington,USC,True,True,False,False,False,False,False,False,False,False
g388,Stanford,Wake Forest,True,True,False,False,False,False,False,False,False,False
g389,Fresno State,Washington State,True,True,False,False,False,False,False,False,False,False
g390,Michigan State,Wisconsin,True,True,False,False,False,False,False,False,False,False
g391,Southern Miss,Troy,True,True,False,False,False,False,False,False,False,False
g392,New Mexico State,Florida International,True,True,False,False,False,False,False,False,False,False
g393,Jacksonville State,Kennesaw State,True,True,False,False,False,False,False,False,False,False
g394,South Alabama,Arkansas State,True,True,False,False,False,False,False,False,False,False
g395,Sam Houston,Liberty,True,True,False,False,False,False,False,False,False,False
g396,South Florida,UTSA,True,True,False,False,False,False,False,False,False,False
