team,conf
Ohio State Buckeyes,Big Ten
Texas Longhorns,SEC
Notre Dame Fighting Irish,FBS Indep.
Oregon Ducks,Big Ten
Georgia Bulldogs,SEC
Indiana Hoosiers,Big Ten
Miami Hurricanes,ACC
Alabama Crimson Tide,SEC
LSU Tigers,SEC
Texas Tech Red Raiders,Big 12
Texas A&M Aggies,SEC
Oklahoma Sooners,SEC
USC Trojans,Big Ten
Ole Miss Rebels,SEC
Michigan Wolverines,Big Ten
Tennessee Volunteers,SEC
Penn State Nittany Lions,Big Ten
Florida Gators,SEC
Clemson Tigers,ACC
BYU Cougars,Big 12
Missouri Tigers,SEC
Auburn Tigers,SEC
South Carolina Gamecocks,SEC
SMU Mustangs,ACC
Iowa Hawkeyes,Big Ten
Washington Huskies,Big Ten
Louisville Cardinals,ACC
Florida State Seminoles,ACC
Vanderbilt Commodores,SEC
Nebraska Cornhuskers,Big Ten
Utah Utes,Big 12
Virginia Cavaliers,ACC
Virginia Tech Hokies,ACC
Arizona Wildcats,Big 12
Houston Cougars,Big 12
Pittsburgh Panthers,ACC
Baylor Bears,Big 12
TCU Horned Frogs,Big 12
Illinois Fighting Illini,Big Ten
Kentucky Wildcats,SEC
Kansas State Wildcats,Big 12
North Carolina Tar Heels,ACC
Wisconsin Badgers,Big Ten
Arizona State Sun Devils,Big 12
Colorado Buffaloes,Big 12
Cincinnati Bearcats,Big 12
Arkansas Razorbacks,SEC
Georgia Tech Yellow Jackets,ACC
Mississippi State Bulldogs,SEC
Boise State Broncos,Pac-12
NC State Wolfpack,ACC
Duke Blue Devils,ACC
Wake Forest Demon Deacons,ACC
Oklahoma State Cowboys,Big 12
Kansas Jayhawks,Big 12
Tulane Green Wave,American
UCF Knights,Big 12
UNLV Rebels,Mountain West
San Diego State Aztecs,Pac-12
Northwestern Wildcats,Big Ten
Maryland Terrapins,Big Ten
California Golden Bears,ACC
Minnesota Golden Gophers,Big Ten
UCLA Bruins,Big Ten
Michigan State Spartans,Big Ten
West Virginia Mountaineers,Big 12
Rutgers Scarlet Knights,Big Ten
East Carolina Pirates,American
Navy Midshipmen,American
Syracuse Orange,ACC
Purdue Boilermakers,Big Ten
Iowa State Cyclones,Big 12
South Florida Bulls,American
Memphis Tigers,American
James Madison Dukes,Sun Belt
Hawai'i Rainbow Warriors,Mountain West
Fresno State Bulldogs,Pac-12
Boston College Eagles,ACC
Toledo Rockets,MAC
Stanford Cardinal,ACC
New Mexico Lobos,Mountain West
Western Michigan Broncos,MAC
Washington State Cougars,Pac-12
Texas State Bobcats,Pac-12
Old Dominion Monarchs,Sun Belt
Western Kentucky Hilltoppers,CUSA
Southern Miss Golden Eagles,Sun Belt
UTSA Roadrunners,American
Army Black Knights,American
North Texas Mean Green,American
Delaware Blue Hens,CUSA
Utah State Aggies,Pac-12
Air Force Falcons,Mountain West
Miami (OH) RedHawks,MAC
Troy Trojans,Sun Belt
Liberty Flames,CUSA
Ohio Bobcats,MAC
Oregon State Beavers,Pac-12
Louisiana Ragin' Cajuns,Sun Belt
North Dakota State Bison,Mountain West
Jacksonville State Gamecocks,CUSA
Temple Owls,American
Georgia Southern Eagles,Sun Belt
Marshall Thundering Herd,Sun Belt
Tulsa Golden Hurricane,American
Kennesaw State Owls,CUSA
Arkansas State Red Wolves,Sun Belt
Louisiana Tech Bulldogs,Sun Belt
App State Mountaineers,Sun Belt
Missouri State Bears,CUSA
Sacramento State Hornets,MAC
South Alabama Jaguars,Sun Belt
Buffalo Bulls,MAC
UConn Huskies,FBS Indep.
Florida Atlantic Owls,American
Nevada Wolf Pack,Mountain West
Coastal Carolina Chanticleers,Sun Belt
Colorado State Rams,Pac-12
Florida International Panthers,CUSA
Central Michigan Chippewas,MAC
Wyoming Cowboys,Mountain West
Rice Owls,American
Bowling Green Falcons,MAC
San José State Spartans,Mountain West
Northern Illinois Huskies,Mountain West
Charlotte 49ers,American
Georgia State Panthers,Sun Belt
UAB Blazers,American
New Mexico State Aggies,CUSA
Middle Tennessee Blue Raiders,CUSA
Eastern Michigan Eagles,MAC
UTEP Miners,Mountain West
Akron Zips,MAC
Ball State Cardinals,MAC
Kent State Golden Flashes,MAC
Sam Houston Bearkats,CUSA
Massachusetts Minutemen,MAC
UL Monroe Warhawks,Sun Belt
