week,date,away,home,away_rank,home_rank,away_rating,home_rating,hfa,hfa_source,stored_margin_home,stored_margin_key,rating_margin_home,diff_stored_minus_rating,stored_line,rating_line,issues
1,2026-09-05,Florida Atlantic,Florida,94.0,19.0,-7.1,14.9,2.5,home_team.hfa,24.5,projected_margin_home,24.5,0.0,Florida -24.5,Florida -24.5,
1,2026-09-05,Tennessee State,Georgia,,4.0,,25.5,1.8,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Charleston So.,Georgia Southern,,103.0,,-8.9,3.6,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,UNLV,Hawaii,59.0,84.0,2.8,-3.9,2.1,home_team.hfa,-4.6,projected_margin_home,-4.6,0.0,UNLV -4.6,UNLV -4.6,
1,2026-09-05,Oregon State,Houston,91.0,36.0,-6.3,8.2,1.7,home_team.hfa,16.2,projected_margin_home,16.2,0.0,Houston -16.2,Houston -16.2,
1,2026-09-05,UAB,Illinois,124.0,33.0,-18.1,9.3,1.5,home_team.hfa,28.9,projected_margin_home,28.900000000000002,-3.552713678800501e-15,Illinois -28.9,Illinois -28.9,
1,2026-09-05,North Texas,Indiana,109.0,5.0,-11.8,24.5,1.9,home_team.hfa,38.2,projected_margin_home,38.199999999999996,7.105427357601002e-15,Indiana -38.2,Indiana -38.2,
1,2026-09-05,Northern Illinois,Iowa,125.0,22.0,-18.2,13.6,2.4,home_team.hfa,34.2,projected_margin_home,34.199999999999996,7.105427357601002e-15,Iowa -34.2,Iowa -34.2,
1,2026-09-05,Southeast Missouri,Iowa State,,64.0,,1.0,2.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Liberty,JMU,92.0,,-6.4,,2.5,default_2.5,,,,,,,"missing_home_rating,missing_projected_margin"
1,2026-09-05,Eastern Kentucky,Jacksonville State,,97.0,,-7.7,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Nicholls,Kansas State,,29.0,,10.4,3.8,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Youngstown State,Kentucky,,53.0,,3.8,2.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Clemson,LSU,23.0,10.0,12.8,20.2,3.9,home_team.hfa,11.3,projected_margin_home,11.299999999999999,1.7763568394002505e-15,LSU -11.3,LSU -11.3,
1,2026-09-05,Lamar,Louisiana,,104.0,,-9.1,2.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Northwestern State,Louisiana Tech,,99.0,,-8.3,2.4,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Hampton,Maryland,,53.0,,3.8,2.3,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Arkansas State,Memphis,101.0,70.0,-8.5,-1.1,2.5,home_team.hfa,9.9,projected_margin_home,9.9,0.0,Memphis -9.9,Memphis -9.9,
1,2026-09-05,Western Michigan,Michigan,95.0,14.0,-7.2,16.1,2.9,home_team.hfa,26.2,projected_margin_home,26.2,0.0,Michigan -26.2,Michigan -26.2,
1,2026-09-05,Toledo,Michigan State,108.0,67.0,-11.5,0.4,2.0,home_team.hfa,13.9,projected_margin_home,13.9,0.0,Michigan State -13.9,Michigan State -13.9,
1,2026-09-05,Murray State,Middle Tennessee,,135.0,,-26.0,3.2,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,UL-Monroe,Mississippi State,132.0,52.0,-24.3,3.9,2.6,home_team.hfa,30.8,projected_margin_home,30.8,0.0,Mississippi State -30.8,Mississippi State -30.8,
1,2026-09-05,Towson,Navy,,63.0,,1.1,2.6,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Ohio,Nebraska,117.0,37.0,-13.6,7.7,1.5,home_team.hfa,22.8,projected_margin_home,22.8,0.0,Nebraska -22.8,Nebraska -22.8,
1,2026-09-05,Western Kentucky,Nevada,85.0,112.0,-5.3,-12.2,2.1,home_team.hfa,-4.8,projected_margin_home,-4.799999999999999,-8.881784197001252e-16,Western Kentucky -4.8,Western Kentucky -4.8,
1,2026-09-05,Central Michigan,New Mexico,113.0,68.0,-12.4,-0.5,0.9,home_team.hfa,12.8,projected_margin_home,12.8,0.0,New Mexico -12.8,New Mexico -12.8,
1,2026-09-05,Mercyhurst,New Mexico State,,123.0,,-16.4,3.0,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Fordham,North Dakota State,,72.0,,-1.4,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
