type,quality,team,win_total,side_1,book_1,odds_1,side_2,book_2,odds_2,implied_sum_pct,edge_pct,middle_score,notes,total_1,total_2,middle_gap_calc
Middle,Strong middle,Arizona State,4.5 / 6.5,Over 4.5,DraftKings,-136,Under 6.5,FanDuel,-110,,,63.0,Middle gap of 2 wins.,4.5,6.5,2.0
Middle,Strong middle,Colorado,2.5 / 4.5,Over 2.5,DraftKings,-110,Under 4.5,Caesars,-140,,,63.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Louisville,5.5 / 7.5,Over 5.5,DraftKings,-180,Under 7.5,Caesars,140,,,59.5,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Louisville,5.5 / 7.5,Over 5.5,DraftKings,-180,Under 7.5,FanDuel,140,,,59.5,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Strong middle,Baylor,3.5 / 6.5,Over 3.5,DraftKings,-160,Under 6.5,BetMGM,-175,,,59.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Baylor,3.5 / 6.5,Over 3.5,DraftKings,-160,Under 6.5,Caesars,-160,,,59.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Baylor,3.5 / 6.5,Over 3.5,DraftKings,-160,Under 6.5,FanDuel,-172,,,59.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,OK State,3.5 / 5.5,Over 3.5,DraftKings,-160,Under 5.5,BetMGM,135,,,58.9,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Arkansas,2.5 / 4.5,Over 2.5,DraftKings,130,Under 4.5,BetMGM,-175,,,58.2,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Arkansas,2.5 / 4.5,Over 2.5,DraftKings,130,Under 4.5,Caesars,-160,,,58.2,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Arkansas,2.5 / 4.5,Over 2.5,DraftKings,130,Under 4.5,FanDuel,-172,,,58.2,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Strong middle,Louisville,5.5 / 7.5,Over 5.5,DraftKings,-180,Under 7.5,BetMGM,130,,,58.2,Middle gap of 2 wins.,5.5,7.5,2.0
Middle,Playable middle,Colorado,2.5 / 4.5,Over 2.5,DraftKings,-110,Under 4.5,BetMGM,-175,,,52.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Playable middle,Colorado,2.5 / 4.5,Over 2.5,DraftKings,-110,Under 4.5,FanDuel,-164,,,52.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Playable middle,Michigan St,2.5 / 4.5,Over 2.5,DraftKings,-120,Under 4.5,BetMGM,-190,,,52.0,Middle gap of 2 wins.,2.5,4.5,2.0
Middle,Playable middle,Boston College,1.5 / 3.5,Over 1.5,DraftKings,-200,Under 3.5,Caesars,-125,,,42.0,Middle gap of 2 wins.,1.5,3.5,2.0
Middle,Playable middle,Boston College,1.5 / 3.5,Over 1.5,DraftKings,-200,Under 3.5,BetMGM,-155,,,35.0,Middle gap of 2 wins.,1.5,3.5,2.0
Middle,Playable middle,Boston College,1.5 / 3.5,Over 1.5,DraftKings,-200,Under 3.5,FanDuel,-142,,,35.0,Middle gap of 2 wins.,1.5,3.5,2.0
