season,week,date,game_id,case,team,opponent,team_side,role,spread,ats_margin,ats_result,team_overall,team_overall_rank,team_offense,team_offense_rank,team_defense,team_defense_rank,opponent_overall,opponent_overall_rank,opponent_offense,opponent_offense_rank,opponent_defense,opponent_defense_rank
2024,2,2024-09-07T23:00:00.000Z,401628344,High Overall RP vs Low Overall RP,Missouri,Buffalo,home,Favorite,-33.666666666666664,4.333333333333336,W,68.0,31.0,79.0,16.0,58.0,68.0,29.0,132.0,31.0,128.0,28.0,131.0
2024,3,2024-09-14T16:00:00.000Z,401628350,High Overall RP vs Low Overall RP,Wisconsin,Alabama,home,Underdog,15.166666666666666,-16.833333333333336,L,71.0,20.0,70.0,37.0,71.0,25.0,44.0,115.0,56.0,83.0,33.0,126.0
2024,3,2024-09-14T19:30:00.000Z,401628483,High Overall RP vs Low Overall RP,Oregon,Oregon State,away,Favorite,-17.666666666666668,17.333333333333332,W,69.0,28.0,68.0,45.0,70.0,27.0,40.0,124.0,54.0,86.0,26.0,133.0
2024,3,2024-09-14T20:00:00.000Z,401628477,High Overall RP vs Low Overall RP,Iowa,Troy,home,Favorite,-23.333333333333332,-6.333333333333332,L,69.0,30.0,80.0,12.0,58.0,65.0,36.0,129.0,42.0,114.0,29.0,130.0
2024,3,2024-09-14T23:00:00.000Z,401628361,High Overall RP vs Low Overall RP,Texas,UTSA,home,Favorite,-35.5,13.5,W,70.0,25.0,74.0,30.0,66.0,38.0,45.0,111.0,51.0,98.0,39.0,118.0
2024,3,2024-09-14T23:00:00.000Z,401640999,High Overall RP vs Low Overall RP,Jacksonville State,Eastern Michigan,away,Favorite,-1.0,-4.0,L,69.0,29.0,61.0,69.0,77.0,11.0,46.0,107.0,45.0,109.0,47.0,108.0
2024,3,2024-09-14T23:30:00.000Z,401636866,High Overall RP vs Low Overall RP,TCU,UCF,home,Favorite,-2.1666666666666665,-3.1666666666666665,L,71.0,21.0,63.0,58.0,78.0,10.0,49.0,101.0,38.0,121.0,60.0,61.0
2024,3,2024-09-15T00:00:00.000Z,401628478,High Overall RP vs Low Overall RP,Virginia,Maryland,home,Favorite,-1.1666666666666667,-15.166666666666666,L,76.0,5.0,85.0,5.0,68.0,30.0,45.0,110.0,40.0,117.0,51.0,100.0
2024,3,2024-09-15T02:30:00.000Z,401635541,High Overall RP vs Low Overall RP,California,San Diego State,home,Favorite,-18.666666666666668,2.333333333333332,W,73.0,14.0,79.0,17.0,66.0,36.0,46.0,108.0,49.0,102.0,43.0,114.0
2024,4,2024-09-21T16:00:00.000Z,401645328,High Overall RP vs Low Overall RP,Rice,Army,away,Underdog,7.333333333333333,-15.666666666666668,L,73.0,12.0,62.0,64.0,84.0,2.0,47.0,106.0,58.0,77.0,37.0,121.0
2024,4,2024-09-21T18:00:00.000Z,401635558,High Overall RP vs Low Overall RP,Virginia,Coastal Carolina,away,Favorite,-3.5,15.5,W,76.0,5.0,85.0,5.0,68.0,30.0,45.0,114.0,44.0,112.0,46.0,111.0
2024,4,2024-09-21T23:00:00.000Z,401628491,High Overall RP vs Low Overall RP,Northwestern,Washington,away,Underdog,11.833333333333334,-7.166666666666666,L,76.0,6.0,64.0,53.0,88.0,1.0,36.0,130.0,19.0,134.0,52.0,92.0
2024,4,2024-09-21T23:30:00.000Z,401628372,High Overall RP vs Low Overall RP,Texas A&M,Bowling Green,home,Favorite,-21.166666666666668,-15.166666666666668,L,72.0,18.0,77.0,22.0,67.0,35.0,48.0,103.0,52.0,95.0,45.0,112.0
2024,4,2024-09-22T00:00:00.000Z,401628371,High Overall RP vs Low Overall RP,Texas,UL Monroe,home,Favorite,-43.0,5.0,W,70.0,25.0,74.0,30.0,66.0,38.0,40.0,125.0,39.0,120.0,41.0,117.0
2025,1,2025-08-29T01:00:00.000Z,401762791,High Overall RP vs Low Overall RP,Wisconsin,Miami (OH),home,Favorite,-18.0,-1.0,L,64.0,25.0,67.0,34.0,62.0,39.0,32.0,128.0,15.0,136.0,49.0,87.0
2025,1,2025-08-30T19:30:00.000Z,401752807,High Overall RP vs Low Overall RP,Penn State,Nevada,home,Favorite,-44.166666666666664,-9.166666666666664,L,63.0,33.0,72.0,14.0,53.0,73.0,29.0,132.0,33.0,122.0,26.0,132.0
2025,1,2025-08-30T23:30:00.000Z,401752808,High Overall RP vs Low Overall RP,Michigan,New Mexico,home,Favorite,-35.166666666666664,-18.166666666666664,L,64.0,29.0,63.0,47.0,64.0,28.0,27.0,135.0,29.0,128.0,25.0,133.0
2025,2,2025-09-06T16:00:00.000Z,401757227,High Overall RP vs Low Overall RP,Liberty,Jacksonville State,away,Favorite,-6.25,-16.25,L,66.0,15.0,61.0,56.0,72.0,13.0,28.0,133.0,37.0,114.0,19.0,136.0
2025,2,2025-09-06T19:30:00.000Z,401752818,High Overall RP vs Low Overall RP,Rutgers,Miami (OH),home,Favorite,-15.5,12.5,W,71.0,7.0,80.0,2.0,62.0,38.0,32.0,128.0,15.0,136.0,49.0,87.0
2025,2,2025-09-06T19:30:00.000Z,401756880,High Overall RP vs Low Overall RP,Cincinnati,Bowling Green,home,Favorite,-22.0,-8.0,L,68.0,12.0,65.0,42.0,71.0,16.0,38.0,121.0,45.0,95.0,30.0,127.0
2025,2,2025-09-06T19:30:00.000Z,401762458,High Overall RP vs Low Overall RP,Navy,UAB,home,Favorite,-21.5,-7.5,L,63.0,34.0,73.0,12.0,52.0,78.0,39.0,120.0,38.0,112.0,40.0,114.0
2025,2,2025-09-06T23:00:00.000Z,401756884,High Overall RP vs Low Overall RP,Houston,Rice,away,Favorite,-13.5,12.5,W,65.0,23.0,68.0,29.0,61.0,41.0,39.0,118.0,29.0,127.0,50.0,86.0
