season,team,opponent,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move
2021,Kansas,Coastal Carolina,Big 12,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,Boise State,UTEP,Mountain West,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,UTEP,Boise State,Conference USA,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Virginia,Illinois,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Illinois,Virginia,Big Ten,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Army,Western Kentucky,Independent,Conference USA,Independent,G6,Other,False,False,,,,
2021,Western Kentucky,Army,Conference USA,Independent,G6,Independent,Other,False,False,,,,
2021,East Carolina,South Carolina,American,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,South Carolina,East Carolina,SEC,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Tennessee,Pittsburgh,SEC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Pittsburgh,Tennessee,ACC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Oklahoma State,Tulsa,Big 12,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Tulsa,Oklahoma State,American,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Minnesota,Miami (OH),Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Miami (OH),Minnesota,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,South Florida,Florida,American,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Florida,South Florida,SEC,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Northern Illinois,Wyoming,MAC,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Wyoming,Northern Illinois,Mountain West,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Syracuse,Rutgers,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Rutgers,Syracuse,Big Ten,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Virginia Tech,Middle Tennessee,ACC,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Middle Tennessee,Virginia Tech,Conference USA,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Notre Dame,Toledo,Independent,MAC,Independent,G6,Other,False,False,,,,
2021,Toledo,Notre Dame,MAC,Independent,G6,Independent,Other,False,False,,,,
2021,UConn,Purdue,Independent,Big Ten,Independent,P4,Other,False,False,,,,
2021,Purdue,UConn,Big Ten,Independent,P4,Independent,Other,False,False,,,,
2021,Georgia,UAB,SEC,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,UAB,Georgia,Conference USA,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Florida Atlantic,Georgia Southern,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Georgia Southern,Florida Atlantic,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Massachusetts,Boston College,Independent,ACC,Independent,P4,Other,False,False,,,,
2021,Boston College,Massachusetts,ACC,Independent,P4,Independent,Other,False,False,,,,
2021,Nebraska,Buffalo,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Buffalo,Nebraska,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Akron,Temple,MAC,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Temple,Akron,American,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Navy,Air Force,American,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Air Force,Navy,Mountain West,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Penn State,Ball State,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Ball State,Penn State,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Bowling Green,South Alabama,MAC,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,South Alabama,Bowling Green,Sun Belt,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Iowa State,Iowa,Big 12,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Iowa,Iowa State,Big Ten,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Rice,Houston,Conference USA,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Houston,Rice,American,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Troy,Liberty,Sun Belt,Independent,G6,Independent,Other,False,False,,,,
2021,Liberty,Troy,Independent,Sun Belt,Independent,G6,Other,False,False,,,,
2021,Arkansas State,Memphis,Sun Belt,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Memphis,Arkansas State,American,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Mississippi State,NC State,SEC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,NC State,Mississippi State,ACC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,SMU,North Texas,American,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,North Texas,SMU,Conference USA,American,G6,G6,G6_vs_G6,False,False,,,,
2021,New Mexico,New Mexico State,Mountain West,Independent,G6,Independent,Other,False,False,,,,
2021,New Mexico State,New Mexico,Independent,Mountain West,Independent,G6,Other,False,False,,,,
2021,Miami,App State,ACC,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,App State,Miami,Sun Belt,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Wisconsin,Eastern Michigan,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Eastern Michigan,Wisconsin,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Florida International,Texas State,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Texas State,Florida International,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Arkansas,Texas,SEC,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Texas,Arkansas,Big 12,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,North Carolina,Georgia State,ACC,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,Georgia State,North Carolina,Sun Belt,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Kentucky,Missouri,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Missouri,Kentucky,SEC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Colorado State,Vanderbilt,Mountain West,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Vanderbilt,Colorado State,SEC,Mountain West,P4,G6,P4_vs_G6,False,False,,,,
2021,Louisiana,Ohio,Sun Belt,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Ohio,Louisiana,MAC,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Louisville,UCF,ACC,American,P4,G6,P4_vs_G6,False,False,,,,
2021,UCF,Louisville,American,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Illinois,Maryland,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Maryland,Illinois,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,West Virginia,Virginia Tech,Big 12,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Virginia Tech,West Virginia,ACC,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,Oklahoma,Nebraska,Big 12,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Nebraska,Oklahoma,Big Ten,Big 12,P4,P4,P4_vs_P4,False,False,,,,
