conference_matchup_type,overall_rp_band,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,avg_overall_rp_edge,ats_win_pct,ats_edge_pct,confidence,signal,analysis_type,component,component_edge_band,avg_component_edge,avg_other_component_edge,combined_rule,avg_offense_edge,avg_defense_edge
P4_vs_G6,,33,15,18,0,-1.4848484848484849,-1.5,,0,5,,0.45454545454545453,-4.545454545454547,Promising,Neutral,component_rp,defense_vs_opponent_offense,15_to_24_9,18.78787878787879,1.7272727272727273,,,
P4_vs_P4,,46,25,21,0,1.5108695652173914,0.75,,0,5,,0.5434782608695652,4.347826086956516,Promising,Neutral,component_rp,defense_vs_opponent_offense,15_to_24_9,19.23913043478261,1.065217391304348,,,
P4_vs_P4,,44,20,23,1,0.13636363636363635,-0.5,,0,5,,0.46511627906976744,-3.4883720930232585,Promising,Neutral,component_rp,defense_vs_opponent_offense,25_plus,33.27272727272727,3.2954545454545454,,,
P4_vs_G6,15_to_24_9,42,20,22,0,-1.4880952380952381,-2.75,,0,5,19.023809523809526,0.47619047619047616,-2.3809523809523867,Promising,Neutral,overall_rp,,,,,,,
P4_vs_G6,,46,24,22,0,1.815217391304348,0.5,,0,5,,0.5217391304347826,2.173913043478258,Promising,Neutral,component_rp,offense_vs_opponent_defense,15_to_24_9,19.26086956521739,7.978260869565218,,,
G6_vs_P4,5_to_14_9,43,20,21,2,-3.558139534883721,0.0,,0,5,9.581395348837209,0.4878048780487805,-1.2195121951219505,Promising,Neutral,overall_rp,,,,,,,
G6_vs_P4,,42,21,20,1,-1.75,0.25,,0,5,,0.5121951219512195,1.2195121951219505,Promising,Neutral,component_rp,offense_vs_opponent_defense,5_to_14_9,8.880952380952381,-4.904761904761905,,,
P4_vs_G6,,47,23,23,1,-0.07446808510638298,-0.0,,0,5,,0.5,0.0,Promising,Neutral,component_rp,offense_vs_opponent_defense,5_to_14_9,10.212765957446809,7.0212765957446805,,,
P4_vs_P4,25_plus,16,5,10,1,-2.90625,-6.75,,0,5,32.125,0.3333333333333333,-16.66666666666667,Exploratory,Fade edge team,overall_rp,,,,,,,
G6_vs_P4,15_to_24_9,20,12,7,1,5.125,4.25,,0,5,18.85,0.631578947368421,13.157894736842103,Exploratory,Back edge team,overall_rp,,,,,,,
G6_vs_P4,,18,7,11,0,-1.2777777777777777,-0.75,,0,5,,0.3888888888888889,-11.111111111111107,Exploratory,Fade edge team,component_rp,offense_vs_opponent_defense,25_plus,34.888888888888886,3.6666666666666665,,,
G6_vs_P4,,29,16,12,1,1.7586206896551724,1.0,,0,5,,0.5714285714285714,7.142857142857139,Exploratory,Back edge team,combined_rp,,,,,both_5_plus,17.344827586206897,20.482758620689655
G6_vs_P4,,28,12,15,1,-2.017857142857143,-1.5,,0,5,,0.4444444444444444,-5.555555555555557,Exploratory,Fade edge team,component_rp,defense_vs_opponent_offense,15_to_24_9,19.75,1.3928571428571428,,,
G6_vs_P4,,20,9,11,0,0.1,-4.25,,0,5,,0.45,-5.0,Exploratory,Fade edge team,component_rp,offense_vs_opponent_defense,15_to_24_9,19.5,-0.7,,,
P4_vs_P4,,20,9,10,1,-1.9,-0.25,,0,5,,0.47368421052631576,-2.631578947368425,Exploratory,Neutral,combined_rp,,,,,both_15_plus,30.35,26.55
G6_vs_P4,,19,9,10,0,1.2894736842105263,-0.5,,0,5,,0.47368421052631576,-2.631578947368425,Exploratory,Neutral,combined_rp,,,,,offense_15_plus_def_nonnegative,29.789473684210527,15.368421052631579
G6_vs_P4,,26,12,12,2,-0.8461538461538461,-0.0,,0,5,,0.5,0.0,Exploratory,Neutral,combined_rp,,,,,defense_15_plus_off_nonnegative,13.5,25.846153846153847
G6_vs_P4,,20,9,9,2,-1.025,0.0,,0,5,,0.5,0.0,Exploratory,Neutral,component_rp,defense_vs_opponent_offense,25_plus,32.3,-0.75,,,
