test,case,threshold,role,games,ats_w,ats_l,ats_p,avg_ats_margin,avg_spread,median_spread,ats_pct,ats_record,spread_bucket,abs_avg_ats_margin
off_vs_def_gap_gap_10,off_vs_def_gap,gap_10+,Favorite,183,103,79,1,1.3243169398907104,-15.451639344262295,-13.666666666666666,0.5659340659340659,103-79-1,,1.3243169398907104
overall_gap_gap_10,overall_gap,gap_10+,Favorite,151,75,75,1,-0.6266556291390728,-16.785596026490065,-15.5,0.5,75-75-1,,0.6266556291390728
def_vs_off_gap_gap_10,def_vs_off_gap,gap_10+,Favorite,144,68,76,0,-2.2630787037037035,-16.88113425925926,-16.4375,0.4722222222222222,68-76-0,,2.2630787037037035
off_vs_def_gap_gap_15,off_vs_def_gap,gap_15+,Favorite,137,69,67,1,0.3790754257907542,-16.839902676399028,-15.166666666666666,0.5073529411764706,69-67-1,,0.3790754257907542
off_vs_def_gap_gap_10,off_vs_def_gap,gap_10+,Underdog,111,54,56,1,-0.3593093093093093,10.748798798798799,7.6,0.4909090909090909,54-56-1,,0.3593093093093093
def_vs_off_gap_gap_15,def_vs_off_gap,gap_15+,Favorite,108,58,50,0,-0.557175925925926,-17.307175925925925,-16.4375,0.5370370370370371,58-50-0,,0.557175925925926
off_vs_def_gap_gap_20,off_vs_def_gap,gap_20+,Favorite,107,55,51,1,0.1540498442367602,-16.93006230529595,-15.5,0.5188679245283019,55-51-1,,0.1540498442367602
overall_gap_gap_15,overall_gap,gap_15+,Favorite,103,54,48,1,-0.2727346278317153,-17.92322006472492,-17.0,0.5294117647058824,54-48-1,,0.2727346278317153
def_vs_off_gap_gap_10,def_vs_off_gap,gap_10+,Underdog,93,41,51,1,-1.4059139784946237,12.185483870967742,7.75,0.44565217391304346,41-51-1,,1.4059139784946237
percentile_top40_bottom40_overall_high_low,overall_high_low,top40_bottom40,Favorite,88,47,40,1,0.8000946969696972,-17.24535984848485,-16.75,0.5402298850574713,47-40-1,,0.8000946969696972
percentile_top40_bottom40_offense_high_vs_def_low,offense_high_vs_def_low,top40_bottom40,Favorite,88,41,46,1,-0.8018939393939394,-18.87007575757576,-17.645833333333336,0.47126436781609193,41-46-1,,0.8018939393939394
off_vs_def_gap_gap_25,off_vs_def_gap,gap_25+,Favorite,82,40,41,1,-0.5672764227642276,-16.884349593495934,-15.25,0.49382716049382713,40-41-1,,0.5672764227642276
percentile_top40_bottom40_defense_high_vs_off_low,defense_high_vs_off_low,top40_bottom40,Favorite,82,42,39,1,-0.6741869918699188,-16.308333333333334,-14.5,0.5185185185185185,42-39-1,,0.6741869918699188
off_vs_def_gap_gap_15,off_vs_def_gap,gap_15+,Underdog,80,39,41,0,-1.2391666666666665,9.973333333333333,7.55,0.4875,39-41-0,,1.2391666666666665
overall_gap_gap_10,overall_gap,gap_10+,Underdog,77,41,35,1,-0.4392857142857144,11.158116883116882,7.333333333333333,0.5394736842105263,41-35-1,,0.4392857142857144
def_vs_off_gap_gap_20,def_vs_off_gap,gap_20+,Favorite,77,39,38,0,-0.8781385281385281,-18.059956709956708,-16.666666666666668,0.5064935064935064,39-38-0,,0.8781385281385281
percentile_top35_bottom35_offense_high_vs_def_low,offense_high_vs_def_low,top35_bottom35,Favorite,73,34,38,1,-0.22602739726027393,-19.143835616438356,-17.666666666666668,0.4722222222222222,34-38-1,,0.22602739726027393
percentile_top35_bottom35_defense_high_vs_off_low,defense_high_vs_off_low,top35_bottom35,Favorite,68,33,34,1,-1.6022058823529415,-17.763970588235296,-17.416666666666664,0.4925373134328358,33-34-1,,1.6022058823529415
percentile_top35_bottom35_overall_high_low,overall_high_low,top35_bottom35,Favorite,67,34,32,1,-0.4901741293532336,-18.44539800995025,-17.5,0.5151515151515151,34-32-1,,0.4901741293532336
percentile_top33_bottom33_defense_high_vs_off_low,defense_high_vs_off_low,top33_bottom33,Favorite,67,32,34,1,-1.9003731343283585,-17.780970149253733,-17.5,0.48484848484848486,32-34-1,,1.9003731343283585
def_vs_off_gap_gap_15,def_vs_off_gap,gap_15+,Underdog,66,33,32,1,0.6185606060606061,13.285227272727273,7.541666666666666,0.5076923076923077,33-32-1,,0.6185606060606061
percentile_top33_bottom33_offense_high_vs_def_low,offense_high_vs_def_low,top33_bottom33,Favorite,64,31,32,1,0.15833333333333327,-19.169791666666665,-17.666666666666668,0.49206349206349204,31-32-1,,0.15833333333333327
overall_gap_gap_20,overall_gap,gap_20+,Favorite,62,31,30,1,-0.44610215053763447,-20.07513440860215,-20.666666666666668,0.5081967213114754,31-30-1,,0.44610215053763447
off_vs_def_gap_gap_10_spread_bucket,off_vs_def_gap,gap_10+,Favorite,59,34,24,1,3.1872881355932203,-4.219491525423728,-3.6666666666666665,0.5862068965517241,34-24-1,favorite_1_to_7,3.1872881355932203
percentile_top33_bottom33_overall_high_low,overall_high_low,top33_bottom33,Favorite,59,28,30,1,-2.0072033898305084,-18.85466101694915,-17.666666666666668,0.4827586206896552,28-30-1,,2.0072033898305084
def_vs_off_gap_gap_25,def_vs_off_gap,gap_25+,Favorite,58,32,26,0,0.8183908045977012,-18.371264367816092,-17.25,0.5517241379310345,32-26-0,,0.8183908045977012
off_vs_def_gap_gap_30,off_vs_def_gap,gap_30+,Favorite,56,27,28,1,-1.000297619047619,-18.26815476190476,-17.0,0.4909090909090909,27-28-1,,1.000297619047619
off_vs_def_gap_gap_20,off_vs_def_gap,gap_20+,Underdog,56,23,33,0,-2.2089285714285714,9.93392857142857,8.466666666666667,0.4107142857142857,23-33-0,,2.2089285714285714
percentile_top30_bottom30_offense_high_vs_def_low,offense_high_vs_def_low,top30_bottom30,Favorite,54,25,28,1,-0.22438271604938265,-18.668827160493827,-18.166666666666668,0.4716981132075472,25-28-1,,0.22438271604938265
percentile_top30_bottom30_defense_high_vs_off_low,defense_high_vs_off_low,top30_bottom30,Favorite,53,24,29,0,-2.0262578616352203,-18.15833333333333,-17.5,0.4528301886792453,24-29-0,,2.0262578616352203
percentile_top40_bottom40_defense_high_vs_off_low,defense_high_vs_off_low,top40_bottom40,Underdog,53,21,31,1,-3.8767295597484277,13.840251572327043,11.833333333333334,0.40384615384615385,21-31-1,,3.8767295597484277
off_vs_def_gap_gap_10_spread_bucket,off_vs_def_gap,gap_10+,Favorite,52,25,27,0,-0.7016025641025642,-30.10544871794872,-28.5,0.4807692307692308,25-27-0,favorite_22plus,0.7016025641025642
off_vs_def_gap_gap_10_spread_bucket,off_vs_def_gap,gap_10+,Underdog,51,26,25,0,-0.46274509803921576,4.125490196078432,3.5,0.5098039215686274,26-25-0,underdog_1_to_7,0.46274509803921576
percentile_top30_bottom30_overall_high_low,overall_high_low,top30_bottom30,Favorite,49,23,25,1,-1.0903061224489794,-19.702551020408162,-18.666666666666668,0.4791666666666667,23-25-1,,1.0903061224489794
overall_gap_gap_10_spread_bucket,overall_gap,gap_10+,Favorite,48,24,24,0,0.3468749999999999,-30.92395833333333,-28.916666666666668,0.5,24-24-0,favorite_22plus,0.3468749999999999
overall_gap_gap_10_spread_bucket,overall_gap,gap_10+,Favorite,47,22,24,1,0.1173758865248226,-4.308156028368795,-3.8333333333333335,0.4782608695652174,22-24-1,favorite_1_to_7,0.1173758865248226
def_vs_off_gap_gap_10_spread_bucket,def_vs_off_gap,gap_10+,Favorite,47,24,23,0,-0.41808510638297874,-4.035106382978723,-3.6666666666666665,0.5106382978723404,24-23-0,favorite_1_to_7,0.41808510638297874
percentile_top40_bottom40_offense_high_vs_def_low,offense_high_vs_def_low,top40_bottom40,Underdog,47,22,25,0,-1.0539007092198582,9.435460992907801,7.166666666666667,0.46808510638297873,22-25-0,,1.0539007092198582
def_vs_off_gap_gap_10_spread_bucket,def_vs_off_gap,gap_10+,Favorite,46,20,26,0,-2.2244565217391306,-31.1375,-28.583333333333336,0.43478260869565216,20-26-0,favorite_22plus,2.2244565217391306
off_vs_def_gap_gap_15_spread_bucket,off_vs_def_gap,gap_15+,Favorite,45,21,24,0,-0.6829629629629629,-30.305185185185184,-28.5,0.4666666666666667,21-24-0,favorite_22plus,0.6829629629629629
def_vs_off_gap_gap_10_spread_bucket,def_vs_off_gap,gap_10+,Underdog,45,18,27,0,-2.820555555555556,4.201666666666666,3.625,0.4,18-27-0,underdog_1_to_7,2.820555555555556
overall_gap_gap_15,overall_gap,gap_15+,Underdog,42,21,20,1,0.24920634920634926,12.74920634920635,7.541666666666666,0.5121951219512195,21-20-1,,0.24920634920634926
percentile_top25_bottom25_offense_high_vs_def_low,offense_high_vs_def_low,top25_bottom25,Favorite,41,19,21,1,-0.06869918699186983,-17.82479674796748,-17.333333333333332,0.475,19-21-1,,0.06869918699186983
percentile_top25_bottom25_overall_high_low,overall_high_low,top25_bottom25,Favorite,40,19,20,1,-0.7356250000000001,-19.160625,-18.333333333333336,0.48717948717948717,19-20-1,,0.7356250000000001
overall_gap_gap_25,overall_gap,gap_25+,Favorite,39,22,17,0,1.034615384615385,-21.196153846153845,-20.833333333333332,0.5641025641025641,22-17-0,,1.034615384615385
off_vs_def_gap_gap_15_spread_bucket,off_vs_def_gap,gap_15+,Favorite,39,18,20,1,0.6914529914529914,-4.564957264957265,-4.833333333333333,0.47368421052631576,18-20-1,favorite_1_to_7,0.6914529914529914
def_vs_off_gap_gap_20,def_vs_off_gap,gap_20+,Underdog,38,20,17,1,1.0618421052631577,12.50921052631579,7.25,0.5405405405405406,20-17-1,,1.0618421052631577
overall_gap_gap_10_spread_bucket,overall_gap,gap_10+,Underdog,38,20,18,0,0.1853070175438596,4.18530701754386,3.5625,0.5263157894736842,20-18-0,underdog_1_to_7,0.1853070175438596
off_vs_def_gap_gap_15_spread_bucket,off_vs_def_gap,gap_15+,Underdog,38,19,19,0,-1.4039473684210526,4.122368421052632,3.208333333333333,0.5,19-19-0,underdog_1_to_7,1.4039473684210526
def_vs_off_gap_gap_15_spread_bucket,def_vs_off_gap,gap_15+,Favorite,37,21,16,0,1.531081081081081,-3.847297297297297,-3.5,0.5675675675675675,21-16-0,favorite_1_to_7,1.531081081081081
def_vs_off_gap_gap_30,def_vs_off_gap,gap_30+,Favorite,37,20,17,0,0.55,-17.88243243243243,-16.666666666666668,0.5405405405405406,20-17-0,,0.55
percentile_top40_bottom40_overall_high_low,overall_high_low,top40_bottom40,Underdog,37,18,18,1,0.33513513513513515,11.902702702702703,7.75,0.5,18-18-1,,0.33513513513513515
def_vs_off_gap_gap_15_spread_bucket,def_vs_off_gap,gap_15+,Favorite,36,19,17,0,-0.12893518518518507,-32.351157407407406,-30.083333333333336,0.5277777777777778,19-17-0,favorite_22plus,0.12893518518518507
overall_gap_gap_15_spread_bucket,overall_gap,gap_15+,Favorite,36,19,17,0,-0.14074074074074064,-31.52962962962963,-29.708333333333336,0.5277777777777778,19-17-0,favorite_22plus,0.14074074074074064
off_vs_def_gap_gap_10_spread_bucket,off_vs_def_gap,gap_10+,Favorite,36,19,17,0,-1.0868055555555556,-17.42013888888889,-17.0,0.5277777777777778,19-17-0,favorite_15_to_21,1.0868055555555556
percentile_top40_bottom40_offense_high_vs_def_low_spread_bucket,offense_high_vs_def_low,top40_bottom40,Favorite,36,16,20,0,-1.5435185185185185,-30.34907407407407,-28.0,0.4444444444444444,16-20-0,favorite_22plus,1.5435185185185185
off_vs_def_gap_gap_25,off_vs_def_gap,gap_25+,Underdog,36,13,23,0,-4.208333333333333,10.597222222222221,8.333333333333334,0.3611111111111111,13-23-0,,4.208333333333333
off_vs_def_gap_gap_10_spread_bucket,off_vs_def_gap,gap_10+,Favorite,35,24,11,0,3.697380952380952,-11.016904761904764,-10.5,0.6857142857142857,24-11-0,favorite_8_to_14,3.697380952380952
off_vs_def_gap_gap_20_spread_bucket,off_vs_def_gap,gap_20+,Favorite,35,18,17,0,0.012380952380952489,-30.387619047619047,-28.5,0.5142857142857142,18-17-0,favorite_22plus,0.012380952380952489
percentile_top25_bottom25_defense_high_vs_off_low,defense_high_vs_off_low,top25_bottom25,Favorite,35,16,19,0,-1.3078571428571426,-18.564999999999998,-17.333333333333332,0.45714285714285713,16-19-0,,1.3078571428571426
percentile_top35_bottom35_defense_high_vs_off_low,defense_high_vs_off_low,top35_bottom35,Underdog,34,14,19,1,-3.933333333333333,12.831372549019607,10.166666666666668,0.42424242424242425,14-19-1,,3.933333333333333
off_vs_def_gap_gap_10_spread_bucket,off_vs_def_gap,gap_10+,Underdog,33,16,17,0,-0.3343434343434343,10.574747474747475,10.166666666666666,0.48484848484848486,16-17-0,underdog_8_to_14,0.3343434343434343
overall_gap_gap_10_spread_bucket,overall_gap,gap_10+,Favorite,33,17,16,0,-2.162878787878788,-17.799242424242426,-17.5,0.5151515151515151,17-16-0,favorite_15_to_21,2.162878787878788
def_vs_off_gap_gap_15_spread_bucket,def_vs_off_gap,gap_15+,Underdog,32,15,17,0,-0.6888020833333335,4.248697916666667,3.645833333333333,0.46875,15-17-0,underdog_1_to_7,0.6888020833333335
overall_gap_gap_15_spread_bucket,overall_gap,gap_15+,Favorite,31,16,14,1,1.5999999999999999,-4.690322580645161,-6.0,0.5333333333333333,16-14-1,favorite_1_to_7,1.5999999999999999
percentile_top40_bottom40_overall_high_low_spread_bucket,overall_high_low,top40_bottom40,Favorite,31,16,15,0,1.1309139784946238,-30.804569892473115,-29.166666666666668,0.5161290322580645,16-15-0,favorite_22plus,1.1309139784946238
off_vs_def_gap_gap_20_spread_bucket,off_vs_def_gap,gap_20+,Favorite,31,14,16,1,0.7973118279569892,-4.525268817204301,-4.833333333333333,0.4666666666666667,14-16-1,favorite_1_to_7,0.7973118279569892
percentile_top40_bottom40_defense_high_vs_off_low_spread_bucket,defense_high_vs_off_low,top40_bottom40,Favorite,31,15,15,1,0.6725806451612903,-4.585483870967742,-4.833333333333333,0.5,15-15-1,favorite_1_to_7,0.6725806451612903
percentile_top40_bottom40_overall_high_low_spread_bucket,overall_high_low,top40_bottom40,Favorite,30,15,14,1,0.7227777777777777,-4.710555555555556,-5.916666666666666,0.5172413793103449,15-14-1,favorite_1_to_7,0.7227777777777777
def_vs_off_gap_gap_10_spread_bucket,def_vs_off_gap,gap_10+,Favorite,30,14,16,0,-1.3538888888888891,-18.68722222222222,-18.666666666666668,0.4666666666666667,14-16-0,favorite_15_to_21,1.3538888888888891
percentile_top35_bottom35_offense_high_vs_def_low_spread_bucket,offense_high_vs_def_low,top35_bottom35,Favorite,29,14,15,0,-0.3672413793103447,-31.298275862068966,-31.0,0.4827586206896552,14-15-0,favorite_22plus,0.3672413793103447
def_vs_off_gap_gap_20_spread_bucket,def_vs_off_gap,gap_20+,Favorite,28,17,11,0,1.0961309523809526,-32.11815476190476,-30.083333333333336,0.6071428571428571,17-11-0,favorite_22plus,1.0961309523809526
percentile_top35_bottom35_offense_high_vs_def_low,offense_high_vs_def_low,top35_bottom35,Underdog,28,11,17,0,-3.2767857142857144,8.508928571428571,5.75,0.39285714285714285,11-17-0,,3.2767857142857144
percentile_top33_bottom33_defense_high_vs_off_low,defense_high_vs_off_low,top33_bottom33,Underdog,28,11,16,1,-4.383333333333334,13.152380952380952,8.666666666666668,0.4074074074074074,11-16-1,,4.383333333333334
percentile_top35_bottom35_overall_high_low,overall_high_low,top35_bottom35,Underdog,27,11,15,1,-1.9395061728395062,13.912345679012345,11.5,0.4230769230769231,11-15-1,,1.9395061728395062
off_vs_def_gap_gap_15_spread_bucket,off_vs_def_gap,gap_15+,Favorite,27,13,14,0,-2.5756172839506175,-17.501543209876544,-17.333333333333332,0.48148148148148145,13-14-0,favorite_15_to_21,2.5756172839506175
off_vs_def_gap_gap_15_spread_bucket,off_vs_def_gap,gap_15+,Favorite,26,17,9,0,4.81698717948718,-11.259935897435897,-11.583333333333332,0.6538461538461539,17-9-0,favorite_8_to_14,4.81698717948718
off_vs_def_gap_gap_25_spread_bucket,off_vs_def_gap,gap_25+,Favorite,26,13,13,0,0.3227564102564105,-31.369551282051283,-29.833333333333336,0.5,13-13-0,favorite_22plus,0.3227564102564105
overall_gap_gap_20_spread_bucket,overall_gap,gap_20+,Favorite,26,14,12,0,0.28108974358974376,-31.64198717948718,-30.083333333333336,0.5384615384615384,14-12-0,favorite_22plus,0.28108974358974376
