season,team,raw_team,overall_returning_production,offense_returning_production,defense_returning_production,overall_rank,offense_rank,defense_rank,source
2021,Ohio,Ohio,62.0,55.0,70.0,90,101,71,manual_table
2021,Ohio State,Ohio St.,50.0,55.0,44.0,121,99,119,manual_table
2021,Oklahoma,Oklahoma,76.0,78.0,75.0,43,43,51,manual_table
2021,Oklahoma State,Oklahoma St.,72.0,65.0,80.0,55,79,30,manual_table
2021,Ole Miss,Ole Miss,81.0,78.0,83.0,22,44,20,manual_table
2021,Oregon,Oregon,86.0,87.0,84.0,9,11,19,manual_table
2021,Oregon State,Oregon St.,87.0,94.0,79.0,7,4,34,manual_table
2021,Penn State,Penn St.,78.0,74.0,82.0,37,58,24,manual_table
2021,Pittsburgh,Pittsburgh,73.0,82.0,64.0,50,28,86,manual_table
2021,Purdue,Purdue,78.0,85.0,70.0,38,17,68,manual_table
2021,Rice,Rice,69.0,59.0,79.0,66,89,32,manual_table
2021,Rutgers,Rutgers,64.0,67.0,61.0,82,74,96,manual_table
2021,SMU,SMU,55.0,50.0,59.0,113,112,98,manual_table
2021,San Diego State,San Diego St.,52.0,61.0,42.0,118,84,121,manual_table
2021,San Jose State,San Jose St.,67.0,59.0,74.0,76,92,52,manual_table
2021,South Alabama,S. Alabama,73.0,79.0,67.0,51,41,77,manual_table
2021,South Carolina,S. Carolina,47.0,54.0,40.0,124,102,124,manual_table
2021,South Florida,USF,59.0,51.0,68.0,101,109,75,manual_table
2021,Southern Miss,So. Miss,67.0,57.0,77.0,75,94,42,manual_table
2021,Stanford,Stanford,55.0,45.0,65.0,111,122,81,manual_table
2021,Syracuse,Syracuse,80.0,83.0,76.0,26,26,45,manual_table
2021,TCU,TCU,79.0,87.0,70.0,33,13,66,manual_table
2021,Temple,Temple,42.0,41.0,43.0,125,124,120,manual_table
2021,Tennessee,Tennessee,54.0,53.0,54.0,117,103,107,manual_table
2021,Texas,Texas,61.0,53.0,69.0,95,104,72,manual_table
2021,Texas A&M,Texas A&M,60.0,46.0,74.0,99,120,57,manual_table
2021,Texas State,Texas St.,78.0,82.0,74.0,35,29,56,manual_table
2021,Texas Tech,Texas Tech,69.0,63.0,74.0,69,82,53,manual_table
2021,Toledo,Toledo,61.0,50.0,71.0,96,111,64,manual_table
2021,Troy,Troy,82.0,70.0,94.0,16,68,2,manual_table
2021,Tulane,Tulane,64.0,74.0,53.0,85,57,110,manual_table
2021,Tulsa,Tulsa,55.0,58.0,53.0,109,93,109,manual_table
2021,UAB,UAB,55.0,52.0,57.0,114,107,100,manual_table
2021,UCF,UCF,68.0,74.0,62.0,74,59,91,manual_table
2021,UCLA,UCLA,91.0,95.0,88.0,2,3,8,manual_table
2021,UL Monroe,ULM,59.0,64.0,55.0,100,80,106,manual_table
2021,UMass,UMass,79.0,88.0,71.0,28,10,65,manual_table
2021,UNLV,UNLV,62.0,46.0,79.0,89,121,36,manual_table
2021,USC,USC,69.0,69.0,69.0,67,69,73,manual_table
2021,UTEP,UTEP,63.0,74.0,51.0,86,55,112,manual_table
2021,UTSA,UTSA,79.0,87.0,71.0,27,12,63,manual_table
2021,Utah,Utah,86.0,81.0,91.0,8,34,5,manual_table
2021,Utah State,Utah St.,64.0,67.0,61.0,81,75,93,manual_table
2021,Vanderbilt,Vanderbilt,66.0,75.0,57.0,78,50,102,manual_table
2021,Virginia,Virginia,66.0,72.0,61.0,77,63,95,manual_table
2021,Virginia Tech,Va. Tech,68.0,69.0,67.0,72,71,76,manual_table
2021,Wake Forest,Wake Forest,81.0,88.0,74.0,18,8,54,manual_table
2021,Washington,Washington,82.0,91.0,73.0,15,7,61,manual_table
2021,Washington State,Wash. St.,87.0,88.0,86.0,5,9,13,manual_table
2021,West Virginia,W. Virginia,81.0,82.0,81.0,19,32,29,manual_table
2021,Western Kentucky,WKU,62.0,67.0,56.0,91,73,104,manual_table
2021,Western Michigan,WMU,58.0,65.0,50.0,103,78,113,manual_table
2021,Wisconsin,Wisconsin,83.0,84.0,82.0,14,24,22,manual_table
2021,Wyoming,Wyoming,79.0,79.0,79.0,29,40,31,manual_table
2022,Air Force,Air Force,65.0,70.0,59.0,70,55,98,manual_table
2022,Akron,Akron,67.0,53.0,81.0,56,100,19,manual_table
2022,Alabama,Alabama,65.0,61.0,70.0,65,80,53,manual_table
2022,Appalachian State,Appalachian St.,60.0,63.0,56.0,91,72,104,manual_table
2022,Arizona,Arizona,72.0,76.0,67.0,43,35,63,manual_table
2022,Arizona State,Arizona St.,74.0,77.0,71.0,32,32,46,manual_table
2022,Arkansas,Arkansas,62.0,65.0,60.0,79,66,93,manual_table
2022,Arkansas State,Arkansas St.,61.0,52.0,70.0,87,104,52,manual_table
2022,Army,Army,61.0,53.0,69.0,86,101,54,manual_table
2022,Auburn,Auburn,65.0,65.0,65.0,66,65,73,manual_table
2022,BYU,BYU,88.0,80.0,97.0,2,28,1,manual_table
2022,Ball State,Ball St.,42.0,46.0,37.0,127,118,127,manual_table
2022,Baylor,Baylor,58.0,65.0,51.0,99,67,113,manual_table
2022,Boise State,Boise St.,73.0,65.0,81.0,37,68,18,manual_table
2022,Boston College,Boston College,60.0,53.0,67.0,89,102,65,manual_table
2022,Bowling Green,Bowling Green,92.0,95.0,88.0,1,1,4,manual_table
2022,Buffalo,Buffalo,57.0,51.0,63.0,106,110,83,manual_table
2022,California,California,55.0,37.0,72.0,114,126,44,manual_table
2022,Central Michigan,C. Michigan,65.0,73.0,58.0,61,44,100,manual_table
2022,Charlotte,Charlotte,76.0,89.0,63.0,26,8,82,manual_table
2022,Cincinnati,Cincinnati,59.0,68.0,51.0,92,62,115,manual_table
2022,Clemson,Clemson,72.0,84.0,61.0,41,17,89,manual_table
2022,Coastal Carolina,Coastal Carolina,36.0,43.0,30.0,129,123,131,manual_table
2022,Colorado,Colorado,63.0,78.0,47.0,78,31,121,manual_table
2022,Colorado State,Colorado St.,64.0,55.0,72.0,73,95,40,manual_table
2022,Duke,Duke,48.0,44.0,52.0,125,121,112,manual_table
2022,East Carolina,East Carolina,72.0,69.0,74.0,44,57,38,manual_table
2022,Eastern Michigan,E. Michigan,65.0,66.0,65.0,60,63,72,manual_table
2022,Florida,Florida,65.0,72.0,58.0,62,46,99,manual_table
2022,Florida Atlantic,Florida Atlantic,66.0,82.0,51.0,57,23,116,manual_table
2022,Florida Int'l,Florida Int'l,64.0,63.0,65.0,74,75,75,manual_table
2022,Florida State,Florida St.,82.0,74.0,90.0,11,41,2,manual_table
2022,Fresno State,Fresno St.,78.0,83.0,73.0,21,19,39,manual_table
2022,Georgia,Georgia,59.0,73.0,44.0,96,43,122,manual_table
2022,Georgia Southern,Georgia Southern,85.0,92.0,78.0,6,3,27,manual_table
