season,week,date,game_id,team,opponent,side,role,spread,spread_bucket,ats_margin,ats_result,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_gap,off_vs_def_gap,def_vs_off_gap,team_overall_pct,opp_overall_pct,team_offense_pct,opp_offense_pct,team_defense_pct,opp_defense_pct,case,threshold
2023,1,2023-09-01T00:00:00.000Z,401520176,Utah,Florida,home,Favorite,-6.3,favorite_1_to_7,6.7,W,76.0,83.0,69.0,54.0,55.0,53.0,22.0,30.0,14.0,0.8959731543624161,0.18456375838926176,0.9563758389261745,0.19966442953020133,0.674496644295302,0.28523489932885904,overall_high_low,top25_bottom25
2023,1,2023-09-02T16:00:00.000Z,401520172,Louisiana Tech,SMU,away,Underdog,20.125,underdog_15_to_21,-3.875,L,72.0,62.0,81.0,52.0,56.0,48.0,20.0,14.0,25.0,0.8036912751677853,0.12751677852348994,0.3674496644295302,0.2197986577181208,0.959731543624161,0.14429530201342283,overall_high_low,top25_bottom25
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,home,Favorite,-35.4,favorite_22plus,-8.399999999999999,L,81.0,84.0,78.0,34.0,30.0,39.0,47.0,45.0,48.0,0.964765100671141,0.0050335570469798654,0.9681208053691275,0.0050335570469798654,0.8993288590604027,0.05201342281879195,overall_high_low,top25_bottom25
2023,1,2023-09-02T19:30:00.000Z,401520180,Wisconsin,Buffalo,home,Favorite,-27.0,favorite_22plus,-6.0,L,72.0,75.0,68.0,53.0,57.0,49.0,19.0,26.0,11.0,0.8036912751677853,0.16778523489932887,0.7533557046979866,0.25,0.6442953020134228,0.1912751677852349,overall_high_low,top25_bottom25
2023,1,2023-09-02T22:30:00.000Z,401523996,USC,Nevada,home,Favorite,-37.875,favorite_22plus,14.125,W,76.0,75.0,78.0,53.0,53.0,54.0,23.0,21.0,25.0,0.8959731543624161,0.16778523489932887,0.7533557046979866,0.1761744966442953,0.8993288590604027,0.3070469798657718,overall_high_low,top25_bottom25
2023,1,2023-09-03T16:00:00.000Z,401520171,Rutgers,Northwestern,home,Favorite,-6.1,favorite_1_to_7,10.9,W,73.0,73.0,72.0,56.0,46.0,66.0,17.0,7.0,26.0,0.8389261744966443,0.24328859060402686,0.6963087248322147,0.11241610738255034,0.7449664429530202,0.5906040268456376,overall_high_low,top25_bottom25
2023,2,2023-09-09T16:00:00.000Z,401523999,Utah,Baylor,away,Favorite,-7.0,favorite_1_to_7,0.0,P,76.0,83.0,69.0,55.0,60.0,51.0,21.0,32.0,9.0,0.8959731543624161,0.2063758389261745,0.9563758389261745,0.31208053691275167,0.674496644295302,0.2483221476510067,overall_high_low,top25_bottom25
2023,2,2023-09-09T19:30:00.000Z,401525497,Syracuse,Western Michigan,home,Favorite,-24.666666666666668,favorite_22plus,16.333333333333332,W,73.0,73.0,72.0,49.0,67.0,31.0,24.0,42.0,5.0,0.8389261744966443,0.0738255033557047,0.6963087248322147,0.5134228187919463,0.7449664429530202,0.013422818791946308,overall_high_low,top25_bottom25
2023,2,2023-09-09T21:00:00.000Z,401524004,Washington,Tulsa,home,Favorite,-33.666666666666664,favorite_22plus,-0.6666666666666643,L,73.0,74.0,73.0,40.0,41.0,38.0,33.0,36.0,32.0,0.8389261744966443,0.03523489932885906,0.7348993288590604,0.05536912751677853,0.7751677852348994,0.03859060402684564,overall_high_low,top25_bottom25
2023,2,2023-09-09T23:00:00.000Z,401520183,Texas,Alabama,away,Underdog,7.166666666666667,underdog_1_to_7,17.166666666666668,W,74.0,85.0,63.0,40.0,43.0,38.0,34.0,47.0,20.0,0.8708053691275168,0.03523489932885906,0.9815436241610739,0.07550335570469799,0.47315436241610737,0.03859060402684564,overall_high_low,top25_bottom25
2023,2,2023-09-10T02:30:00.000Z,401524003,USC,Stanford,home,Favorite,-28.666666666666668,favorite_22plus,17.333333333333332,W,76.0,75.0,78.0,35.0,34.0,36.0,41.0,39.0,44.0,0.8959731543624161,0.013422818791946308,0.7533557046979866,0.02348993288590604,0.8993288590604027,0.02348993288590604,overall_high_low,top25_bottom25
2023,3,2023-09-16T19:30:00.000Z,401520223,Duke,Northwestern,home,Favorite,-17.0,favorite_15_to_21,7.0,W,71.0,82.0,60.0,56.0,46.0,66.0,15.0,16.0,14.0,0.7634228187919463,0.24328859060402686,0.9328859060402684,0.11241610738255034,0.4228187919463087,0.5906040268456376,overall_high_low,top25_bottom25
2023,3,2023-09-16T20:00:00.000Z,401520245,Texas A&M,UL Monroe,home,Favorite,-36.5,favorite_22plus,7.5,W,80.0,82.0,77.0,52.0,39.0,66.0,28.0,16.0,38.0,0.9496644295302014,0.12751677852348994,0.9328859060402684,0.03859060402684564,0.8674496644295302,0.5906040268456376,overall_high_low,top25_bottom25
2023,3,2023-09-17T02:30:00.000Z,401525837,Kansas,Nevada,away,Favorite,-28.5,favorite_22plus,-21.5,L,85.0,91.0,80.0,53.0,53.0,54.0,32.0,37.0,27.0,0.9832214765100671,0.16778523489932887,0.9966442953020134,0.1761744966442953,0.9395973154362416,0.3070469798657718,overall_high_low,top25_bottom25
2023,4,2023-09-23T17:30:00.000Z,401532406,Toledo,Western Michigan,home,Favorite,-21.5,favorite_15_to_21,-3.5,L,77.0,82.0,72.0,49.0,67.0,31.0,28.0,51.0,5.0,0.9161073825503355,0.0738255033557047,0.9328859060402684,0.5134228187919463,0.7449664429530202,0.013422818791946308,overall_high_low,top25_bottom25
2023,4,2023-09-23T19:30:00.000Z,401525506,Boston College,Louisville,away,Underdog,13.833333333333334,underdog_8_to_14,-14.166666666666666,L,78.0,78.0,79.0,56.0,61.0,50.0,22.0,28.0,18.0,0.9345637583892618,0.24328859060402686,0.8389261744966443,0.33221476510067116,0.9211409395973155,0.22818791946308725,overall_high_low,top25_bottom25
2023,4,2023-09-23T19:30:00.000Z,401520250,Ole Miss,Alabama,away,Underdog,7.0,underdog_1_to_7,-7.0,L,71.0,80.0,62.0,40.0,43.0,38.0,31.0,42.0,19.0,0.7634228187919463,0.03523489932885906,0.8959731543624161,0.07550335570469799,0.4412751677852349,0.03859060402684564,overall_high_low,top25_bottom25
2023,4,2023-09-23T20:00:00.000Z,401531423,Rice,South Florida,away,Favorite,-2.5,favorite_1_to_7,-15.5,L,73.0,72.0,74.0,56.0,46.0,67.0,17.0,5.0,28.0,0.8389261744966443,0.24328859060402686,0.6459731543624161,0.11241610738255034,0.7885906040268457,0.6208053691275168,overall_high_low,top25_bottom25
2023,4,2023-09-23T23:00:00.000Z,401520258,LSU,Arkansas,home,Favorite,-17.666666666666668,favorite_15_to_21,-14.666666666666668,L,71.0,81.0,60.0,54.0,58.0,51.0,17.0,30.0,2.0,0.7634228187919463,0.18456375838926176,0.9110738255033557,0.2785234899328859,0.4228187919463087,0.2483221476510067,overall_high_low,top25_bottom25
2023,4,2023-09-23T23:30:00.000Z,401525844,Texas,Baylor,away,Favorite,-16.5,favorite_15_to_21,15.5,W,74.0,85.0,63.0,55.0,60.0,51.0,19.0,34.0,3.0,0.8708053691275168,0.2063758389261745,0.9815436241610739,0.31208053691275167,0.47315436241610737,0.2483221476510067,overall_high_low,top25_bottom25
2024,1,2024-08-30T00:00:00.000Z,401640998,Jacksonville State,Coastal Carolina,home,Favorite,-3.5,favorite_1_to_7,-31.5,L,69.0,61.0,77.0,45.0,44.0,46.0,24.0,15.0,33.0,0.7692307692307693,0.15,0.48653846153846153,0.15384615384615385,0.9096153846153846,0.1576923076923077,overall_high_low,top25_bottom25
2024,1,2024-08-30T00:00:00.000Z,401628448,Minnesota,North Carolina,home,Underdog,0.3333333333333333,unknown,-1.6666666666666667,L,71.0,68.0,74.0,37.0,37.0,36.0,34.0,32.0,37.0,0.8442307692307692,0.057692307692307696,0.675,0.057692307692307696,0.8769230769230769,0.08461538461538462,overall_high_low,top25_bottom25
2024,1,2024-08-31T19:30:00.000Z,401628454,Nebraska,UTEP,home,Favorite,-27.5,favorite_22plus,5.5,W,77.0,76.0,78.0,45.0,42.0,48.0,32.0,28.0,36.0,0.9807692307692307,0.15,0.823076923076923,0.11730769230769231,0.9365384615384615,0.18653846153846154,overall_high_low,top25_bottom25
2024,1,2024-08-31T19:30:00.000Z,401634304,Syracuse,Ohio,home,Favorite,-17.333333333333332,favorite_15_to_21,-1.3333333333333321,L,74.0,81.0,67.0,27.0,22.0,33.0,47.0,48.0,45.0,0.9365384615384615,0.011538461538461539,0.9230769230769231,0.019230769230769232,0.7826923076923077,0.05576923076923077,overall_high_low,top25_bottom25
2024,2,2024-09-07T16:00:00.000Z,401643784,Memphis,Troy,home,Favorite,-18.666666666666668,favorite_15_to_21,2.333333333333332,W,69.0,74.0,65.0,36.0,42.0,29.0,33.0,45.0,23.0,0.7692307692307693,0.03653846153846154,0.7884615384615384,0.11730769230769231,0.698076923076923,0.026923076923076925,overall_high_low,top25_bottom25
2024,2,2024-09-07T16:00:00.000Z,401628470,Penn State,Bowling Green,home,Favorite,-34.833333333333336,favorite_22plus,-27.833333333333336,L,70.0,74.0,66.0,48.0,52.0,45.0,22.0,29.0,14.0,0.8096153846153846,0.20576923076923076,0.7884615384615384,0.275,0.7423076923076923,0.14423076923076922,overall_high_low,top25_bottom25
