bucket,games,traveler_ats,traveler_ats_win_pct,avg_traveler_ats_margin,favorite_ats,favorite_ats_win_pct,avg_favorite_ats_margin,underdog_ats,underdog_ats_win_pct,avg_underdog_ats_margin,ou_record,over_pct,avg_total_margin,one_h_traveler_ats,one_h_traveler_ats_win_pct,one_h_ou_record,one_h_over_pct,avg_one_h_total_margin
All known TZ road games,1016,520-491-5,51.4,0.13,233-179-4,56.6,-0.27,287-312-1,47.9,0.4,383 O / 628 U / 5 P,37.9,-0.02,476-538-0,46.9,514 O / 489 U / 12 P,51.2,0.69
Away travels 0 TZ,554,275-276-3,49.9,-0.07,122-107-3,53.3,-0.51,153-169-0,47.5,0.25,216 O / 336 U / 2 P,39.1,0.61,261-293-0,47.1,285 O / 262 U / 7 P,52.1,1.06
Away travels 1 TZ,316,178-136-2,56.7,0.53,79-42-1,65.3,0.39,99-94-1,51.3,0.62,112 O / 202 U / 2 P,35.7,-0.45,148-166-0,47.1,150 O / 161 U / 4 P,48.2,0.32
Away travels 2 TZ,70,29-41-0,41.4,0.16,15-16-0,48.4,-0.97,14-25-0,35.9,1.06,26 O / 43 U / 1 P,37.7,-2.26,33-37-0,47.1,34 O / 35 U / 1 P,49.3,-0.79
Away travels 3+ TZ,76,38-38-0,50.0,-0.21,17-14-0,54.8,-0.44,21-24-0,46.7,-0.06,29 O / 47 U / 0 P,38.2,-0.82,34-42-0,44.7,45 O / 31 U / 0 P,59.2,0.9
3+ TZ all,76,38-38-0,50.0,-0.21,17-14-0,54.8,-0.44,21-24-0,46.7,-0.06,29 O / 47 U / 0 P,38.2,-0.82,34-42-0,44.7,45 O / 31 U / 0 P,59.2,0.9
3+ TZ eastbound,36,20-16-0,55.6,-0.11,9-5-0,64.3,-0.07,11-11-0,50.0,-0.14,15 O / 21 U / 0 P,41.7,-0.49,21-15-0,58.3,16 O / 20 U / 0 P,44.4,-2.43
3+ TZ westbound,40,18-22-0,45.0,-0.3,8-9-0,47.1,-0.74,10-13-0,43.5,0.02,14 O / 26 U / 0 P,35.0,-1.11,13-27-0,32.5,29 O / 11 U / 0 P,72.5,3.9
3+ TZ traveler favorite,31,17-14-0,54.8,-0.44,17-14-0,54.8,-0.44,0-0-0,,,13 O / 18 U / 0 P,41.9,0.71,22-9-0,71.0,18 O / 13 U / 0 P,58.1,0.6
3+ TZ traveler underdog,45,21-24-0,46.7,-0.06,0-0-0,,,21-24-0,46.7,-0.06,16 O / 29 U / 0 P,35.6,-1.87,12-33-0,26.7,27 O / 18 U / 0 P,60.0,1.11
3+ TZ early UTC proxy,32,14-18-0,43.8,-0.56,3-4-0,42.9,0.07,11-14-0,44.0,-0.74,13 O / 19 U / 0 P,40.6,0.42,9-23-0,28.1,23 O / 9 U / 0 P,71.9,3.3
