conference_matchup_type,rp_band,broad_spread_band,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,ats_win_pct,ats_edge_pct,confidence,signal
P4_vs_G6,5_to_14_9,fav_14_plus,26,11,15,0,-0.44230769230769257,-2.583333333333334,1.3666666666666667,15,0.4230769230769231,-7.692307692307693,Exploratory,Fade RP-edge team
P4_vs_G6,15_to_24_9,fav_14_plus,22,10,12,0,-3.1174242424242427,-3.416666666666668,1.1785714285714286,14,0.45454545454545453,-4.545454545454547,Exploratory,Neutral
P4_vs_G6,25_plus,fav_14_plus,20,11,9,0,0.6800000000000004,1.25,-0.21428571428571427,14,0.55,5.000000000000007,Exploratory,Back RP-edge team
P4_vs_P4,5_to_14_9,pick_to_fav_6_5,18,10,8,0,-0.875,1.5833333333333335,0.25,12,0.5555555555555556,5.555555555555557,Exploratory,Back RP-edge team
G6_vs_P4,5_to_14_9,dog_7_plus,16,8,8,0,-3.933854166666667,-2.166666666666667,-0.25,6,0.5,0.0,Exploratory,Neutral
P4_vs_P4,5_to_14_9,dog_7_plus,12,7,5,0,2.283333333333333,2.8,-0.1,5,0.5833333333333334,8.333333333333336,Insufficient,Back RP-edge team
P4_vs_P4,15_to_24_9,pick_to_fav_6_5,11,6,5,0,3.9909090909090916,5.0,0.625,8,0.5454545454545454,4.54545454545454,Insufficient,Neutral
G6_vs_G6,5_to_14_9,dog_7_plus,11,4,7,0,-3.825757575757576,-6.666666666666666,1.0714285714285714,7,0.36363636363636365,-13.636363636363633,Insufficient,Fade RP-edge team
G6_vs_P4,15_to_24_9,dog_7_plus,9,6,3,0,6.474074074074074,13.666666666666668,-0.1,5,0.6666666666666666,16.666666666666657,Insufficient,Back RP-edge team
P4_vs_P4,5_to_14_9,fav_14_plus,9,4,5,0,-1.5407407407407403,-3.666666666666666,-1.875,4,0.4444444444444444,-5.555555555555557,Insufficient,Fade RP-edge team
G6_vs_G6,5_to_14_9,pick_to_fav_6_5,8,3,5,0,2.791666666666667,-1.6666666666666665,-0.5,5,0.375,-12.5,Insufficient,Fade RP-edge team
G6_vs_G6,5_to_14_9,fav_7_to_13_5,7,4,3,0,-0.9702380952380958,1.0,0.16666666666666666,3,0.5714285714285714,7.142857142857139,Insufficient,Back RP-edge team
P4_vs_P4,15_to_24_9,dog_0_5_to_6_5,6,4,2,0,11.380555555555555,11.708333333333334,1.25,4,0.6666666666666666,16.666666666666657,Insufficient,Back RP-edge team
P4_vs_P4,5_to_14_9,dog_0_5_to_6_5,6,4,2,0,4.194444444444445,1.75,1.0,6,0.6666666666666666,16.666666666666657,Insufficient,Back RP-edge team
G6_vs_G6,5_to_14_9,dog_0_5_to_6_5,5,4,1,0,6.5666666666666655,5.166666666666666,0.0,3,0.8,30.0,Insufficient,Back RP-edge team
G6_vs_G6,15_to_24_9,dog_0_5_to_6_5,5,3,2,0,0.05,0.6666666666666665,-0.8333333333333334,3,0.6,10.0,Insufficient,Back RP-edge team
G6_vs_G6,15_to_24_9,fav_7_to_13_5,5,3,2,0,3.9333333333333336,9.75,0.0,5,0.6,10.0,Insufficient,Back RP-edge team
Other,5_to_14_9,dog_7_plus,5,3,2,0,-1.3000000000000003,2.333333333333332,0.0,2,0.6,10.0,Insufficient,Back RP-edge team
P4_vs_P4,15_to_24_9,fav_14_plus,5,3,2,0,-2.666666666666667,0.3333333333333339,-1.5,1,0.6,10.0,Insufficient,Back RP-edge team
P4_vs_P4,5_to_14_9,fav_7_to_13_5,5,3,2,0,-2.7,5.5,0.3333333333333333,3,0.6,10.0,Insufficient,Back RP-edge team
G6_vs_P4,5_to_14_9,dog_0_5_to_6_5,5,2,3,0,-6.866666666666667,-8.0,-0.125,4,0.4,-10.0,Insufficient,Fade RP-edge team
G6_vs_G6,15_to_24_9,fav_14_plus,4,2,2,0,-0.7083333333333335,-0.3333333333333339,0.125,4,0.5,0.0,Insufficient,Neutral
P4_vs_P4,15_to_24_9,dog_7_plus,4,2,2,0,-13.479166666666666,-6.708333333333333,0.6666666666666666,3,0.5,0.0,Insufficient,Neutral
P4_vs_P4,15_to_24_9,fav_7_to_13_5,4,2,2,0,-4.541666666666667,-6.083333333333333,0.75,2,0.5,0.0,Insufficient,Neutral
G6_vs_G6,15_to_24_9,dog_7_plus,4,1,3,0,-8.135416666666668,-9.9375,1.75,2,0.25,-25.0,Insufficient,Fade RP-edge team
G6_vs_G6,15_to_24_9,pick_to_fav_6_5,4,1,3,0,-11.75,-9.75,-2.25,2,0.25,-25.0,Insufficient,Fade RP-edge team
G6_vs_G6,5_to_14_9,fav_14_plus,4,1,3,0,-17.166666666666664,-18.166666666666668,0.75,2,0.25,-25.0,Insufficient,Fade RP-edge team
P4_vs_P4,25_plus,dog_7_plus,4,1,3,0,-3.4583333333333335,-7.083333333333333,-3.75,2,0.25,-25.0,Insufficient,Fade RP-edge team
G6_vs_G6,25_plus,pick_to_fav_6_5,3,1,2,0,-5.6944444444444455,-16.0,0.0,2,0.3333333333333333,-16.66666666666667,Insufficient,Fade RP-edge team
P4_vs_G6,5_to_14_9,dog_0_5_to_6_5,3,1,2,0,0.49999999999999994,-1.3333333333333333,-4.5,1,0.3333333333333333,-16.66666666666667,Insufficient,Fade RP-edge team
P4_vs_G6,15_to_24_9,pick_to_fav_6_5,2,2,0,0,7.666666666666666,7.666666666666666,-2.0,1,1.0,50.0,Insufficient,Back RP-edge team
P4_vs_G6,5_to_14_9,fav_7_to_13_5,2,2,0,0,14.75,14.75,0.5,2,1.0,50.0,Insufficient,Back RP-edge team
G6_vs_G6,25_plus,dog_0_5_to_6_5,2,1,1,0,2.75,2.75,,0,0.5,0.0,Insufficient,Neutral
G6_vs_G6,25_plus,dog_7_plus,2,1,1,0,-2.666666666666667,-2.666666666666667,0.0,1,0.5,0.0,Insufficient,Neutral
G6_vs_G6,25_plus,fav_14_plus,2,1,1,0,-0.5833333333333339,-0.5833333333333339,1.5,1,0.5,0.0,Insufficient,Neutral
G6_vs_G6,25_plus,fav_7_to_13_5,2,1,1,0,-10.75,-10.75,0.25,2,0.5,0.0,Insufficient,Neutral
G6_vs_P4,25_plus,dog_7_plus,2,1,1,0,-1.979166666666666,-1.979166666666666,0.5,1,0.5,0.0,Insufficient,Neutral
Other,5_to_14_9,fav_7_to_13_5,2,1,1,0,18.979166666666668,18.979166666666668,-3.5,1,0.5,0.0,Insufficient,Neutral
P4_vs_P4,25_plus,fav_7_to_13_5,2,1,1,0,-4.000000000000002,-4.000000000000002,-1.0,1,0.5,0.0,Insufficient,Neutral
Other,25_plus,fav_14_plus,1,1,0,0,1.5,1.5,-2.0,1,1.0,50.0,Insufficient,Back RP-edge team
Other,5_to_14_9,dog_0_5_to_6_5,1,1,0,0,7.833333333333333,7.833333333333333,0.0,1,1.0,50.0,Insufficient,Back RP-edge team
P4_vs_G6,25_plus,fav_7_to_13_5,1,1,0,0,12.5,12.5,1.0,1,1.0,50.0,Insufficient,Back RP-edge team
P4_vs_G6,25_plus,pick_to_fav_6_5,1,1,0,0,15.5,15.5,0.5,1,1.0,50.0,Insufficient,Back RP-edge team
G6_vs_P4,15_to_24_9,pick_to_fav_6_5,1,0,1,0,-5.0,-5.0,,0,0.0,-50.0,Insufficient,Fade RP-edge team
Other,5_to_14_9,pick_to_fav_6_5,1,0,1,0,-12.666666666666666,-12.666666666666666,,0,0.0,-50.0,Insufficient,Fade RP-edge team
P4_vs_G6,15_to_24_9,fav_7_to_13_5,1,0,1,0,-8.166666666666668,-8.166666666666668,0.5,1,0.0,-50.0,Insufficient,Fade RP-edge team
P4_vs_G6,5_to_14_9,pick_to_fav_6_5,1,0,1,0,-9.5,-9.5,0.0,1,0.0,-50.0,Insufficient,Fade RP-edge team
