season,week,date,game_id,opponent,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move,spread,favorite_status,ats_margin,ats_result,team_closing_spread,team_clv
2023,1,2023-09-01T00:00:00.000Z,401520176,Florida,,SEC,,P4,Other,,False,,SEC,,,-6.3,Favorite,6.7,W,-5.5,
2023,1,2023-09-02T16:00:00.000Z,401520172,SMU,Conference USA,American,G6,G6,G6_vs_G6,False,False,Conference USA,American,,,20.125,Underdog,-3.875,L,21.0,
2023,1,2023-09-02T16:00:00.000Z,401520162,East Carolina,Big Ten,American,P4,G6,P4_vs_G6,False,False,Big Ten,American,,,-35.4,Favorite,-8.399999999999999,L,-36.0,
2023,1,2023-09-02T19:30:00.000Z,401520180,Buffalo,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,Big Ten,MAC,,,-27.0,Favorite,-6.0,L,-29.0,
2023,1,2023-09-02T22:30:00.000Z,401523996,Nevada,,Mountain West,,G6,Other,,False,,Mountain West,,,-37.875,Favorite,14.125,W,-37.5,
2023,1,2023-09-03T16:00:00.000Z,401520171,Northwestern,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,Big Ten,Big Ten,,,-6.1,Favorite,10.9,W,-5.0,
2023,2,2023-09-09T16:00:00.000Z,401523999,Baylor,,Big 12,,P4,Other,,False,,Big 12,,,-7.0,Favorite,0.0,P,-7.0,
2023,2,2023-09-09T19:30:00.000Z,401525497,Western Michigan,ACC,MAC,P4,G6,P4_vs_G6,False,False,ACC,MAC,,,-24.666666666666668,Favorite,16.333333333333332,W,-24.5,
2023,2,2023-09-09T21:00:00.000Z,401524004,Tulsa,,American,,G6,Other,,False,,American,,,-33.666666666666664,Favorite,-0.6666666666666643,L,-34.0,
2023,2,2023-09-09T23:00:00.000Z,401520183,Alabama,Big 12,SEC,P4,P4,P4_vs_P4,False,False,Big 12,SEC,,,7.166666666666667,Underdog,17.166666666666668,W,7.0,
