conference_matchup_type,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,ats_win_pct,ats_edge_pct,confidence,signal,view,rp_band
P4_vs_G6,22,13,9,0,1.8909090909090913,3.333333333333334,-0.09375,16,3,0.5909090909090909,9.090909090909093,Exploratory,Back RP-edge team,Matchup + RP band,25_plus
G6_vs_P4,21,10,11,0,-4.632142857142857,-4.666666666666666,-0.2,10,3,0.47619047619047616,-2.3809523809523867,Exploratory,Neutral,Matchup + RP band,5_to_14_9
P4_vs_G6,25,12,13,0,-2.4566666666666674,-3.166666666666668,0.9375,16,3,0.48,-2.0,Exploratory,Neutral,Matchup + RP band,15_to_24_9
P4_vs_P4,30,17,13,0,0.8922222222222221,1.208333333333333,0.6666666666666666,18,3,0.5666666666666667,6.666666666666664,Promising,Back RP-edge team,Matchup + RP band,15_to_24_9
P4_vs_G6,32,14,18,0,0.3124999999999999,-1.5,0.8947368421052632,19,3,0.4375,-6.25,Promising,Fade RP-edge team,Matchup + RP band,5_to_14_9
G6_vs_P4,33,17,16,0,-1.4535353535353537,0.3333333333333321,-0.125,16,3,0.5151515151515151,1.5151515151515156,Promising,Neutral,Matchup overall,
P4_vs_P4,50,28,22,0,0.18900000000000006,1.5499999999999998,0.06666666666666667,30,3,0.56,6.000000000000007,Supported,Back RP-edge team,Matchup + RP band,5_to_14_9
P4_vs_P4,89,47,42,0,-0.3702247191011235,0.5,0.12264150943396226,53,3,0.5280898876404494,2.8089887640449405,Supported,Neutral,Matchup overall,
P4_vs_G6,79,39,40,0,-0.12426160337552747,-0.8333333333333357,0.5980392156862745,51,3,0.4936708860759494,-0.6329113924050631,Supported,Neutral,Matchup overall,
