rule_key,rule_label,season,games,wins,losses,pushes,ats_record,ats_win_pct,avg_ats_margin,median_ats_margin,positive_season,profitable_55_pct,excluded_season
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,All except 2021,62,38,24,0,38-24,0.6129032258064516,2.282258064516129,3.0,True,True,2021
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,All except 2022,70,42,28,0,42-28,0.6,1.0571428571428572,2.75,True,True,2022
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,All except 2023,68,43,25,0,43-25,0.6323529411764706,2.5955882352941178,4.0,True,True,2023
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,All except 2024,61,36,25,0,36-25,0.5901639344262295,2.0245901639344264,3.0,True,True,2024
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,All except 2025,63,41,22,0,41-22,0.6507936507936508,1.753968253968254,3.0,True,True,2025
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,All except 2021,56,32,24,0,32-24,0.5714285714285714,1.1785714285714286,2.0,True,True,2021
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,All except 2022,63,35,28,0,35-28,0.5555555555555556,0.7142857142857143,1.5,True,True,2022
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,All except 2023,69,42,27,0,42-27,0.6086956521739131,1.8840579710144927,2.5,True,True,2023
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,All except 2024,60,34,26,0,34-26,0.5666666666666667,1.45,1.5,True,True,2024
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,All except 2025,64,41,23,0,41-23,0.640625,2.625,3.75,True,True,2025
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,All except 2021,40,23,16,1,23-16-1,0.5897435897435898,1.0375,2.25,True,True,2021
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,All except 2022,42,22,19,1,22-19-1,0.5365853658536586,1.119047619047619,1.0,True,False,2022
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,All except 2023,40,20,20,0,20-20,0.5,-0.2625,0.0,False,False,2023
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,All except 2024,46,29,16,1,29-16-1,0.6444444444444445,2.7065217391304346,4.75,True,True,2024
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,All except 2025,40,22,17,1,22-17-1,0.5641025641025641,0.9875,2.25,True,True,2025
