rp_band,broad_spread_band,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,ats_win_pct,ats_edge_pct,confidence,signal,rule_level,conference_matchup_type
5_to_14_9,fav_14_plus,43,19,24,0,-1.5193798449612406,-3.5,0.6136363636363636,22,0.4418604651162791,-5.813953488372093,Promising,Fade RP-edge team,Overall,
5_to_14_9,pick_to_fav_6_5,30,14,16,0,-0.8916666666666667,-1.6666666666666665,0.027777777777777776,18,0.4666666666666667,-3.3333333333333357,Promising,Neutral,Overall,
15_to_24_9,fav_14_plus,33,17,16,0,-1.9356060606060608,0.3333333333333339,0.8157894736842105,19,0.5151515151515151,1.5151515151515156,Promising,Neutral,Overall,
5_to_14_9,dog_7_plus,47,24,23,0,-1.3170212765957447,0.3333333333333321,0.275,20,0.5106382978723404,1.0638297872340416,Promising,Neutral,Overall,
5_to_14_9,fav_7_to_13_5,17,11,6,0,3.4509803921568625,5.5,-0.1111111111111111,9,0.6470588235294118,14.705882352941174,Exploratory,Back RP-edge team,Overall,
5_to_14_9,fav_14_plus,26,11,15,0,-0.44230769230769257,-2.583333333333334,1.3666666666666667,15,0.4230769230769231,-7.692307692307693,Exploratory,Fade RP-edge team,By matchup,P4_vs_G6
25_plus,fav_14_plus,28,16,12,0,1.1285714285714288,1.916666666666666,-0.2631578947368421,19,0.5714285714285714,7.142857142857139,Exploratory,Back RP-edge team,Overall,
5_to_14_9,pick_to_fav_6_5,18,10,8,0,-0.875,1.5833333333333335,0.25,12,0.5555555555555556,5.555555555555557,Exploratory,Back RP-edge team,By matchup,P4_vs_P4
25_plus,fav_14_plus,20,11,9,0,0.6800000000000004,1.25,-0.21428571428571427,14,0.55,5.000000000000007,Exploratory,Back RP-edge team,By matchup,P4_vs_G6
15_to_24_9,fav_14_plus,22,10,12,0,-3.1174242424242427,-3.416666666666668,1.1785714285714286,14,0.45454545454545453,-4.545454545454547,Exploratory,Neutral,By matchup,P4_vs_G6
5_to_14_9,dog_0_5_to_6_5,26,12,14,0,-2.873397435897436,-1.5,0.0,18,0.46153846153846156,-3.8461538461538467,Exploratory,Neutral,Overall,
15_to_24_9,dog_7_plus,18,9,8,1,-1.566203703703704,0.375,0.45454545454545453,11,0.5294117647058824,2.941176470588239,Exploratory,Neutral,Overall,
15_to_24_9,pick_to_fav_6_5,19,10,9,0,0.7333333333333334,0.5,-0.13636363636363635,11,0.5263157894736842,2.6315789473684177,Exploratory,Neutral,Overall,
5_to_14_9,dog_7_plus,16,8,8,0,-3.933854166666667,-2.166666666666667,-0.25,6,0.5,0.0,Exploratory,Neutral,By matchup,G6_vs_P4
