candidate_key,threshold,season,games,wins,losses,pushes,ats_pct,avg_ats_margin,median_ats_margin
A_DEFENSIVE_FAVORITE,20.0,2024,22,16,6,0,0.7272727272727273,2.3636363636363638,4.5
A_DEFENSIVE_FAVORITE,20.0,2025,20,10,10,0,0.5,2.175,0.0
A_DEFENSIVE_FAVORITE,25.0,2024,16,13,3,0,0.8125,4.0,6.0
A_DEFENSIVE_FAVORITE,25.0,2025,16,9,7,0,0.5625,3.6875,4.0
A_DEFENSIVE_FAVORITE,30.0,2024,12,11,1,0,0.9166666666666666,5.916666666666667,6.5
A_DEFENSIVE_FAVORITE,30.0,2025,12,5,7,0,0.4166666666666667,2.2916666666666665,-1.5
B_OFFENSIVE_UNDERDOG,0.0001,2024,14,10,4,0,0.7142857142857143,3.2142857142857144,5.0
B_OFFENSIVE_UNDERDOG,0.0001,2025,5,3,2,0,0.6,-0.1,4.5
B_OFFENSIVE_UNDERDOG,5.0,2024,13,9,4,0,0.6923076923076923,3.1923076923076925,5.5
B_OFFENSIVE_UNDERDOG,5.0,2025,5,3,2,0,0.6,-0.1,4.5
B_OFFENSIVE_UNDERDOG,10.0,2024,9,6,3,0,0.6666666666666666,2.0555555555555554,4.5
B_OFFENSIVE_UNDERDOG,10.0,2025,5,3,2,0,0.6,-0.1,4.5
B_OFFENSIVE_UNDERDOG,15.0,2024,6,4,2,0,0.6666666666666666,3.5,5.5
B_OFFENSIVE_UNDERDOG,15.0,2025,3,2,1,0,0.6666666666666666,-1.1666666666666667,4.5
