game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp,offense_rp,defense_rp,opponent_overall_rp,opponent_offense_rp,opponent_defense_rp,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_spread_field,full_game_model_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog
g42,1,2026-09-05,UNLV,Hawaii,Hawaii,UNLV,home,45.0,54.0,37.0,40.0,40.0,40.0,5.0,14.0,-3.0,projection_spread_home,-2.2725,-1.13625,Favorite,False,False
g43,1,2026-09-05,Oregon State,Houston,Oregon State,Houston,away,47.0,49.0,44.0,65.0,71.0,58.0,-18.0,-9.0,-27.0,projection_spread_home,-19.235,-9.6175,Favorite,False,False
g43,1,2026-09-05,Oregon State,Houston,Houston,Oregon State,home,65.0,71.0,58.0,47.0,49.0,44.0,18.0,27.0,9.0,projection_spread_home,19.235,9.6175,Underdog,False,False
g44,1,2026-09-05,UAB,Illinois,UAB,Illinois,away,35.0,32.0,38.0,50.0,52.0,47.0,-15.0,-15.0,-14.0,projection_spread_home,-27.395,-13.6975,Favorite,False,False
g44,1,2026-09-05,UAB,Illinois,Illinois,UAB,home,50.0,52.0,47.0,35.0,32.0,38.0,15.0,14.0,15.0,projection_spread_home,27.395,13.6975,Underdog,False,False
g45,1,2026-09-05,North Texas,Indiana,North Texas,Indiana,away,32.0,28.0,35.0,56.0,54.0,58.0,-24.0,-30.0,-19.0,projection_spread_home,-33.8875,-16.94375,Favorite,False,False
g45,1,2026-09-05,North Texas,Indiana,Indiana,North Texas,home,56.0,54.0,58.0,32.0,28.0,35.0,24.0,19.0,30.0,projection_spread_home,33.8875,16.94375,Underdog,False,False
g46,1,2026-09-05,Northern Illinois,Iowa,Northern Illinois,Iowa,away,48.0,68.0,28.0,44.0,48.0,40.0,4.0,28.0,-20.0,projection_spread_home,-34.0475,-17.02375,Favorite,False,False
g46,1,2026-09-05,Northern Illinois,Iowa,Iowa,Northern Illinois,home,44.0,48.0,40.0,48.0,68.0,28.0,-4.0,20.0,-28.0,projection_spread_home,34.0475,17.02375,Underdog,False,True
g48,1,2026-09-05,Liberty,James Madison,Liberty,James Madison,away,57.0,64.0,50.0,30.0,27.0,32.0,27.0,32.0,23.0,projection_spread_home,-12.19,-6.095,Favorite,False,False
