bucket,games,traveler_ats,traveler_ats_win_pct,avg_traveler_ats_margin,traveler_fav_ats,traveler_fav_ats_win_pct,avg_traveler_fav_ats_margin,traveler_dog_ats,traveler_dog_ats_win_pct,avg_traveler_dog_ats_margin,ou_record,over_pct,avg_total_margin
2024-25 all road games,1543,738-774-31,48.8,-0.77,261-282-12,48.1,-0.75,477-492-19,49.2,-0.78,755 O / 767 U / 17 P,49.6,0.69
2024-25 all 3+ TZ road games,87,42-43-2,49.4,-1.37,13-15-2,46.4,-2.87,29-28-0,50.9,-0.59,41 O / 45 U / 1 P,47.7,1.53
2024-25 Big Ten/ACC alignment road games,291,143-141-7,50.4,-0.13,58-58-2,50.0,0.29,85-83-5,50.6,-0.41,141 O / 148 U / 2 P,48.8,0.53
2024-25 Big Ten/ACC 3+ TZ road games,55,27-27-1,50.0,-0.19,10-10-1,50.0,-0.45,17-17-0,50.0,-0.03,27 O / 27 U / 1 P,50.0,1.38
2024-25 Big Ten/ACC 3+ TZ eastbound,28,13-15-0,46.4,1.0,4-4-0,50.0,2.81,9-11-0,45.0,0.28,13 O / 15 U / 0 P,46.4,0.95
2024-25 Big Ten/ACC 3+ TZ westbound,27,14-12-1,53.8,-1.43,6-6-1,50.0,-2.46,8-6-0,57.1,-0.46,14 O / 12 U / 1 P,53.8,1.83
2024-25 Big Ten/ACC 3+ TZ involving western expansion team,55,27-27-1,50.0,-0.19,10-10-1,50.0,-0.45,17-17-0,50.0,-0.03,27 O / 27 U / 1 P,50.0,1.38
Western expansion team travels 3+ TZ,28,13-15-0,46.4,1.0,4-4-0,50.0,2.81,9-11-0,45.0,0.28,13 O / 15 U / 0 P,46.4,0.95
Non-west team travels 3+ TZ to western expansion team,27,14-12-1,53.8,-1.43,6-6-1,50.0,-2.46,8-6-0,57.1,-0.46,14 O / 12 U / 1 P,53.8,1.83
