season,week,date,game_id,component,edge_team,edge_opponent,conference_matchup_type,component_edge,component_edge_band,edge_team_role,edge_team_spread,edge_team_ats_result,edge_team_ats_margin,edge_team_clv,source_flipped
2023,1,2023-09-03T23:30:00.000Z,401520182,offense_vs_opponent_defense,Florida State,LSU,P4_vs_P4,20.0,15_to_24_9,Underdog,2.2,W,23.2,,False
2023,2,2023-09-09T23:00:00.000Z,401520183,defense_vs_opponent_offense,Texas,Alabama,P4_vs_P4,20.0,15_to_24_9,Underdog,7.166666666666667,W,17.166666666666668,,False
2023,2,2023-09-09T23:00:00.000Z,401520183,offense_vs_opponent_defense,Texas,Alabama,P4_vs_P4,47.0,25_plus,Underdog,7.166666666666667,W,17.166666666666668,,False
2023,2,2023-09-10T02:30:00.000Z,401520186,defense_vs_opponent_offense,Auburn,California,,13.0,5_to_14_9,Favorite,-4.833333333333333,L,-0.833333333333333,,False
2023,2,2023-09-10T02:30:00.000Z,401520186,offense_vs_opponent_defense,California,Auburn,,6.0,5_to_14_9,Underdog,4.833333333333333,W,0.833333333333333,,True
2023,2,2023-09-09T23:00:00.000Z,401520187,offense_vs_opponent_defense,Coastal Carolina,Jacksonville State,G6_vs_G6,15.0,15_to_24_9,Favorite,-13.666666666666666,W,0.3333333333333339,,False
2023,2,2023-09-09T16:00:00.000Z,401520188,defense_vs_opponent_offense,Nebraska,Colorado,,9.0,5_to_14_9,Underdog,2.8333333333333335,L,-19.166666666666668,,False
2023,2,2023-09-09T16:00:00.000Z,401520188,offense_vs_opponent_defense,Nebraska,Colorado,,15.0,15_to_24_9,Underdog,2.8333333333333335,L,-19.166666666666668,,False
2023,2,2023-09-08T23:30:00.000Z,401520195,defense_vs_opponent_offense,Kansas,Illinois,P4_vs_P4,16.0,15_to_24_9,Favorite,-3.6666666666666665,W,7.333333333333334,,False
2023,2,2023-09-08T23:30:00.000Z,401520195,offense_vs_opponent_defense,Kansas,Illinois,P4_vs_P4,29.0,25_plus,Favorite,-3.6666666666666665,W,7.333333333333334,,False
2023,2,2023-09-09T22:00:00.000Z,401520198,defense_vs_opponent_offense,Liberty,New Mexico State,G6_vs_G6,12.0,5_to_14_9,Favorite,-9.333333333333334,W,6.666666666666666,,True
2023,2,2023-09-09T22:00:00.000Z,401520198,defense_vs_opponent_offense,New Mexico State,Liberty,G6_vs_G6,30.0,25_plus,Underdog,9.333333333333334,L,-6.666666666666666,,True
2023,2,2023-09-09T22:00:00.000Z,401520198,offense_vs_opponent_defense,Liberty,New Mexico State,G6_vs_G6,12.0,5_to_14_9,Favorite,-9.333333333333334,W,6.666666666666666,,False
2023,2,2023-09-09T22:00:00.000Z,401520198,offense_vs_opponent_defense,New Mexico State,Liberty,G6_vs_G6,30.0,25_plus,Underdog,9.333333333333334,L,-6.666666666666666,,False
2023,2,2023-09-09T23:30:00.000Z,401520200,defense_vs_opponent_offense,Maryland,Charlotte,P4_vs_G6,11.0,5_to_14_9,Favorite,-24.5,L,-6.5,,False
2023,2,2023-09-09T23:30:00.000Z,401520200,offense_vs_opponent_defense,Maryland,Charlotte,P4_vs_G6,16.0,15_to_24_9,Favorite,-24.5,L,-6.5,,False
2023,2,2023-09-09T19:30:00.000Z,401520201,defense_vs_opponent_offense,Texas A&M,Miami,P4_vs_P4,15.0,15_to_24_9,Favorite,-2.8333333333333335,L,-17.833333333333332,,False
2023,2,2023-09-09T19:30:00.000Z,401520201,offense_vs_opponent_defense,Texas A&M,Miami,P4_vs_P4,5.0,5_to_14_9,Favorite,-2.8333333333333335,L,-17.833333333333332,,False
2023,2,2023-09-09T19:30:00.000Z,401520202,defense_vs_opponent_offense,Michigan,UNLV,P4_vs_G6,7.0,5_to_14_9,Favorite,-37.833333333333336,L,-9.833333333333336,,False
2023,2,2023-09-09T19:30:00.000Z,401520202,offense_vs_opponent_defense,Michigan,UNLV,P4_vs_G6,18.0,15_to_24_9,Favorite,-37.833333333333336,L,-9.833333333333336,,False
2023,2,2023-09-09T23:30:00.000Z,401520204,defense_vs_opponent_offense,Eastern Michigan,Minnesota,G6_vs_P4,20.0,15_to_24_9,Underdog,19.666666666666668,W,0.6666666666666679,,False
2023,2,2023-09-09T23:30:00.000Z,401520204,defense_vs_opponent_offense,Minnesota,Eastern Michigan,P4_vs_G6,10.0,5_to_14_9,Favorite,-19.666666666666668,L,-0.6666666666666679,,False
2023,2,2023-09-09T23:30:00.000Z,401520204,offense_vs_opponent_defense,Eastern Michigan,Minnesota,G6_vs_P4,20.0,15_to_24_9,Underdog,19.666666666666668,W,0.6666666666666679,,True
2023,2,2023-09-09T23:30:00.000Z,401520204,offense_vs_opponent_defense,Minnesota,Eastern Michigan,P4_vs_G6,10.0,5_to_14_9,Favorite,-19.666666666666668,L,-0.6666666666666679,,True
2023,2,2023-09-09T23:00:00.000Z,401520206,defense_vs_opponent_offense,Missouri,Middle Tennessee,P4_vs_G6,28.0,25_plus,Favorite,-21.0,L,-17.0,,False
2023,2,2023-09-09T23:00:00.000Z,401520206,offense_vs_opponent_defense,Middle Tennessee,Missouri,G6_vs_P4,9.0,5_to_14_9,Underdog,21.0,W,17.0,,True
