season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rule_p4_g6_either_component_25_plus,rule_p4_g6_defense_15_plus,rule_p4_p4_overall_15_to_24_9,market_role,spread_bucket,rule_key
2021,1,401287894,Oklahoma,Tulane,P4_vs_G6,12.0,5_to_14_9,25.0,1.0,-31.0,L,-26.0,,False,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2021,3,401287906,Iowa State,UNLV,P4_vs_G6,26.0,25_plus,15.0,35.0,-32.0,W,13.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2021,4,401287910,TCU,SMU,P4_vs_G6,24.0,15_to_24_9,28.0,20.0,-9.5,L,-17.5,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
2022,1,401403853,Vanderbilt,Hawaii,P4_vs_G6,36.0,25_plus,37.0,34.0,-9.0,W,44.0,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
2022,1,401403864,Tennessee,Ball State,P4_vs_G6,32.0,25_plus,43.0,22.0,-35.5,W,13.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2022,4,401403897,LSU,New Mexico,P4_vs_G6,5.0,5_to_14_9,-17.0,25.0,-31.5,W,6.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2022,2,401404066,Oklahoma,Kent State,P4_vs_G6,11.0,5_to_14_9,-15.0,38.0,-33.0,L,-3.0,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2022,2,401405077,Michigan,Hawaii,P4_vs_G6,32.0,25_plus,54.0,10.0,-52.5,L,-6.5,,True,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2022,2,401405078,Michigan State,Akron,P4_vs_G6,5.0,5_to_14_9,-16.0,26.0,-34.5,W,17.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2022,2,401405079,Ohio State,Arkansas State,P4_vs_G6,15.0,15_to_24_9,-0.0,30.0,-44.5,L,-11.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
