rule_key,market_role,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_spread,seasons_present,ats_win_pct,ats_edge_pct,confidence
P4_G6_DEFENSE_15_PLUS,Favorite,74,43,31,0,0.972972972972973,1.5,-24.635135135135137,5,0.581081081081081,8.108108108108105,Supported
P4_G6_DEFENSE_15_PLUS,Underdog,4,3,1,0,13.0,13.5,3.75,3,0.75,25.0,Small sample
P4_G6_EITHER_COMPONENT_25_PLUS,Favorite,80,49,31,0,1.91875,3.0,-24.60625,5,0.6125,11.250000000000007,Supported
P4_G6_EITHER_COMPONENT_25_PLUS,Pick'em,1,1,0,0,3.0,3.0,0.0,1,1.0,50.0,Small sample
P4_P4_OVERALL_15_TO_24_9,Favorite,35,17,17,1,-0.9857142857142858,-0.0,-9.157142857142857,5,0.5,0.0,Promising
P4_P4_OVERALL_15_TO_24_9,Underdog,17,12,5,0,5.588235294117647,5.5,5.764705882352941,5,0.7058823529411765,20.588235294117652,Exploratory
