component,conference_matchup_type,component_edge_band,edge_team_role,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,ats_win_pct,ats_edge_pct,confidence,signal
offense_vs_opponent_defense,G6_vs_G6,15_to_24_9,Underdog,14,7,7,0,0.08928571428571422,1.0416666666666665,0.3125,8,3,0.5,0.0,Insufficient,Neutral
offense_vs_opponent_defense,G6_vs_G6,15_to_24_9,Favorite,11,8,3,0,2.9469696969696972,5.333333333333334,-0.1,5,3,0.7272727272727273,22.727272727272734,Insufficient,Back component-edge team
offense_vs_opponent_defense,G6_vs_G6,25_plus,Favorite,26,12,14,0,-2.62275641025641,-3.0833333333333335,0.027777777777777776,18,3,0.46153846153846156,-3.8461538461538467,Exploratory,Neutral
offense_vs_opponent_defense,G6_vs_G6,25_plus,Underdog,17,5,12,0,-6.000980392156863,-6.833333333333334,0.5625,8,3,0.29411764705882354,-20.588235294117645,Exploratory,Fade component-edge team
offense_vs_opponent_defense,G6_vs_G6,5_to_14_9,Favorite,13,8,5,0,3.4935897435897436,6.666666666666666,-0.8333333333333334,9,3,0.6153846153846154,11.53846153846154,Insufficient,Back component-edge team
offense_vs_opponent_defense,G6_vs_G6,5_to_14_9,Underdog,13,8,5,0,3.5608974358974352,4.833333333333334,1.1875,8,3,0.6153846153846154,11.53846153846154,Insufficient,Back component-edge team
offense_vs_opponent_defense,G6_vs_P4,15_to_24_9,Underdog,15,8,7,0,3.967777777777778,0.6666666666666679,0.35714285714285715,7,3,0.5333333333333333,3.3333333333333357,Exploratory,Neutral
offense_vs_opponent_defense,G6_vs_P4,25_plus,Underdog,9,5,4,0,-2.2111111111111112,3.5,0.2,5,3,0.5555555555555556,5.555555555555557,Insufficient,Back component-edge team
offense_vs_opponent_defense,G6_vs_P4,5_to_14_9,Underdog,16,9,7,0,2.1562500000000004,0.7916666666666661,-0.9375,8,3,0.5625,6.25,Exploratory,Back component-edge team
offense_vs_opponent_defense,G6_vs_P4,5_to_14_9,Favorite,2,1,1,0,4.75,4.75,-2.5,1,2,0.5,0.0,Insufficient,Neutral
offense_vs_opponent_defense,Other,15_to_24_9,Underdog,4,4,0,0,7.0625,6.541666666666666,-1.0,1,2,1.0,50.0,Insufficient,Back component-edge team
offense_vs_opponent_defense,Other,15_to_24_9,Favorite,3,1,2,0,8.972222222222223,-10.75,-3.5,1,2,0.3333333333333333,-16.66666666666667,Insufficient,Fade component-edge team
offense_vs_opponent_defense,Other,25_plus,Underdog,1,0,1,0,-11.833333333333332,-11.833333333333332,,0,1,0.0,-50.0,Insufficient,Fade component-edge team
offense_vs_opponent_defense,Other,5_to_14_9,Favorite,3,2,1,0,4.388888888888888,1.5,-2.0,1,2,0.6666666666666666,16.666666666666657,Insufficient,Back component-edge team
offense_vs_opponent_defense,Other,5_to_14_9,Underdog,2,2,0,0,8.666666666666666,8.666666666666666,0.25,2,1,1.0,50.0,Insufficient,Back component-edge team
offense_vs_opponent_defense,P4_vs_G6,15_to_24_9,Favorite,30,13,17,0,-2.0472222222222225,-2.666666666666667,0.7941176470588235,17,3,0.43333333333333335,-6.666666666666664,Promising,Fade component-edge team
offense_vs_opponent_defense,P4_vs_G6,15_to_24_9,Underdog,1,0,1,0,-1.666666666666667,-1.666666666666667,,0,1,0.0,-50.0,Insufficient,Fade component-edge team
offense_vs_opponent_defense,P4_vs_G6,25_plus,Favorite,37,21,16,0,1.0713963963963964,3.25,0.21153846153846154,26,3,0.5675675675675675,6.756756756756758,Promising,Back component-edge team
offense_vs_opponent_defense,P4_vs_G6,25_plus,Underdog,1,1,0,0,4.5,4.5,,0,1,1.0,50.0,Insufficient,Back component-edge team
offense_vs_opponent_defense,P4_vs_G6,5_to_14_9,Favorite,19,10,9,0,1.2631578947368416,0.6666666666666679,0.8333333333333334,12,3,0.5263157894736842,2.6315789473684177,Exploratory,Neutral
offense_vs_opponent_defense,P4_vs_P4,15_to_24_9,Underdog,20,13,7,0,3.2516666666666665,3.65,0.65,10,3,0.65,15.0,Exploratory,Back component-edge team
offense_vs_opponent_defense,P4_vs_P4,15_to_24_9,Favorite,16,9,7,0,-1.501041666666667,1.4499999999999993,-0.55,10,3,0.5625,6.25,Exploratory,Back component-edge team
offense_vs_opponent_defense,P4_vs_P4,25_plus,Favorite,15,8,7,0,0.07777777777777786,1.666666666666666,-0.375,8,3,0.5333333333333333,3.3333333333333357,Exploratory,Neutral
offense_vs_opponent_defense,P4_vs_P4,25_plus,Underdog,8,2,6,0,-3.541666666666667,-5.5,-1.125,4,3,0.25,-25.0,Insufficient,Fade component-edge team
offense_vs_opponent_defense,P4_vs_P4,5_to_14_9,Favorite,32,20,12,0,0.7020833333333336,2.8333333333333335,0.19444444444444445,18,3,0.625,12.5,Promising,Back component-edge team
offense_vs_opponent_defense,P4_vs_P4,5_to_14_9,Underdog,20,7,13,0,-0.38499999999999995,-3.0833333333333335,0.8181818181818182,11,3,0.35,-15.0,Exploratory,Fade component-edge team
