rule_key,rule_label,family,season,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct
P4_vs_G6__OVERALL__15_TO_24_9,P4_vs_G6: overall RP edge 15-24.9,overall_edge,2025,8,5,3,0,-1.1875,5.25,-12.8125,1,0.625,12.5
P4_vs_G6__OVERALL__25_PLUS,P4_vs_G6: overall RP edge 25+,overall_edge,2024,9,4,5,0,-2.0555555555555554,-0.5,-10.833333333333334,1,0.4444444444444444,-5.555555555555557
P4_vs_G6__OVERALL__25_PLUS,P4_vs_G6: overall RP edge 25+,overall_edge,2025,7,2,5,0,-2.142857142857143,-3.5,-14.571428571428571,1,0.2857142857142857,-21.42857142857143
P4_vs_G6__OVERALL__5_TO_9_9,P4_vs_G6: overall RP edge 5-9.9,overall_edge,2024,3,1,2,0,0.8333333333333334,-0.5,-16.166666666666668,1,0.3333333333333333,-16.66666666666667
P4_vs_G6__OVERALL__5_TO_9_9,P4_vs_G6: overall RP edge 5-9.9,overall_edge,2025,5,2,3,0,0.3,-0.5,-9.1,1,0.4,-10.0
P4_vs_P4__BOTH_COMPONENTS__10_PLUS,P4_vs_P4: both RP components 10+,both_components,2024,9,4,5,0,-0.05555555555555555,-0.5,1.0555555555555556,1,0.4444444444444444,-5.555555555555557
P4_vs_P4__BOTH_COMPONENTS__10_PLUS,P4_vs_P4: both RP components 10+,both_components,2025,12,6,6,0,-5.208333333333333,-1.0,-0.375,1,0.5,0.0
P4_vs_P4__BOTH_COMPONENTS__15_PLUS,P4_vs_P4: both RP components 15+,both_components,2024,5,3,2,0,4.1,5.5,3.7,1,0.6,10.0
P4_vs_P4__BOTH_COMPONENTS__15_PLUS,P4_vs_P4: both RP components 15+,both_components,2025,3,3,0,0,2.6666666666666665,1.0,7.0,1,1.0,50.0
P4_vs_P4__BOTH_COMPONENTS__25_PLUS,P4_vs_P4: both RP components 25+,both_components,2024,3,3,0,0,9.833333333333334,6.5,-1.5,1,1.0,50.0
P4_vs_P4__BOTH_COMPONENTS__5_PLUS,P4_vs_P4: both RP components 5+,both_components,2024,13,5,8,0,-1.5,-0.5,0.5,1,0.38461538461538464,-11.538461538461533
P4_vs_P4__BOTH_COMPONENTS__5_PLUS,P4_vs_P4: both RP components 5+,both_components,2025,17,9,8,0,-2.7941176470588234,0.5,-0.14705882352941177,1,0.5294117647058824,2.941176470588239
P4_vs_P4__DEFENSE_VS_OFFENSE__10_TO_14_9,P4_vs_P4: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2024,3,0,3,0,-11.833333333333334,-14.5,-3.8333333333333335,1,0.0,-50.0
P4_vs_P4__DEFENSE_VS_OFFENSE__10_TO_14_9,P4_vs_P4: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2025,7,2,5,0,-8.928571428571429,-7.5,0.21428571428571427,1,0.2857142857142857,-21.42857142857143
P4_vs_P4__DEFENSE_VS_OFFENSE__15_TO_24_9,P4_vs_P4: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2024,4,1,3,0,-3.75,-4.5,0.5,1,0.25,-25.0
P4_vs_P4__DEFENSE_VS_OFFENSE__15_TO_24_9,P4_vs_P4: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2025,12,7,5,0,-0.4166666666666667,0.5,1.6666666666666667,1,0.5833333333333334,8.333333333333336
P4_vs_P4__DEFENSE_VS_OFFENSE__25_PLUS,P4_vs_P4: Def RP vs opp Off RP edge 25+,defense_vs_offense,2024,8,5,3,0,1.375,4.0,0.25,1,0.625,12.5
P4_vs_P4__DEFENSE_VS_OFFENSE__25_PLUS,P4_vs_P4: Def RP vs opp Off RP edge 25+,defense_vs_offense,2025,2,2,0,0,8.0,8.0,4.5,1,1.0,50.0
P4_vs_P4__DEF_POS_OFF_NEG,"P4_vs_P4: defense edge positive, offense edge negative",mixed_components,2024,3,0,3,0,-10.833333333333334,-11.5,-5.833333333333333,1,0.0,-50.0
P4_vs_P4__DEF_POS_OFF_NEG,"P4_vs_P4: defense edge positive, offense edge negative",mixed_components,2025,5,4,1,0,6.2,7.5,4.2,1,0.8,30.0
P4_vs_P4__EITHER_COMPONENT__15_PLUS,P4_vs_P4: either RP component 15+,either_component,2024,26,11,15,0,-0.5961538461538461,-0.5,-1.4038461538461537,1,0.4230769230769231,-7.692307692307693
P4_vs_P4__EITHER_COMPONENT__15_PLUS,P4_vs_P4: either RP component 15+,either_component,2025,21,11,10,0,-0.7380952380952381,0.5,0.7857142857142857,1,0.5238095238095238,2.3809523809523867
P4_vs_P4__EITHER_COMPONENT__25_PLUS,P4_vs_P4: either RP component 25+,either_component,2024,16,7,9,0,0.21875,-0.5,0.65625,1,0.4375,-6.25
P4_vs_P4__EITHER_COMPONENT__25_PLUS,P4_vs_P4: either RP component 25+,either_component,2025,3,3,0,0,9.5,9.5,1.8333333333333333,1,1.0,50.0
P4_vs_P4__OFFENSE_VS_DEFENSE__10_TO_14_9,P4_vs_P4: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2024,7,4,3,0,2.2142857142857144,2.5,-2.5,1,0.5714285714285714,7.142857142857139
P4_vs_P4__OFFENSE_VS_DEFENSE__10_TO_14_9,P4_vs_P4: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2025,11,5,6,0,-2.772727272727273,-1.5,-2.409090909090909,1,0.45454545454545453,-4.545454545454547
P4_vs_P4__OFFENSE_VS_DEFENSE__15_TO_24_9,P4_vs_P4: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2024,8,3,5,0,-1.625,-1.5,-3.25,1,0.375,-12.5
P4_vs_P4__OFFENSE_VS_DEFENSE__15_TO_24_9,P4_vs_P4: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2025,9,4,5,0,-3.4444444444444446,-1.5,1.3333333333333333,1,0.4444444444444444,-5.555555555555557
P4_vs_P4__OFFENSE_VS_DEFENSE__25_PLUS,P4_vs_P4: Off RP vs opp Def RP edge 25+,offense_vs_defense,2024,11,5,6,0,2.0,-0.5,0.36363636363636365,1,0.45454545454545453,-4.545454545454547
P4_vs_P4__OFFENSE_VS_DEFENSE__25_PLUS,P4_vs_P4: Off RP vs opp Def RP edge 25+,offense_vs_defense,2025,1,1,0,0,12.5,12.5,-3.5,1,1.0,50.0
P4_vs_P4__OFF_POS_DEF_NEG,"P4_vs_P4: offense edge positive, defense edge negative",mixed_components,2024,17,11,6,0,4.705882352941177,5.5,-1.411764705882353,1,0.6470588235294118,14.705882352941174
P4_vs_P4__OFF_POS_DEF_NEG,"P4_vs_P4: offense edge positive, defense edge negative",mixed_components,2025,5,2,3,0,1.9,-1.5,-2.7,1,0.4,-10.0
P4_vs_P4__OVERALL__10_TO_14_9,P4_vs_P4: overall RP edge 10-14.9,overall_edge,2024,4,1,3,0,-7.75,-12.0,-0.5,1,0.25,-25.0
P4_vs_P4__OVERALL__10_TO_14_9,P4_vs_P4: overall RP edge 10-14.9,overall_edge,2025,5,3,2,0,-4.9,0.5,-5.1,1,0.6,10.0
P4_vs_P4__OVERALL__15_TO_24_9,P4_vs_P4: overall RP edge 15-24.9,overall_edge,2024,6,3,3,0,-0.6666666666666666,1.0,-2.8333333333333335,1,0.5,0.0
P4_vs_P4__OVERALL__15_TO_24_9,P4_vs_P4: overall RP edge 15-24.9,overall_edge,2025,11,4,7,0,-3.727272727272727,-2.5,1.0909090909090908,1,0.36363636363636365,-13.636363636363633
P4_vs_P4__OVERALL__25_PLUS,P4_vs_P4: overall RP edge 25+,overall_edge,2024,6,3,3,0,2.0,2.5,4.166666666666667,1,0.5,0.0
P4_vs_P4__OVERALL__25_PLUS,P4_vs_P4: overall RP edge 25+,overall_edge,2025,1,1,0,0,6.5,6.5,16.5,1,1.0,50.0
P4_vs_P4__OVERALL__5_TO_9_9,P4_vs_P4: overall RP edge 5-9.9,overall_edge,2024,12,5,7,0,0.0,-1.5,-0.8333333333333334,1,0.4166666666666667,-8.333333333333329
P4_vs_P4__OVERALL__5_TO_9_9,P4_vs_P4: overall RP edge 5-9.9,overall_edge,2025,9,6,3,0,3.5,9.5,0.8333333333333334,1,0.6666666666666666,16.666666666666657
