rule_key,rule_label,family,season,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct
ALL__OFF_POS_DEF_NEG,"ALL: offense edge positive, defense edge negative",mixed_components,2025,20,11,9,0,1.35,2.0,-3.35,1,0.55,5.000000000000007
ALL__OVERALL__10_TO_14_9,ALL: overall RP edge 10-14.9,overall_edge,2024,18,7,11,0,-2.2222222222222223,-3.25,1.5555555555555556,1,0.3888888888888889,-11.111111111111107
ALL__OVERALL__10_TO_14_9,ALL: overall RP edge 10-14.9,overall_edge,2025,21,12,9,0,-0.2619047619047619,0.5,-3.357142857142857,1,0.5714285714285714,7.142857142857139
ALL__OVERALL__15_TO_24_9,ALL: overall RP edge 15-24.9,overall_edge,2024,21,9,12,0,-1.6428571428571428,-2.0,-1.3571428571428572,1,0.42857142857142855,-7.142857142857146
ALL__OVERALL__15_TO_24_9,ALL: overall RP edge 15-24.9,overall_edge,2025,28,10,18,0,-3.392857142857143,-2.0,-3.107142857142857,1,0.35714285714285715,-14.285714285714285
ALL__OVERALL__25_PLUS,ALL: overall RP edge 25+,overall_edge,2024,19,9,10,0,-0.9473684210526315,-0.5,-3.6842105263157894,1,0.47368421052631576,-2.631578947368425
ALL__OVERALL__25_PLUS,ALL: overall RP edge 25+,overall_edge,2025,13,6,7,0,2.730769230769231,-2.5,-8.961538461538462,1,0.46153846153846156,-3.8461538461538467
ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge,2024,22,9,13,0,1.0,-1.0,-0.5909090909090909,1,0.4090909090909091,-9.090909090909086
ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge,2025,18,9,9,0,0.9444444444444444,0.5,-1.3888888888888888,1,0.5,0.0
G6_vs_G6__BOTH_COMPONENTS__10_PLUS,G6_vs_G6: both RP components 10+,both_components,2024,5,2,3,0,-4.8,-2.0,0.8,1,0.4,-10.0
G6_vs_G6__BOTH_COMPONENTS__10_PLUS,G6_vs_G6: both RP components 10+,both_components,2025,6,1,5,0,-2.8333333333333335,-5.25,-3.5,1,0.16666666666666666,-33.333333333333336
G6_vs_G6__BOTH_COMPONENTS__15_PLUS,G6_vs_G6: both RP components 15+,both_components,2024,4,2,2,0,-5.5,-0.75,-0.5,1,0.5,0.0
G6_vs_G6__BOTH_COMPONENTS__15_PLUS,G6_vs_G6: both RP components 15+,both_components,2025,2,0,2,0,-7.5,-7.5,-2.0,1,0.0,-50.0
G6_vs_G6__BOTH_COMPONENTS__25_PLUS,G6_vs_G6: both RP components 25+,both_components,2024,1,0,1,0,-24.0,-24.0,4.0,1,0.0,-50.0
G6_vs_G6__BOTH_COMPONENTS__5_PLUS,G6_vs_G6: both RP components 5+,both_components,2024,8,3,5,0,-4.6875,-2.75,-0.3125,1,0.375,-12.5
G6_vs_G6__BOTH_COMPONENTS__5_PLUS,G6_vs_G6: both RP components 5+,both_components,2025,6,1,5,0,-2.8333333333333335,-5.25,-3.5,1,0.16666666666666666,-33.333333333333336
G6_vs_G6__DEFENSE_VS_OFFENSE__10_TO_14_9,G6_vs_G6: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2024,1,0,1,0,-2.0,-2.0,6.0,1,0.0,-50.0
G6_vs_G6__DEFENSE_VS_OFFENSE__10_TO_14_9,G6_vs_G6: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2025,4,1,3,0,-0.5,-5.0,-4.25,1,0.25,-25.0
G6_vs_G6__DEFENSE_VS_OFFENSE__15_TO_24_9,G6_vs_G6: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2024,4,2,2,0,-0.875,0.25,0.625,1,0.5,0.0
G6_vs_G6__DEFENSE_VS_OFFENSE__15_TO_24_9,G6_vs_G6: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2025,3,1,2,0,-0.16666666666666666,-4.0,-1.1666666666666667,1,0.3333333333333333,-16.66666666666667
G6_vs_G6__DEFENSE_VS_OFFENSE__25_PLUS,G6_vs_G6: Def RP vs opp Off RP edge 25+,defense_vs_offense,2024,6,1,5,0,-4.833333333333333,-5.0,0.8333333333333334,1,0.16666666666666666,-33.333333333333336
G6_vs_G6__DEFENSE_VS_OFFENSE__25_PLUS,G6_vs_G6: Def RP vs opp Off RP edge 25+,defense_vs_offense,2025,4,2,2,0,-0.125,1.5,-0.625,1,0.5,0.0
G6_vs_G6__DEF_POS_OFF_NEG,"G6_vs_G6: defense edge positive, offense edge negative",mixed_components,2024,2,0,2,0,-4.25,-4.25,3.25,1,0.0,-50.0
G6_vs_G6__DEF_POS_OFF_NEG,"G6_vs_G6: defense edge positive, offense edge negative",mixed_components,2025,5,3,2,0,2.8,6.5,-0.4,1,0.6,10.0
G6_vs_G6__EITHER_COMPONENT__15_PLUS,G6_vs_G6: either RP component 15+,either_component,2024,14,6,8,0,-2.0714285714285716,-1.75,0.5714285714285714,1,0.42857142857142855,-7.142857142857146
G6_vs_G6__EITHER_COMPONENT__15_PLUS,G6_vs_G6: either RP component 15+,either_component,2025,17,6,11,0,-1.1176470588235294,-2.5,-0.8823529411764706,1,0.35294117647058826,-14.705882352941174
G6_vs_G6__EITHER_COMPONENT__25_PLUS,G6_vs_G6: either RP component 25+,either_component,2024,10,4,6,0,-2.5,-2.0,0.4,1,0.4,-10.0
G6_vs_G6__EITHER_COMPONENT__25_PLUS,G6_vs_G6: either RP component 25+,either_component,2025,13,5,8,0,-1.6923076923076923,-2.5,-1.8461538461538463,1,0.38461538461538464,-11.538461538461533
G6_vs_G6__OFFENSE_VS_DEFENSE__10_TO_14_9,G6_vs_G6: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2025,1,0,1,0,-0.5,-0.5,6.5,1,0.0,-50.0
G6_vs_G6__OFFENSE_VS_DEFENSE__15_TO_24_9,G6_vs_G6: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2024,3,2,1,0,0.5,0.5,-1.5,1,0.6666666666666666,16.666666666666657
G6_vs_G6__OFFENSE_VS_DEFENSE__15_TO_24_9,G6_vs_G6: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2025,3,0,3,0,-3.8333333333333335,-3.5,2.8333333333333335,1,0.0,-50.0
G6_vs_G6__OFFENSE_VS_DEFENSE__25_PLUS,G6_vs_G6: Off RP vs opp Def RP edge 25+,offense_vs_defense,2024,5,3,2,0,-4.0,0.5,0.6,1,0.6,10.0
G6_vs_G6__OFFENSE_VS_DEFENSE__25_PLUS,G6_vs_G6: Off RP vs opp Def RP edge 25+,offense_vs_defense,2025,9,3,6,0,-2.388888888888889,-2.5,-2.388888888888889,1,0.3333333333333333,-16.66666666666667
G6_vs_G6__OFF_POS_DEF_NEG,"G6_vs_G6: offense edge positive, defense edge negative",mixed_components,2024,2,2,0,0,2.5,2.5,0.5,1,1.0,50.0
G6_vs_G6__OFF_POS_DEF_NEG,"G6_vs_G6: offense edge positive, defense edge negative",mixed_components,2025,6,2,4,0,-3.5,-1.5,-0.8333333333333334,1,0.3333333333333333,-16.66666666666667
