season,week,date,game_id,team,opponent,spread,ats_result,ats_margin,team_clv,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_rp_edge,off_vs_def_rp_edge,def_vs_off_rp_edge
2021,2,2021-09-11T23:00:00.000Z,401282057,Arkansas,Texas,6.0,W,25.0,,SEC,Big 12,P4,P4,P4_vs_P4,78.0,70.0,85.0,61.0,53.0,69.0,17.0,1.0,32.0
2021,2,2021-09-11T23:00:00.000Z,401282057,Texas,Arkansas,-6.0,L,-25.0,,Big 12,SEC,P4,P4,P4_vs_P4,61.0,53.0,69.0,78.0,70.0,85.0,-17.0,-32.0,-1.0
2021,2,2021-09-11T17:00:00.000Z,401282059,Florida,South Florida,-28.5,L,-6.5,,SEC,American,P4,G6,P4_vs_G6,55.0,41.0,70.0,59.0,51.0,68.0,-4.0,-27.0,19.0
2021,2,2021-09-11T17:00:00.000Z,401282059,South Florida,Florida,28.5,W,6.5,,American,SEC,G6,P4,G6_vs_P4,59.0,51.0,68.0,55.0,41.0,70.0,4.0,-19.0,27.0
2021,2,2021-09-11T19:30:00.000Z,401282060,Georgia,UAB,-22.5,W,26.5,,SEC,Conference USA,P4,G6,P4_vs_G6,62.0,84.0,39.0,55.0,52.0,57.0,7.0,27.0,-13.0
2021,2,2021-09-11T19:30:00.000Z,401282060,UAB,Georgia,22.5,L,-26.5,,Conference USA,SEC,G6,P4,G6_vs_P4,55.0,52.0,57.0,62.0,84.0,39.0,-7.0,13.0,-27.0
2021,2,2021-09-11T23:30:00.000Z,401282061,Kentucky,Missouri,-5.5,W,1.5,,SEC,SEC,P4,P4,P4_vs_P4,60.0,60.0,60.0,72.0,82.0,62.0,-12.0,-2.0,-22.0
2021,2,2021-09-11T23:30:00.000Z,401282061,Missouri,Kentucky,5.5,L,-1.5,,SEC,SEC,P4,P4,P4_vs_P4,72.0,82.0,62.0,60.0,60.0,60.0,12.0,22.0,2.0
2021,2,2021-09-11T23:00:00.000Z,401282064,Mississippi State,NC State,1.5,W,15.5,,SEC,ACC,P4,P4,P4_vs_P4,79.0,72.0,85.0,76.0,63.0,90.0,3.0,-18.0,22.0
2021,2,2021-09-11T23:00:00.000Z,401282064,NC State,Mississippi State,-1.5,L,-15.5,,ACC,SEC,P4,P4,P4_vs_P4,76.0,63.0,90.0,79.0,72.0,85.0,-3.0,-22.0,18.0
2021,2,2021-09-11T16:00:00.000Z,401282065,East Carolina,South Carolina,2.5,L,-0.5,,American,SEC,G6,P4,G6_vs_P4,75.0,71.0,78.0,47.0,54.0,40.0,28.0,31.0,24.0
2021,2,2021-09-11T16:00:00.000Z,401282065,South Carolina,East Carolina,-2.5,W,0.5,,SEC,American,P4,G6,P4_vs_G6,47.0,54.0,40.0,75.0,71.0,78.0,-28.0,-24.0,-31.0
2021,2,2021-09-11T16:00:00.000Z,401282066,Pittsburgh,Tennessee,-3.5,W,3.5,,ACC,SEC,P4,P4,P4_vs_P4,73.0,82.0,64.0,54.0,53.0,54.0,19.0,28.0,11.0
2021,2,2021-09-11T16:00:00.000Z,401282066,Tennessee,Pittsburgh,3.5,L,-3.5,,SEC,ACC,P4,P4,P4_vs_P4,54.0,53.0,54.0,73.0,82.0,64.0,-19.0,-11.0,-28.0
2021,2,2021-09-11T19:30:00.000Z,401282067,Colorado,Texas A&M,17.0,W,14.0,,,,,,,83.0,86.0,81.0,60.0,46.0,74.0,23.0,12.0,35.0
2021,2,2021-09-11T19:30:00.000Z,401282067,Texas A&M,Colorado,-17.0,L,-14.0,,,,,,,60.0,46.0,74.0,83.0,86.0,81.0,-23.0,-35.0,-12.0
2021,2,2021-09-12T02:00:00.000Z,401282068,Colorado State,Vanderbilt,-6.5,L,-9.5,,Mountain West,SEC,G6,P4,G6_vs_P4,62.0,60.0,64.0,66.0,75.0,57.0,-4.0,3.0,-11.0
2021,2,2021-09-12T02:00:00.000Z,401282068,Vanderbilt,Colorado State,6.5,W,9.5,,SEC,Mountain West,P4,G6,P4_vs_G6,66.0,75.0,57.0,62.0,60.0,64.0,4.0,11.0,-3.0
2021,3,2021-09-18T20:00:00.000Z,401282069,Arkansas,Georgia Southern,-23.0,W,12.0,,SEC,Sun Belt,P4,G6,P4_vs_G6,78.0,70.0,85.0,51.0,46.0,56.0,27.0,14.0,39.0
2021,3,2021-09-18T20:00:00.000Z,401282069,Georgia Southern,Arkansas,23.0,L,-12.0,,Sun Belt,SEC,G6,P4,G6_vs_P4,51.0,46.0,56.0,78.0,70.0,85.0,-27.0,-39.0,-14.0
2021,3,2021-09-18T23:30:00.000Z,401282070,Auburn,Penn State,4.0,L,-4.0,,SEC,Big Ten,P4,P4,P4_vs_P4,73.0,73.0,72.0,78.0,74.0,82.0,-5.0,-9.0,-2.0
2021,3,2021-09-18T23:30:00.000Z,401282070,Penn State,Auburn,-4.0,W,4.0,,Big Ten,SEC,P4,P4,P4_vs_P4,78.0,74.0,82.0,73.0,73.0,72.0,5.0,2.0,9.0
2021,3,2021-09-18T19:30:00.000Z,401282071,Alabama,Florida,-14.0,L,-12.0,,SEC,SEC,P4,P4,P4_vs_P4,55.0,33.0,77.0,55.0,41.0,70.0,0.0,-37.0,36.0
2021,3,2021-09-18T19:30:00.000Z,401282071,Florida,Alabama,14.0,W,12.0,,SEC,SEC,P4,P4,P4_vs_P4,55.0,41.0,70.0,55.0,33.0,77.0,0.0,-36.0,37.0
2021,3,2021-09-18T23:00:00.000Z,401282072,Georgia,South Carolina,-31.5,L,-4.5,,SEC,SEC,P4,P4,P4_vs_P4,62.0,84.0,39.0,47.0,54.0,40.0,15.0,44.0,-15.0
2021,3,2021-09-18T23:00:00.000Z,401282072,South Carolina,Georgia,31.5,W,4.5,,SEC,SEC,P4,P4,P4_vs_P4,47.0,54.0,40.0,62.0,84.0,39.0,-15.0,15.0,-44.0
2021,3,2021-09-18T23:30:00.000Z,401282074,Central Michigan,LSU,19.5,L,-8.5,,MAC,SEC,G6,P4,G6_vs_P4,81.0,84.0,79.0,79.0,82.0,76.0,2.0,8.0,-3.0
2021,3,2021-09-18T23:30:00.000Z,401282074,LSU,Central Michigan,-19.5,W,8.5,,SEC,MAC,P4,G6,P4_vs_G6,79.0,82.0,76.0,81.0,84.0,79.0,-2.0,3.0,-8.0
2021,3,2021-09-19T00:00:00.000Z,401282075,Ole Miss,Tulane,-14.0,W,26.0,,SEC,American,P4,G6,P4_vs_G6,81.0,78.0,83.0,64.0,74.0,53.0,17.0,25.0,9.0
2021,3,2021-09-19T00:00:00.000Z,401282075,Tulane,Ole Miss,14.0,L,-26.0,,American,SEC,G6,P4,G6_vs_P4,64.0,74.0,53.0,81.0,78.0,83.0,-17.0,-9.0,-25.0
2021,3,2021-09-18T20:00:00.000Z,401282076,Memphis,Mississippi State,3.5,W,5.5,,American,SEC,G6,P4,G6_vs_P4,68.0,63.0,73.0,79.0,72.0,85.0,-11.0,-22.0,1.0
2021,3,2021-09-18T20:00:00.000Z,401282076,Mississippi State,Memphis,-3.5,L,-5.5,,SEC,American,P4,G6,P4_vs_G6,79.0,72.0,85.0,68.0,63.0,73.0,11.0,-1.0,22.0
2021,3,2021-09-18T16:00:00.000Z,401282079,New Mexico,Texas A&M,30.0,L,-4.0,,Mountain West,SEC,G6,P4,G6_vs_P4,49.0,56.0,42.0,60.0,46.0,74.0,-11.0,-18.0,-4.0
2021,3,2021-09-18T16:00:00.000Z,401282079,Texas A&M,New Mexico,-30.0,W,4.0,,SEC,Mountain West,P4,G6,P4_vs_G6,60.0,46.0,74.0,49.0,56.0,42.0,11.0,4.0,18.0
2021,3,2021-09-19T00:00:00.000Z,401282080,Stanford,Vanderbilt,-12.5,W,5.5,,,,,,,55.0,45.0,65.0,66.0,75.0,57.0,-11.0,-12.0,-10.0
2021,3,2021-09-19T00:00:00.000Z,401282080,Vanderbilt,Stanford,12.5,L,-5.5,,,,,,,66.0,75.0,57.0,55.0,45.0,65.0,11.0,10.0,12.0
2021,4,2021-09-25T23:30:00.000Z,401282081,Alabama,Southern Miss,-45.0,W,4.0,,SEC,Conference USA,P4,G6,P4_vs_G6,55.0,33.0,77.0,67.0,57.0,77.0,-12.0,-44.0,20.0
2021,4,2021-09-25T23:30:00.000Z,401282081,Southern Miss,Alabama,45.0,L,-4.0,,Conference USA,SEC,G6,P4,G6_vs_P4,67.0,57.0,77.0,55.0,33.0,77.0,12.0,-20.0,44.0
2021,4,2021-09-25T19:30:00.000Z,401282082,Arkansas,Texas A&M,4.5,W,14.5,,SEC,SEC,P4,P4,P4_vs_P4,78.0,70.0,85.0,60.0,46.0,74.0,18.0,-4.0,39.0
2021,4,2021-09-25T19:30:00.000Z,401282082,Texas A&M,Arkansas,-4.5,L,-14.5,,SEC,SEC,P4,P4,P4_vs_P4,60.0,46.0,74.0,78.0,70.0,85.0,-18.0,-39.0,4.0
2021,4,2021-09-25T20:00:00.000Z,401282083,Auburn,Georgia State,-27.5,L,-17.5,,SEC,Sun Belt,P4,G6,P4_vs_G6,73.0,73.0,72.0,80.0,85.0,76.0,-7.0,-3.0,-13.0
2021,4,2021-09-25T20:00:00.000Z,401282083,Georgia State,Auburn,27.5,W,17.5,,Sun Belt,SEC,G6,P4,G6_vs_P4,80.0,85.0,76.0,73.0,73.0,72.0,7.0,13.0,3.0
2021,4,2021-09-25T23:00:00.000Z,401282084,Florida,Tennessee,-19.0,W,5.0,,SEC,SEC,P4,P4,P4_vs_P4,55.0,41.0,70.0,54.0,53.0,54.0,1.0,-13.0,17.0
2021,4,2021-09-25T23:00:00.000Z,401282084,Tennessee,Florida,19.0,L,-5.0,,SEC,SEC,P4,P4,P4_vs_P4,54.0,53.0,54.0,55.0,41.0,70.0,-1.0,-17.0,13.0
2021,4,2021-09-25T16:00:00.000Z,401282085,LSU,Mississippi State,-1.5,W,1.5,,SEC,SEC,P4,P4,P4_vs_P4,79.0,82.0,76.0,79.0,72.0,85.0,0.0,-3.0,4.0
