date,away_team,home_team,team,opponent,projected_spread,team_off_rp,opp_def_rp,off_vs_def_gap,historical_support
2026-08-29,San Jose State,USC,USC,San Jose State,-32.85,67.0,23.0,44.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-08-29,Hawaii,Stanford,Stanford,Hawaii,-5.2,58.0,37.0,21.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-08-29,Sacramento State,Eastern Michigan,Eastern Michigan,Sacramento State,-6.1,59.0,42.0,17.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-04,San Jose State,Eastern Michigan,Eastern Michigan,San Jose State,-2.0,59.0,23.0,36.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Ball State,Ohio State,Ohio State,Ball State,-60.0,71.0,24.0,47.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Central Michigan,New Mexico,New Mexico,Central Michigan,-12.8,68.0,29.0,39.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Kent State,South Carolina,South Carolina,Kent State,-34.5,76.0,39.0,37.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Washington State,Washington,Washington,Washington State,-21.9,69.0,36.0,33.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,UTEP,Oklahoma,Oklahoma,UTEP,-41.0,75.0,43.0,32.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Western Michigan,Michigan,Michigan,Western Michigan,-26.2,72.0,42.0,30.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Texas State,Texas,Texas,Texas State,-32.6,73.0,43.0,30.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Oregon State,Houston,Houston,Oregon State,-16.2,71.0,44.0,27.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Toledo,Michigan State,Michigan State,Toledo,-13.9,48.0,25.0,23.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Missouri State,Texas A&M,Texas A&M,Missouri State,-41.5,67.0,44.0,23.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Ohio,Nebraska,Nebraska,Ohio,-22.8,69.0,48.0,21.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Northern Illinois,Iowa,Iowa,Northern Illinois,-34.2,48.0,28.0,20.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,North Texas,Indiana,Indiana,North Texas,-38.2,54.0,35.0,19.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,UAB,Illinois,Illinois,UAB,-28.9,52.0,38.0,14.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Marshall,Penn State,Penn State,Marshall,-25.5,50.0,36.0,14.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Coastal Carolina,West Virginia,West Virginia,Coastal Carolina,-18.0,57.0,44.0,13.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-05,Boise State,Oregon,Oregon,Boise State,-24.0,65.0,55.0,10.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-06,Wisconsin,Notre Dame,Notre Dame,Wisconsin,-24.0,67.0,57.0,10.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Western Kentucky,Georgia,Georgia,Western Kentucky,-32.6,63.0,26.0,37.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Southern Miss,Auburn,Auburn,Southern Miss,-37.1,56.0,20.0,36.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,South Florida,Army,Army,South Florida,-1.6,67.0,36.0,31.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Maryland,Connecticut,Maryland,Connecticut,-13.1,68.0,37.0,31.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Bowling Green,Nebraska,Nebraska,Bowling Green,-22.5,69.0,38.0,31.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,San Diego State,UCLA,UCLA,San Diego State,-8.1,73.0,43.0,30.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Washington State,Kansas State,Kansas State,Washington State,-19.5,65.0,36.0,29.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Rice,Notre Dame,Notre Dame,Rice,-43.7,67.0,38.0,29.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Charlotte,Ole Miss,Ole Miss,Charlotte,-50.7,61.0,34.0,27.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Middle Tennessee,Marshall,Marshall,Middle Tennessee,-20.9,61.0,37.0,24.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Texas Tech,Oregon State,Texas Tech,Oregon State,-25.9,67.0,44.0,23.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Memphis,Boise State,Boise State,Memphis,-10.7,60.0,39.0,21.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,UTSA,Texas State,UTSA,Texas State,-2.1,64.0,43.0,21.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Mississippi State,Minnesota,Minnesota,Mississippi State,-3.7,71.0,52.0,19.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Arizona State,Texas A&M,Texas A&M,Arizona State,-16.4,67.0,49.0,18.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Oklahoma,Michigan,Michigan,Oklahoma,-1.8,72.0,55.0,17.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Georgia State,Kennesaw State,Kennesaw State,Georgia State,-18.3,42.0,27.0,15.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Utah State,Washington,Washington,Utah State,-24.3,69.0,55.0,14.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Louisiana Tech,LSU,LSU,Louisiana Tech,-32.4,61.0,48.0,13.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Old Dominion,Virginia Tech,Virginia Tech,Old Dominion,-17.5,71.0,58.0,13.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Jacksonville State,Ohio,Jacksonville State,Ohio,-3.0,60.0,48.0,12.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-12,Oregon,Oklahoma State,Oregon,Oklahoma State,-18.4,65.0,53.0,12.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,James Madison,San Diego State,San Diego State,James Madison,-2.7,76.0,32.0,44.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Ball State,Liberty,Liberty,Ball State,-22.3,64.0,24.0,40.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Northern Illinois,Arizona,Arizona,Northern Illinois,-31.1,66.0,28.0,38.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Temple,Toledo,Temple,Toledo,-0.2,62.0,25.0,37.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,North Texas,Texas State,Texas State,North Texas,-8.2,70.0,35.0,35.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Georgia State,Central Florida,Central Florida,Georgia State,-30.1,61.0,27.0,34.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Akron,Minnesota,Minnesota,Akron,-27.1,71.0,37.0,34.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Kent State,Ohio State,Ohio State,Kent State,-54.9,71.0,39.0,32.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,UTEP,Michigan,Michigan,UTEP,-39.5,72.0,43.0,29.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,UTSA,Texas,Texas,UTSA,-28.2,73.0,44.0,29.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Western Kentucky,Indiana,Indiana,Western Kentucky,-31.7,54.0,26.0,28.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Troy,Missouri,Missouri,Troy,-23.3,59.0,32.0,27.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Mississippi State,South Carolina,South Carolina,Mississippi State,-10.5,76.0,52.0,24.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Michigan State,Notre Dame,Notre Dame,Michigan State,-28.6,67.0,45.0,22.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,Western Michigan,Rice,Western Michigan,Rice,-4.6,60.0,38.0,22.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
2026-09-19,USC,Rutgers,USC,Rutgers,-12.9,67.0,46.0,21.0,"2023-25: off-vs-def RP gap >=10 favorites went 103-79-1 ATS, 56.6%, +1.32 ATS margin over 183 games"
