rp_band,broad_spread_band,games,wins,losses,pushes,ats_win_pct,ats_edge_pct,avg_ats_margin,avg_clv,clv_games,seasons_present,winning_seasons,losing_seasons,neutral_seasons,positive_margin_seasons,negative_margin_seasons,avg_season_win_pct,std_season_win_pct,confidence,signal,consistent_direction,priority_score
5_to_14_9,fav_14_plus,43,19,24,0,0.4418604651162791,-5.813953488372093,-1.5193798449612401,0.6136363636363636,22,3,1,2,0,1,2,0.4057644110275689,0.19569152772996787,Promising,Fade,True,2.5
5_to_14_9,fav_7_to_13_5,17,11,6,0,0.6470588235294118,14.705882352941174,3.450980392156863,-0.1111111111111111,9,3,3,0,0,3,0,0.6571428571428571,0.12453996981544785,Exploratory,Back,True,2.4999999999999996
