game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_field,projected_home_margin,full_game_model_betting_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog
g12,1,2026-09-03,Colorado,Georgia Tech,Colorado,Georgia Tech,away,6.0,-4.0,16.0,projection_spread_home,7.66,7.66,3.83,Underdog,False,False
g12,1,2026-09-03,Colorado,Georgia Tech,Georgia Tech,Colorado,home,-6.0,-16.0,4.0,projection_spread_home,7.66,-7.66,-3.83,Favorite,False,False
g16,1,2026-09-03,Massachusetts,Rutgers,Massachusetts,Rutgers,away,-1.0,3.0,-6.0,projection_spread_home,31.105,31.105,15.5525,Underdog,False,True
g16,1,2026-09-03,Massachusetts,Rutgers,Rutgers,Massachusetts,home,1.0,6.0,-3.0,projection_spread_home,31.105,-31.105,-15.5525,Favorite,False,False
g18,1,2026-09-03,Akron,Wake Forest,Akron,Wake Forest,away,-13.0,-17.0,-8.0,projection_spread_home,24.805,24.805,12.4025,Underdog,False,False
g18,1,2026-09-03,Akron,Wake Forest,Wake Forest,Akron,home,13.0,8.0,17.0,projection_spread_home,24.805,-24.805,-12.4025,Favorite,False,False
g19,1,2026-09-04,San Jose State,Eastern Michigan,San Jose State,Eastern Michigan,away,-38.0,-40.0,-36.0,projection_spread_home,0.6075,0.6075,0.30375,Underdog,False,False
g19,1,2026-09-04,San Jose State,Eastern Michigan,Eastern Michigan,San Jose State,home,38.0,36.0,40.0,projection_spread_home,0.6075,-0.6075,-0.30375,Favorite,True,False
g22,1,2026-09-04,Miami-FL,Stanford,Miami-FL,Stanford,away,-11.0,-14.0,-7.0,projection_spread_home,-24.8075,-24.8075,-12.40375,Favorite,False,False
g22,1,2026-09-04,Miami-FL,Stanford,Stanford,Miami-FL,home,11.0,7.0,14.0,projection_spread_home,-24.8075,24.8075,12.40375,Underdog,False,False
g24,1,2026-09-05,East Carolina,Alabama,East Carolina,Alabama,away,-6.0,-28.0,15.0,projection_spread_home,23.7925,23.7925,11.89625,Underdog,False,False
